year,month,day,ausleihen,subs,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,starttime,ausleihe1tag,ausleihe2tag,rueckgaben1tag
2015,1,1,30,23,0.861038961038961,1.0,3.0,0.0,0.4545454545454545,0.0,43.90909090909091,23.545454545454547,2015-01-01,0,0,26
2015,1,2,59,52,0.8916666666666666,0.0,4.0,1.0,2.9,0.0,58.3,19.3,2015-01-02,30,0,57
2015,1,3,26,23,0.9541666666666666,0.0,5.0,0.0,4.25,0.85,83.5,12.75,2015-01-03,59,30,19
2015,1,4,42,39,0.8974358974358974,0.0,6.0,0.0,9.461538461538462,0.3307692307692307,92.3076923076923,17.923076923076923,2015-01-04,26,59,47
2015,1,5,76,74,0.9892156862745098,0.0,0.0,1.0,-1.2352941176470589,0.0647058823529411,55.05882352941177,27.47058823529412,2015-01-05,42,26,78
2015,1,6,45,45,1.0,0.0,1.0,1.0,-6.071428571428571,0.1,70.35714285714286,9.714285714285714,2015-01-06,76,42,47
2015,1,7,25,25,1.0,0.0,2.0,1.0,-8.428571428571429,0.0,64.71428571428571,31.0,2015-01-07,45,76,40
2015,1,8,30,30,1.0,0.0,3.0,1.0,-10.153846153846152,0.0,75.38461538461539,19.0,2015-01-08,25,45,35
2015,1,9,24,23,0.981818181818182,0.0,4.0,1.0,-4.181818181818182,0.0909090909090909,73.81818181818181,22.0,2015-01-09,30,25,21
2015,1,10,19,17,0.8888888888888888,0.0,5.0,0.0,-8.583333333333334,0.0,70.58333333333333,19.33333333333333,2015-01-10,24,30,27
2015,1,11,42,37,0.9508158508158508,0.0,6.0,0.0,-1.3846153846153846,0.0,63.23076923076923,13.153846153846152,2015-01-11,19,24,41
2015,1,12,39,36,0.9166666666666666,0.0,0.0,1.0,1.25,0.5333333333333333,89.16666666666667,11.5,2015-01-12,42,19,36
2015,1,13,44,44,1.0,0.0,1.0,1.0,-5.857142857142857,0.0,68.21428571428571,20.142857142857142,2015-01-13,39,42,41
2015,1,14,54,54,1.0,0.0,2.0,1.0,-2.6923076923076925,0.0,68.76923076923077,14.461538461538462,2015-01-14,44,39,42
2015,1,15,63,59,0.9142857142857144,0.0,3.0,1.0,-0.8571428571428571,0.0,64.92857142857143,14.5,2015-01-15,54,44,59
2015,1,16,62,61,0.9761904761904762,0.0,4.0,1.0,-0.2142857142857142,0.0,57.0,30.5,2015-01-16,63,54,61
2015,1,17,32,25,0.8316666666666667,0.0,5.0,0.0,-3.0,0.0,38.5,11.7,2015-01-17,62,63,36
2015,1,18,2,2,1.0,0.0,6.0,0.0,3.5,1.8,95.5,13.5,2015-01-18,32,62,2
2015,1,19,51,43,0.8698412698412699,1.0,0.0,0.0,2.6,0.0,73.26666666666667,22.666666666666668,2015-01-19,2,32,39
2015,1,20,73,71,0.980952380952381,0.0,1.0,1.0,1.6666666666666667,0.0,64.26666666666667,14.8,2015-01-20,51,2,57
2015,1,21,63,62,0.9926470588235294,0.0,2.0,1.0,-0.3529411764705882,0.0117647058823529,46.35294117647059,6.352941176470588,2015-01-21,73,51,63
2015,1,22,65,60,0.9037037037037036,0.0,3.0,1.0,0.6666666666666666,0.0,67.27777777777777,12.88888888888889,2015-01-22,63,73,67
2015,1,23,72,72,1.0,0.0,4.0,1.0,1.3333333333333333,0.0277777777777777,68.61111111111111,11.944444444444445,2015-01-23,65,63,64
2015,1,24,8,8,1.0,0.0,5.0,0.0,1.2,0.2799999999999999,92.4,21.0,2015-01-24,72,65,30
2015,1,25,49,44,0.9265873015873016,0.0,6.0,0.0,0.5,0.0,81.21428571428571,20.214285714285715,2015-01-25,8,72,55
2015,1,26,20,20,1.0,0.0,0.0,1.0,-4.0,0.4,89.44444444444444,27.33333333333333,2015-01-26,49,8,24
2015,1,27,8,8,1.0,0.0,1.0,1.0,-3.6666666666666665,0.2333333333333333,87.83333333333333,26.5,2015-01-27,20,49,31
2015,1,28,27,26,0.9777777777777776,0.0,2.0,1.0,-4.666666666666667,0.0,80.73333333333333,18.33333333333333,2015-01-28,8,20,32
2015,1,29,32,32,1.0,0.0,3.0,1.0,-2.6875,0.0,78.125,9.8125,2015-01-29,27,8,29
2015,1,30,26,26,1.0,0.0,4.0,1.0,-0.2,0.22,85.8,23.2,2015-01-30,32,27,41
2015,1,31,22,22,1.0,0.0,5.0,0.0,-7.5,0.0,80.58333333333333,28.33333333333333,2015-01-31,26,32,24
2015,2,1,27,25,0.96,0.0,6.0,0.0,-0.2,0.04,87.1,9.6,2015-02-01,22,26,30
2015,2,2,5,5,1.0,0.0,0.0,1.0,-3.8,0.98,92.6,26.6,2015-02-02,27,22,6
2015,2,3,19,19,1.0,0.0,1.0,1.0,-8.23076923076923,0.0,84.38461538461539,14.384615384615383,2015-02-03,5,27,22
2015,2,4,32,32,1.0,0.0,2.0,1.0,-0.6923076923076923,0.0,82.6923076923077,12.307692307692308,2015-02-04,19,5,28
2015,2,5,34,34,1.0,0.0,3.0,1.0,-6.307692307692308,0.0615384615384615,83.92307692307692,30.76923076923077,2015-02-05,32,19,40
2015,2,6,32,32,1.0,0.0,4.0,1.0,-7.083333333333333,0.0,82.91666666666667,19.166666666666668,2015-02-06,34,32,32
2015,2,7,12,12,1.0,0.0,5.0,0.0,-1.0,0.0375,82.25,9.875,2015-02-07,32,34,18
2015,2,8,37,37,1.0,0.0,6.0,0.0,0.6428571428571429,0.0285714285714285,95.64285714285714,14.714285714285714,2015-02-08,12,32,38
2015,2,9,16,16,1.0,0.0,0.0,1.0,-4.333333333333333,0.2333333333333333,95.0,25.666666666666668,2015-02-09,37,12,19
2015,2,10,41,41,1.0,0.0,1.0,1.0,-1.3571428571428572,0.0071428571428571,91.71428571428572,23.142857142857142,2015-02-10,16,37,46
2015,2,11,47,47,1.0,0.0,2.0,1.0,-5.529411764705882,0.0,88.11764705882354,13.941176470588236,2015-02-11,41,16,54
2015,2,12,24,24,1.0,0.0,3.0,1.0,-3.375,0.075,86.375,20.5,2015-02-12,47,41,24
2015,2,13,32,32,1.0,0.0,4.0,1.0,-11.76923076923077,0.0,82.53846153846153,22.153846153846157,2015-02-13,24,47,31
2015,2,14,12,12,1.0,0.0,5.0,0.0,-3.125,0.0875,78.625,17.375,2015-02-14,32,24,23
2015,2,15,6,6,1.0,0.0,6.0,0.0,-12.5,0.025,86.0,39.0,2015-02-15,12,32,9
2015,2,16,10,10,1.0,1.0,0.0,0.0,-9.625,0.0,80.125,19.0,2015-02-16,6,12,16
2015,2,17,19,19,1.0,0.0,1.0,1.0,-7.4,0.09,88.7,10.9,2015-02-17,10,6,17
2015,2,18,37,36,0.9545454545454546,0.0,2.0,1.0,-4.727272727272728,0.0,84.36363636363636,7.454545454545454,2015-02-18,19,10,27
2015,2,19,30,30,1.0,0.0,3.0,1.0,-9.785714285714286,0.0357142857142857,81.42857142857143,30.785714285714285,2015-02-19,37,19,30
2015,2,20,19,19,1.0,0.0,4.0,1.0,-12.636363636363637,0.0,84.63636363636364,24.727272727272727,2015-02-20,30,37,26
2015,2,21,6,5,0.8333333333333334,0.0,5.0,0.0,-3.1666666666666665,0.5833333333333334,84.0,16.0,2015-02-21,19,30,15
2015,2,22,31,31,1.0,0.0,6.0,0.0,1.3,0.02,97.1,7.1,2015-02-22,6,19,34
2015,2,23,29,27,0.8974358974358974,0.0,0.0,1.0,-10.153846153846152,0.0,81.61538461538461,25.692307692307693,2015-02-23,31,6,42
2015,2,24,37,36,0.9821428571428572,0.0,1.0,1.0,-9.928571428571429,0.0,81.07142857142857,11.428571428571429,2015-02-24,29,31,36
2015,2,25,51,48,0.9509803921568628,0.0,2.0,1.0,-2.3529411764705883,0.0,84.47058823529412,16.294117647058822,2015-02-25,37,29,57
2015,2,26,38,36,0.978021978021978,0.0,3.0,1.0,-5.461538461538462,0.1,88.15384615384616,16.46153846153846,2015-02-26,51,37,21
2015,2,27,48,45,0.9732142857142856,0.0,4.0,1.0,-6.75,0.0,82.125,14.8125,2015-02-27,38,51,44
2015,2,28,20,19,0.9545454545454546,0.0,5.0,0.0,-5.454545454545454,0.0,77.54545454545455,9.0,2015-02-28,48,38,20
2015,3,1,8,8,1.0,0.0,6.0,0.0,-3.333333333333333,1.1166666666666667,90.5,9.833333333333334,2015-03-01,20,48,15
2015,3,2,40,40,1.0,0.0,0.0,1.0,-1.4375,0.0,84.125,22.4375,2015-03-02,8,20,26
