year,subrate,holidays,workday,tempC,precipMM,humidity,windspeedKmph,rueckgabe1stunde,ausleihen1stunde,ausleihen2stunde,ausleihen3stunde,ausleihen4stunde,ausleihen5stunde,ausleihen6stunde,weatherDesc2,weekday,month,hour,predict,count,differenz_prozent
2018,0.0,0,1,20,0.0,74,12,3,4,5,11,12,30,75,2,4,9,0,2.9204504,1,-192.04504489898682
2018,1.0,0,1,10,2.0,91,28,0,1,2,3,4,5,5,4,0,11,16,2.1616132,1,-116.16132259368896
2015,0.4285714285714285,0,0,13,0.0,44,11,25,19,24,5,11,9,3,1,5,4,14,29.065594,14,-107.61138371058874
2018,1.0,0,1,21,0.0,93,9,14,20,4,12,1,1,3,1,1,9,18,22.902245,10,-129.02244567871094
2015,1.0,0,1,14,0.0,56,22,11,11,23,33,31,19,19,1,4,5,21,6.1035967,1,-510.35966873168945
2018,1.0,0,1,24,2.5,81,23,3,2,0,2,1,6,4,4,1,7,3,2.6080337,1,-160.80336570739746
2016,1.0,0,1,8,0.0,78,14,1,6,0,8,28,42,26,1,4,3,22,2.8973196,1,-189.73195552825928
2018,1.0,0,1,9,0.0,65,18,2,8,5,23,6,8,10,1,4,3,18,8.591905,4,-114.79761600494385
2018,0.9,0,1,19,0.6,74,10,38,38,85,66,23,26,15,3,3,5,20,24.584932,10,-145.84932327270508
2017,1.0,0,1,8,0.0,68,7,0,1,3,4,3,11,12,1,4,4,2,2.1104608,1,-111.04607582092285
2017,1.0,0,1,10,0.0,83,9,15,12,22,40,58,15,27,1,4,5,21,6.9855037,3,-132.85012245178223
2017,1.0,0,0,2,0.1,79,11,6,5,3,7,3,4,2,4,5,12,18,3.9745314,1,-297.4531412124634
2018,1.0,0,1,2,0.0,70,6,4,10,8,9,7,2,1,1,2,1,11,6.284307,1,-528.430700302124
2015,1.0,0,1,-1,0.1,58,6,7,5,4,6,3,5,4,4,2,1,20,4.006045,2,-100.30224323272705
2016,1.0,0,1,20,0.0,83,12,7,5,6,18,23,44,55,1,4,7,0,3.1850893,1,-218.5089349746704
