year,sub,holidays,workday,tempC,precipMM,humidity,windspeedKmph,weekday,hour,weatherDesc2,month,predict,count,differenz_prozent
2015,rate,1,0,-4,0.0,50,21,3,2,Clear,1,,,
2015,rate,1,0,-1,0.0,37,25,3,10,Sunny,1,,,
2015,rate,1,0,0,0.0,36,24,3,11,Sunny,1,,,
2015,rate,1,0,2,0.0,35,22,3,12,Sunny,1,,,
2015,rate,1,0,2,0.0,37,23,3,13,Sunny,1,,,
2015,rate,1,0,2,0.0,39,24,3,14,Sunny,1,,,
2015,rate,1,0,2,0.0,41,25,3,15,Sunny,1,,,
2015,rate,1,0,1,0.0,44,26,3,16,Sunny,1,,,
2015,rate,1,0,1,0.0,47,26,3,17,Sunny,1,,,
2015,rate,1,0,0,0.0,59,23,3,22,Clear,1,,,
2015,rate,1,0,0,0.0,58,20,3,23,Clear,1,,,
2015,rate,0,1,2,0.0,64,22,4,8,Sunny,1,,,
2015,rate,0,1,3,0.0,60,26,4,9,Sunny,1,,,
2015,rate,0,1,3,0.0,57,24,4,10,Sunny,1,,,
2015,rate,0,1,5,0.0,51,22,4,12,Sunny,1,,,
2015,rate,0,1,4,0.0,53,20,4,13,Sunny,1,,,
2015,rate,0,1,4,0.0,54,19,4,14,Sunny,1,,,
2015,rate,0,1,3,0.0,56,18,4,15,Sunny,1,,,
2015,rate,0,1,2,0.0,59,16,4,16,Sunny,1,,,
2015,rate,0,1,2,0.0,63,14,4,17,Sunny,1,,,
2015,rate,0,1,1,0.0,66,12,4,18,Clear,1,,,
2015,rate,0,0,2,0.0,69,16,5,8,Cloudy,1,,,
2015,rate,0,0,3,0.0,71,16,5,10,Cloudy,1,,,
2015,rate,0,0,3,0.4,75,13,5,11,Light rain,1,,,
2015,rate,0,0,4,0.6,80,9,5,12,Light rain,1,,,
2015,rate,0,0,4,0.3,84,12,5,13,Light rain,1,,,
2015,rate,0,0,5,0.5,94,16,5,16,Light rain,1,,,
2015,rate,0,0,6,3.9,97,11,5,18,Heavy rain,1,,,
2015,rate,0,0,7,1.1,98,9,5,23,Moderate rain,1,,,
2015,rate,0,0,7,0.4,97,9,6,6,Light rain,1,,,
2015,rate,0,0,6,0.4,94,22,6,9,Light rain,1,,,
2015,rate,0,0,7,0.2,94,18,6,10,Light rain,1,,,
2015,rate,0,0,9,0.3,94,14,6,11,Light rain,1,,,
2015,rate,0,0,10,0.4,95,11,6,12,Light rain,1,,,
2015,rate,0,0,11,0.2,94,15,6,13,Light rain,1,,,
2015,rate,0,0,11,0.0,93,19,6,14,Partly cloudy,1,,,
2015,rate,0,0,11,0.0,92,23,6,15,Partly cloudy,1,,,
2015,rate,0,0,11,0.0,94,18,6,16,Partly cloudy,1,,,
2015,rate,0,0,11,0.4,95,13,6,17,Light rain,1,,,
2015,rate,0,0,11,0.2,92,16,6,19,Light rain,1,,,
2015,rate,0,0,10,1.1,86,25,6,20,Moderate rain at times,1,,,
2015,rate,0,0,8,0.7,80,30,6,22,Moderate rain at times,1,,,
2015,rate,0,1,4,1.1,79,23,0,1,Patchy rain possible,1,,,
2015,rate,0,1,0,0.0,70,24,0,6,Patchy snow possible,1,,,
2015,rate,0,1,0,0.0,65,28,0,7,Patchy snow possible,1,,,
2015,rate,0,1,0,0.0,61,32,0,8,Patchy moderate snow,1,,,
2015,rate,0,1,0,0.0,57,36,0,9,Patchy moderate snow,1,,,
2015,rate,0,1,0,0.0,55,34,0,10,Patchy moderate snow,1,,,
2015,rate,0,1,0,0.0,53,31,0,11,Blizzard,1,,,
2015,rate,0,1,0,0.0,51,29,0,12,Blizzard,1,,,
2015,rate,0,1,0,0.0,51,29,0,13,Blizzard,1,,,
2015,rate,0,1,0,0.0,50,30,0,14,Blowing snow,1,,,
2015,rate,0,1,0,0.0,49,30,0,15,Blowing snow,1,,,
2015,rate,0,1,-2,0.0,50,27,0,16,Blowing snow,1,,,
2015,rate,0,1,-3,0.0,51,24,0,17,Patchy snow possible,1,,,
2015,rate,0,1,-4,0.0,52,21,0,18,Patchy snow possible,1,,,
2015,rate,0,1,-5,0.0,50,22,0,19,Patchy snow possible,1,,,
2015,rate,0,1,-5,0.0,47,23,0,20,Partly cloudy,1,,,
2015,rate,0,1,-6,0.0,45,24,0,21,Partly cloudy,1,,,
2015,rate,0,1,-6,0.0,42,10,1,4,Partly cloudy,1,,,
2015,rate,0,1,-6,0.0,53,6,1,7,Cloudy,1,,,
2015,rate,0,1,-7,0.1,61,7,1,8,Heavy snow,1,,,
2015,rate,0,1,-7,0.1,70,8,1,9,Heavy snow,1,,,
2015,rate,0,1,-6,0.1,70,8,1,10,Heavy snow,1,,,
2015,rate,0,1,-6,0.2,70,7,1,11,Heavy snow,1,,,
2015,rate,0,1,-5,0.3,71,7,1,12,Heavy snow,1,,,
2015,rate,0,1,-5,0.1,71,10,1,14,Heavy snow,1,,,
2015,rate,0,1,-5,0.1,73,11,1,16,Heavy snow,1,,,
2015,rate,0,1,-5,0.1,74,10,1,17,Patchy heavy snow,1,,,
2015,rate,0,1,-6,0.2,75,10,1,18,Patchy heavy snow,1,,,
2015,rate,0,1,-6,0.1,80,12,1,19,Patchy heavy snow,1,,,
2015,rate,0,1,-7,0.0,85,14,1,20,Patchy snow possible,1,,,
2015,rate,0,1,-8,0.0,90,16,1,21,Patchy snow possible,1,,,
2015,rate,0,1,-8,0.0,77,21,2,7,Sunny,1,,,
2015,rate,0,1,-7,0.0,71,28,2,8,Sunny,1,,,
2015,rate,0,1,-6,0.0,65,36,2,9,Sunny,1,,,
2015,rate,0,1,-6,0.0,62,34,2,10,Sunny,1,,,
2015,rate,0,1,-6,0.0,60,32,2,11,Patchy heavy snow,1,,,
2015,rate,0,1,-5,0.0,57,30,2,12,Patchy heavy snow,1,,,
2015,rate,0,1,-6,0.0,57,32,2,13,Patchy heavy snow,1,,,
2015,rate,0,1,-6,0.0,58,35,2,14,Blizzard,1,,,
2015,rate,0,1,-7,0.0,58,37,2,15,Blizzard,1,,,
2015,rate,0,1,-9,0.0,61,35,2,16,Blizzard,1,,,
2015,rate,0,1,-11,0.0,65,33,2,17,Patchy snow possible,1,,,
2015,rate,0,1,-12,0.0,68,30,2,18,Patchy snow possible,1,,,
2015,rate,0,1,-14,0.0,72,27,2,21,Patchy snow possible,1,,,
2015,rate,0,1,-15,0.0,75,24,2,23,Clear,1,,,
2015,rate,0,1,-13,0.0,78,18,3,7,Sunny,1,,,
2015,rate,0,1,-12,0.0,76,22,3,8,Partly cloudy,1,,,
2015,rate,0,1,-11,0.0,75,27,3,9,Partly cloudy,1,,,
2015,rate,0,1,-9,0.0,70,21,3,11,Sunny,1,,,
2015,rate,0,1,-8,0.0,69,20,3,13,Sunny,1,,,
2015,rate,0,1,-8,0.0,70,20,3,14,Sunny,1,,,
