year,month,day,hour,ausleihen,subs,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,rueckgabe1stunde,ausleihen1stunde,ausleihen1woche,ausleihe2woche
2015,1,15,13,5,4,0.8,0,3,1,1,0.0,57,15,Sunny,2015-01-15 13:00:00,1,2,2,5
2015,1,15,14,3,2,0.6666666666666666,0,3,1,1,0.0,60,16,Patchy snow possible,2015-01-15 14:00:00,3,5,1,3
2015,1,15,15,6,6,1.0,0,3,1,0,0.0,63,17,Patchy snow possible,2015-01-15 15:00:00,2,3,2,2
2015,1,15,16,2,2,1.0,0,3,1,0,0.0,65,16,Patchy snow possible,2015-01-15 16:00:00,4,6,3,7
2015,1,15,17,5,5,1.0,0,3,1,-1,0.0,67,15,Sunny,2015-01-15 17:00:00,6,2,5,2
2015,1,16,8,9,9,1.0,0,4,1,0,0.0,69,25,Sunny,2015-01-16 08:00:00,8,3,1,4
2015,1,16,12,3,2,0.6666666666666666,0,4,1,5,0.0,51,27,Partly cloudy,2015-01-16 12:00:00,4,0,1,2
2015,1,16,14,8,8,1.0,0,4,1,3,0.0,54,33,Patchy light snow,2015-01-16 14:00:00,3,3,3,11
2015,1,16,16,6,6,1.0,0,4,1,0,0.0,55,35,Patchy light snow,2015-01-16 16:00:00,5,6,4,6
2015,1,16,17,7,7,1.0,0,4,1,-2,0.0,54,34,Sunny,2015-01-16 17:00:00,4,6,5,6
2015,1,16,18,3,3,1.0,0,4,1,-3,0.0,54,33,Clear,2015-01-16 18:00:00,4,7,4,4
2015,1,17,10,3,3,1.0,0,5,0,-5,0.0,39,10,Sunny,2015-01-17 10:00:00,2,2,2,2
2015,1,17,11,5,3,0.6,0,5,0,-4,0.0,33,8,Sunny,2015-01-17 11:00:00,1,3,1,10
2015,1,17,12,2,1,0.5,0,5,0,-2,0.0,28,6,Sunny,2015-01-17 12:00:00,5,5,2,6
2015,1,17,13,1,1,1.0,0,5,0,-2,0.0,31,9,Sunny,2015-01-17 13:00:00,3,2,2,2
2015,1,17,16,8,6,0.75,0,5,0,-2,0.0,42,15,Sunny,2015-01-17 16:00:00,8,3,2,3
2015,1,17,18,1,1,1.0,0,5,0,-2,0.0,51,14,Clear,2015-01-17 18:00:00,3,5,1,1
2015,1,18,15,1,1,1.0,0,6,0,4,3.6,99,8,Heavy rain,2015-01-18 15:00:00,1,0,3,2
2015,1,18,20,1,1,1.0,0,6,0,3,0.0,92,19,Cloudy,2015-01-18 20:00:00,0,0,1,1
2015,1,19,7,1,1,1.0,1,0,0,1,0.0,79,25,Sunny,2015-01-19 07:00:00,0,0,5,4
2015,1,19,8,2,2,1.0,1,0,0,2,0.0,75,27,Patchy light snow,2015-01-19 08:00:00,2,1,5,12
2015,1,19,9,3,3,1.0,1,0,0,3,0.0,72,30,Patchy light snow,2015-01-19 09:00:00,2,2,3,4
2015,1,19,11,4,3,0.75,1,0,0,4,0.0,67,26,Overcast,2015-01-19 11:00:00,5,3,2,2
2015,1,19,15,3,1,0.3333333333333333,1,0,0,4,0.0,69,23,Partly cloudy,2015-01-19 15:00:00,7,7,1,8
2015,1,19,16,4,1,0.25,1,0,0,3,0.0,73,21,Partly cloudy,2015-01-19 16:00:00,7,3,1,3
2015,1,19,17,4,4,1.0,1,0,0,2,0.0,76,19,Partly cloudy,2015-01-19 17:00:00,6,4,5,10
2015,1,19,18,4,4,1.0,1,0,0,2,0.0,80,17,Partly cloudy,2015-01-19 18:00:00,5,4,4,10
2015,1,19,19,4,4,1.0,1,0,0,1,0.0,80,17,Partly cloudy,2015-01-19 19:00:00,6,4,8,4
2015,1,19,20,3,3,1.0,1,0,0,1,0.0,81,17,Clear,2015-01-19 20:00:00,3,4,1,1
2015,1,19,21,1,1,1.0,1,0,0,1,0.0,81,18,Clear,2015-01-19 21:00:00,3,3,3,2
2015,1,20,7,3,3,1.0,0,1,1,0,0.0,71,13,Sunny,2015-01-20 07:00:00,7,0,1,7
2015,1,20,8,9,9,1.0,0,1,1,1,0.0,66,14,Sunny,2015-01-20 08:00:00,6,3,6,4
2015,1,20,9,7,7,1.0,0,1,1,2,0.0,62,15,Sunny,2015-01-20 09:00:00,8,9,3,3
2015,1,20,10,4,4,1.0,0,1,1,2,0.0,60,15,Sunny,2015-01-20 10:00:00,5,7,1,1
2015,1,20,12,3,3,1.0,0,1,1,4,0.0,58,16,Partly cloudy,2015-01-20 12:00:00,3,3,1,2
2015,1,20,14,4,4,1.0,0,1,1,4,0.0,62,16,Patchy light snow,2015-01-20 14:00:00,3,4,4,1
2015,1,20,16,3,3,1.0,0,1,1,2,0.0,66,14,Patchy light snow,2015-01-20 16:00:00,0,7,1,4
2015,1,20,17,8,8,1.0,0,1,1,1,0.0,67,13,Patchy moderate snow,2015-01-20 17:00:00,5,3,6,7
2015,1,20,18,9,9,1.0,0,1,1,0,0.0,68,12,Patchy moderate snow,2015-01-20 18:00:00,5,8,7,3
2015,1,20,19,4,4,1.0,0,1,1,0,0.0,68,14,Patchy moderate snow,2015-01-20 19:00:00,5,9,3,4
2015,1,20,20,3,3,1.0,0,1,1,0,0.0,67,16,Clear,2015-01-20 20:00:00,5,4,1,1
2015,1,21,7,2,2,1.0,0,2,1,-2,0.0,51,11,Sunny,2015-01-21 07:00:00,3,0,4,2
