year,month,day,hour,ausleihen,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,ausleihen1woche
2015,1,1,2,1,1,3,0,-4,0.0,50,21,Clear,2015-01-01 02:00:00,0
2015,1,1,10,3,1,3,0,-1,0.0,37,25,Sunny,2015-01-01 10:00:00,0
2015,1,1,11,3,1,3,0,0,0.0,36,24,Sunny,2015-01-01 11:00:00,0
2015,1,1,12,2,1,3,0,2,0.0,35,22,Sunny,2015-01-01 12:00:00,0
2015,1,1,13,5,1,3,0,2,0.0,37,23,Sunny,2015-01-01 13:00:00,0
2015,1,1,14,4,1,3,0,2,0.0,39,24,Sunny,2015-01-01 14:00:00,0
2015,1,1,15,2,1,3,0,2,0.0,41,25,Sunny,2015-01-01 15:00:00,0
2015,1,1,16,7,1,3,0,1,0.0,44,26,Sunny,2015-01-01 16:00:00,0
2015,1,1,17,2,1,3,0,1,0.0,47,26,Sunny,2015-01-01 17:00:00,0
2015,1,1,22,1,1,3,0,0,0.0,59,23,Clear,2015-01-01 22:00:00,0
2015,1,1,23,1,1,3,0,0,0.0,58,20,Clear,2015-01-01 23:00:00,0
2015,1,2,8,4,0,4,1,2,0.0,64,22,Sunny,2015-01-02 08:00:00,0
2015,1,2,9,5,0,4,1,3,0.0,60,26,Sunny,2015-01-02 09:00:00,0
2015,1,2,10,6,0,4,1,3,0.0,57,24,Sunny,2015-01-02 10:00:00,0
2015,1,2,12,2,0,4,1,5,0.0,51,22,Sunny,2015-01-02 12:00:00,0
2015,1,2,13,8,0,4,1,4,0.0,53,20,Sunny,2015-01-02 13:00:00,0
2015,1,2,14,11,0,4,1,4,0.0,54,19,Sunny,2015-01-02 14:00:00,0
2015,1,2,15,7,0,4,1,3,0.0,56,18,Sunny,2015-01-02 15:00:00,0
2015,1,2,16,6,0,4,1,2,0.0,59,16,Sunny,2015-01-02 16:00:00,0
2015,1,2,17,6,0,4,1,2,0.0,63,14,Sunny,2015-01-02 17:00:00,0
2015,1,2,18,4,0,4,1,1,0.0,66,12,Clear,2015-01-02 18:00:00,0
2015,1,3,8,1,0,5,0,2,0.0,69,16,Cloudy,2015-01-03 08:00:00,0
2015,1,3,10,2,0,5,0,3,0.0,71,16,Cloudy,2015-01-03 10:00:00,0
2015,1,3,11,10,0,5,0,3,0.4,75,13,Light rain,2015-01-03 11:00:00,0
2015,1,3,12,6,0,5,0,4,0.6,80,9,Light rain,2015-01-03 12:00:00,0
2015,1,3,13,2,0,5,0,4,0.3,84,12,Light rain,2015-01-03 13:00:00,0
2015,1,3,16,3,0,5,0,5,0.5,94,16,Light rain,2015-01-03 16:00:00,0
2015,1,3,18,1,0,5,0,6,3.9,97,11,Heavy rain,2015-01-03 18:00:00,0
2015,1,3,23,1,0,5,0,7,1.1,98,9,Moderate rain,2015-01-03 23:00:00,0
2015,1,4,6,1,0,6,0,7,0.4,97,9,Light rain,2015-01-04 06:00:00,0
2015,1,4,9,1,0,6,0,6,0.4,94,22,Light rain,2015-01-04 09:00:00,0
2015,1,4,10,3,0,6,0,7,0.2,94,18,Light rain,2015-01-04 10:00:00,0
2015,1,4,11,6,0,6,0,9,0.3,94,14,Light rain,2015-01-04 11:00:00,0
2015,1,4,12,8,0,6,0,10,0.4,95,11,Light rain,2015-01-04 12:00:00,0
2015,1,4,13,2,0,6,0,11,0.2,94,15,Light rain,2015-01-04 13:00:00,0
2015,1,4,14,6,0,6,0,11,0.0,93,19,Partly cloudy,2015-01-04 14:00:00,0
2015,1,4,15,2,0,6,0,11,0.0,92,23,Partly cloudy,2015-01-04 15:00:00,0
2015,1,4,16,8,0,6,0,11,0.0,94,18,Partly cloudy,2015-01-04 16:00:00,0
2015,1,4,17,4,0,6,0,11,0.4,95,13,Light rain,2015-01-04 17:00:00,0
2015,1,4,19,1,0,6,0,11,0.2,92,16,Light rain,2015-01-04 19:00:00,0
2015,1,4,20,1,0,6,0,10,1.1,86,25,Moderate rain at times,2015-01-04 20:00:00,0
2015,1,4,22,1,0,6,0,8,0.7,80,30,Moderate rain at times,2015-01-04 22:00:00,0
2015,1,5,1,1,0,0,1,4,1.1,79,23,Patchy rain possible,2015-01-05 01:00:00,0
2015,1,5,6,5,0,0,1,0,0.0,70,24,Patchy snow possible,2015-01-05 06:00:00,0
2015,1,5,7,4,0,0,1,0,0.0,65,28,Patchy snow possible,2015-01-05 07:00:00,0
2015,1,5,8,12,0,0,1,0,0.0,61,32,Patchy moderate snow,2015-01-05 08:00:00,0
2015,1,5,9,4,0,0,1,0,0.0,57,36,Patchy moderate snow,2015-01-05 09:00:00,0
2015,1,5,10,3,0,0,1,0,0.0,55,34,Patchy moderate snow,2015-01-05 10:00:00,0
2015,1,5,11,2,0,0,1,0,0.0,53,31,Blizzard,2015-01-05 11:00:00,0
2015,1,5,12,4,0,0,1,0,0.0,51,29,Blizzard,2015-01-05 12:00:00,0
2015,1,5,13,1,0,0,1,0,0.0,51,29,Blizzard,2015-01-05 13:00:00,0
2015,1,5,14,2,0,0,1,0,0.0,50,30,Blowing snow,2015-01-05 14:00:00,0
2015,1,5,15,8,0,0,1,0,0.0,49,30,Blowing snow,2015-01-05 15:00:00,0
2015,1,5,16,3,0,0,1,-2,0.0,50,27,Blowing snow,2015-01-05 16:00:00,0
2015,1,5,17,12,0,0,1,-3,0.0,51,24,Patchy snow possible,2015-01-05 17:00:00,0
2015,1,5,18,11,0,0,1,-4,0.0,52,21,Patchy snow possible,2015-01-05 18:00:00,0
2015,1,5,19,4,0,0,1,-5,0.0,50,22,Patchy snow possible,2015-01-05 19:00:00,0
2015,1,5,20,1,0,0,1,-5,0.0,47,23,Partly cloudy,2015-01-05 20:00:00,0
2015,1,5,21,2,0,0,1,-6,0.0,45,24,Partly cloudy,2015-01-05 21:00:00,0
2015,1,6,4,2,0,1,1,-6,0.0,42,10,Partly cloudy,2015-01-06 04:00:00,0
2015,1,6,7,7,0,1,1,-6,0.0,53,6,Cloudy,2015-01-06 07:00:00,0
2015,1,6,8,4,0,1,1,-7,0.1,61,7,Heavy snow,2015-01-06 08:00:00,0
2015,1,6,9,3,0,1,1,-7,0.1,70,8,Heavy snow,2015-01-06 09:00:00,0
2015,1,6,10,1,0,1,1,-6,0.1,70,8,Heavy snow,2015-01-06 10:00:00,0
2015,1,6,11,3,0,1,1,-6,0.2,70,7,Heavy snow,2015-01-06 11:00:00,0
2015,1,6,12,2,0,1,1,-5,0.3,71,7,Heavy snow,2015-01-06 12:00:00,0
2015,1,6,14,1,0,1,1,-5,0.1,71,10,Heavy snow,2015-01-06 14:00:00,0
2015,1,6,16,4,0,1,1,-5,0.1,73,11,Heavy snow,2015-01-06 16:00:00,0
2015,1,6,17,7,0,1,1,-5,0.1,74,10,Patchy heavy snow,2015-01-06 17:00:00,0
2015,1,6,18,3,0,1,1,-6,0.2,75,10,Patchy heavy snow,2015-01-06 18:00:00,0
2015,1,6,19,4,0,1,1,-6,0.1,80,12,Patchy heavy snow,2015-01-06 19:00:00,0
2015,1,6,20,1,0,1,1,-7,0.0,85,14,Patchy snow possible,2015-01-06 20:00:00,0
2015,1,6,21,3,0,1,1,-8,0.0,90,16,Patchy snow possible,2015-01-06 21:00:00,0
2015,1,7,7,2,0,2,1,-8,0.0,77,21,Sunny,2015-01-07 07:00:00,0
2015,1,7,8,5,0,2,1,-7,0.0,71,28,Sunny,2015-01-07 08:00:00,0
2015,1,7,9,2,0,2,1,-6,0.0,65,36,Sunny,2015-01-07 09:00:00,0
