tempC,precipMM,humidity,windspeedKmph,year,day,holidays,workday,rueckgaben,ausleihen,weekday,hour,weatherDesc2,month,ausleihenpredict,rueckgabenpredict,differenz_real,differenz_predicted,differenz_ausleihen_real_predict,differenz_rueckgaben_real_predict
24,0.0,83,11,2018,1,0,1,2,2,2,0,Overcast,8,1.2087096,1.8019577,0,-0.5932481000000001,0.7912904000000001,0.1980423
24,0.0,84,10,2018,1,0,1,0,0,2,1,Overcast,8,1.2877969,1.2950976,0,-0.007300700000000049,-1.2877969,-1.2950976
24,0.3,86,9,2018,1,0,1,2,1,2,2,Light rain shower,8,1.0608083,1.001227,-1,0.05958129999999984,-0.060808299999999926,0.9987729999999999
24,0.4,87,8,2018,1,0,1,0,0,2,3,Light rain shower,8,0.9210613,0.9618475,0,-0.040786199999999995,-0.9210613,-0.9618475
24,0.2,86,9,2018,1,0,1,0,2,2,4,Light rain shower,8,1.0167689,0.9655103,2,0.05125859999999993,0.9832311,-0.9655103
25,0.8,85,10,2018,1,0,1,3,1,2,5,Light rain shower,8,1.6025676,1.8313835,-2,-0.22881590000000007,-0.6025676,1.1686165
25,1.1,83,12,2018,1,0,1,4,4,2,6,Light rain shower,8,4.43134,11.37698,0,-6.94564,-0.4313399999999996,-7.37698
26,0.6,79,14,2018,1,0,1,12,9,2,7,Light rain shower,8,16.594818,30.387058,-3,-13.79224,-7.594818,-18.387058
27,0.8,74,16,2018,1,0,1,44,23,2,8,Light rain shower,8,30.080988,66.167046,-21,-36.086057999999994,-7.080988000000001,-22.167046
28,1.1,70,18,2018,1,0,1,29,18,2,9,Light rain shower,8,19.586365,39.59847,-11,-20.012105,-1.5863650000000007,-10.598469999999999
28,0.5,69,18,2018,1,0,1,13,12,2,10,Light rain shower,8,11.864949,15.453349,-1,-3.5884,0.1350510000000007,-2.4533489999999993
28,1.6,69,18,2018,1,0,1,12,18,2,11,Moderate or heavy rain shower,8,8.461045,8.790549,6,-0.329504,9.538955,3.2094509999999996
29,2.2,68,18,2018,1,0,1,12,7,2,12,Moderate or heavy rain shower,8,9.85124,10.795552,-5,-0.944312,-2.8512400000000007,1.2044479999999993
29,1.1,65,19,2018,1,0,1,19,10,2,13,Moderate or heavy rain shower,8,12.015923,13.084759,-9,-1.0688359999999992,-2.015923000000001,5.915241
30,0.4,61,19,2018,1,0,1,12,19,2,14,Light rain shower,8,14.031589,16.02269,7,-1.9911010000000005,4.968411,-4.022690000000001
31,0.6,58,19,2018,1,0,1,17,16,2,15,Light rain shower,8,15.147149,14.392846,-1,0.7543030000000002,0.8528509999999994,2.6071539999999995
30,0.3,60,19,2018,1,0,1,31,19,2,16,Light rain shower,8,14.3730135,13.462327,-12,0.9106865000000006,4.626986499999999,17.537672999999998
30,0.5,62,19,2018,1,0,1,53,95,2,17,Light rain shower,8,53.43203,33.430508,42,20.001521999999994,41.56797,19.569491999999997
29,0.6,65,19,2018,1,0,1,45,78,2,18,Light rain shower,8,60.62488,44.611183,33,16.013697,17.375120000000003,0.3888170000000031
28,0.3,68,20,2018,1,0,1,43,41,2,19,Light rain shower,8,44.30928,35.46423,-2,8.84505,-3.309280000000001,7.535769999999999
28,0.0,71,21,2018,1,0,1,30,29,2,20,Clear,8,35.390614,28.123386,-1,7.267227999999999,-6.390613999999999,1.876614
27,0.0,74,21,2018,1,0,1,21,23,2,21,Clear,8,17.655699,15.821604,2,1.8340949999999978,5.3443010000000015,5.178395999999999
27,0.0,75,19,2018,1,0,1,14,10,2,22,Clear,8,9.002489,7.9308186,-4,1.0716704000000004,0.9975109999999994,6.0691814
27,0.0,76,17,2018,1,0,1,7,11,2,23,Partly cloudy,8,5.0052547,8.265248,4,-3.2599932999999996,5.9947453,-1.2652479999999997
26,0.1,76,14,2018,2,0,1,3,1,3,0,Partly cloudy,8,2.5605335,3.5074267,-2,-0.9468931999999999,-1.5605335,-0.5074266999999999
26,0.0,78,15,2018,2,0,1,0,0,3,1,Partly cloudy,8,2.4924834,2.7626662,0,-0.27018280000000017,-2.4924834,-2.7626662
26,0.0,80,15,2018,2,0,1,1,0,3,2,Partly cloudy,8,1.1752837,1.2037401,-1,-0.02845640000000005,-1.1752837,-0.2037401000000001
25,0.0,81,15,2018,2,0,1,1,1,3,3,Partly cloudy,8,0.89118165,1.3885009,0,-0.4973192499999999,0.10881834999999995,-0.3885008999999999
25,0.0,80,14,2018,2,0,1,0,0,3,4,Partly cloudy,8,0.96080816,1.1761875,0,-0.21537933999999992,-0.96080816,-1.1761875
26,0.0,78,12,2018,2,0,1,3,1,3,5,Partly cloudy,8,1.2756424,2.6243875,-2,-1.3487451000000001,-0.27564239999999995,0.3756124999999999
26,0.0,77,10,2018,2,0,1,14,8,3,6,Partly cloudy,8,5.0860634,13.933847,-6,-8.8477836,2.9139366000000004,0.0661529999999999
27,0.0,72,11,2018,2,0,1,39,20,3,7,Partly cloudy,8,16.814577,33.209923,-19,-16.395346000000004,3.185423,5.790076999999997
28,0.2,67,12,2018,2,0,1,56,32,3,8,Patchy rain possible,8,27.603994,63.094387,-24,-35.490393,4.396006,-7.094386999999998
30,0.3,61,13,2018,2,0,1,36,21,3,9,Patchy rain possible,8,18.312794,38.801537,-15,-20.488743000000003,2.6872059999999998,-2.8015370000000033
30,0.2,60,13,2018,2,0,1,19,16,3,10,Patchy rain possible,8,10.100461,14.410924,-3,-4.310463,5.899539000000001,4.589076
30,0.9,59,14,2018,2,0,1,19,13,3,11,Moderate or heavy rain shower,8,10.592426,10.960262,-6,-0.3678360000000005,2.4075740000000003,8.039738
31,1.2,57,14,2018,2,0,1,23,18,3,12,Moderate or heavy rain shower,8,11.380578,13.381398,-5,-2.000820000000001,6.619422,9.618602
31,0.6,57,15,2018,2,0,1,19,18,3,13,Moderate or heavy rain shower,8,13.099192,14.618775,-1,-1.519582999999999,4.900808,4.381225000000001
31,0.9,56,17,2018,2,0,1,19,19,3,14,Moderate or heavy rain shower,8,14.0281515,14.077906,0,-0.04975450000000059,4.9718485,4.9220939999999995
31,1.2,56,18,2018,2,0,1,18,23,3,15,Moderate or heavy rain shower,8,14.641069,14.306879,5,0.33418999999999954,8.358931,3.6931209999999997
30,0.6,58,14,2018,2,0,1,19,16,3,16,Moderate or heavy rain shower,8,15.009254,14.880807,-3,0.12844699999999953,0.9907459999999997,4.119192999999999
30,1.2,61,9,2018,2,0,1,20,35,3,17,Moderate or heavy rain shower,8,44.265247,25.481026,15,18.784221000000002,-9.265247000000002,-5.481026
29,1.6,64,5,2018,2,0,1,45,70,3,18,Moderate or heavy rain shower,8,52.521824,37.417534,25,15.104289999999999,17.478175999999998,7.582465999999997
28,0.8,68,7,2018,2,0,1,39,63,3,19,Moderate or heavy rain shower,8,40.174572,31.235826,24,8.938745999999998,22.825428000000002,7.764174000000001
28,1.5,72,8,2018,2,0,1,24,31,3,20,Moderate or heavy rain shower,8,25.127632,19.736618,7,5.391013999999998,5.872368000000002,4.263382
27,2.0,76,9,2018,2,0,1,15,10,3,21,Moderate or heavy rain shower,8,12.049435,11.515013,-5,0.5344220000000011,-2.049435000000001,3.4849870000000003
27,1.0,77,8,2018,2,0,1,3,6,3,22,Moderate or heavy rain shower,8,4.905569,4.8619018,3,0.043667199999999795,1.0944310000000002,-1.8619018
26,2.2,79,8,2018,2,0,1,5,6,3,23,Moderate or heavy rain shower,8,2.6350775,3.7292168,1,-1.0941393000000001,3.3649225,1.2707832
26,4.4,80,7,2018,3,0,1,1,2,4,0,Moderate or heavy rain shower,8,1.5112848,1.4562917,1,0.05499310000000013,0.4887151999999999,-0.45629169999999997
26,2.2,82,8,2018,3,0,1,2,0,4,1,Moderate or heavy rain shower,8,1.23184,1.0362077,-2,0.19563229999999998,-1.23184,0.9637922999999999
25,0.4,83,10,2018,3,0,1,0,0,4,2,Patchy rain possible,8,1.0275021,1.0969713,0,-0.06946920000000012,-1.0275021,-1.0969713
25,0.6,85,12,2018,3,0,1,0,0,4,3,Patchy rain possible,8,1.0306585,1.1460781,0,-0.11541960000000007,-1.0306585,-1.1460781
25,0.3,84,11,2018,3,0,1,1,1,4,4,Patchy rain possible,8,0.91939473,1.057817,0,-0.13842226999999996,0.08060526999999995,-0.05781700000000001
26,0.5,82,10,2018,3,0,1,1,1,4,5,Patchy rain possible,8,1.0741788,2.0307446,0,-0.9565657999999997,-0.0741788000000001,-1.0307445999999998
26,0.7,81,10,2018,3,0,1,10,4,4,6,Patchy rain possible,8,4.7719636,11.630609,-6,-6.8586453999999994,-0.7719636000000003,-1.6306089999999998
27,0.3,76,11,2018,3,0,1,19,12,4,7,Patchy rain possible,8,14.725408,27.347715,-7,-12.622307000000001,-2.725408,-8.347715
28,0.0,71,13,2018,3,0,1,56,32,4,8,Partly cloudy,8,26.565989,60.82526,-24,-34.259271,5.434011000000002,-4.82526
29,0.0,66,15,2018,3,0,1,33,18,4,9,Partly cloudy,8,17.936205,39.449574,-15,-21.513368999999997,0.06379499999999894,-6.449573999999998
29,0.0,64,15,2018,3,0,1,10,11,4,10,Partly cloudy,8,11.863328,17.32022,1,-5.456892,-0.8633279999999992,-7.320219999999999
30,0.3,61,15,2018,3,0,1,17,10,4,11,Light rain shower,8,12.935111,15.229197,-7,-2.294086,-2.935110999999999,1.7708030000000008
31,0.4,59,15,2018,3,0,1,10,9,4,12,Light rain shower,8,13.653966,16.776161,-1,-3.122194999999998,-4.6539660000000005,-6.776160999999998
30,0.2,60,16,2018,3,0,1,24,12,4,13,Light rain shower,8,15.679113,17.492046,-12,-1.8129329999999992,-3.679112999999999,6.507954000000002
30,1.5,60,17,2018,3,0,1,16,14,4,14,Moderate or heavy rain shower,8,14.642246,14.487849,-2,0.15439699999999945,-0.6422460000000001,1.5121509999999994
30,2.0,61,18,2018,3,0,1,4,7,4,15,Moderate or heavy rain shower,8,16.143335,15.53603,3,0.6073050000000002,-9.143335,-11.53603
29,1.0,62,16,2018,3,0,1,22,37,4,16,Moderate or heavy rain shower,8,20.474583,18.360832,15,2.1137510000000006,16.525417,3.6391680000000015
29,1.6,64,13,2018,3,0,1,35,38,4,17,Moderate or heavy rain shower,8,42.15125,24.857607,3,17.293642999999996,-4.151249999999997,10.142392999999998
28,2.1,65,10,2018,3,0,1,40,41,4,18,Moderate or heavy rain shower,8,38.217216,27.707827,1,10.509388999999999,2.7827839999999995,12.292172999999998
28,1.0,67,13,2018,3,0,1,30,30,4,19,Moderate or heavy rain shower,8,27.040241,22.471977,0,4.568264000000003,2.9597589999999983,7.528023000000001
27,1.1,69,15,2018,3,0,1,22,18,4,20,Moderate or heavy rain shower,8,17.919584,15.117296,-4,2.802288000000001,0.0804159999999996,6.882704
26,1.4,71,18,2018,3,0,1,13,15,4,21,Moderate or heavy rain shower,8,9.518789,9.964525,2,-0.44573600000000013,5.481211,3.035475
26,0.7,72,17,2018,3,0,1,9,10,4,22,Moderate or heavy rain shower,8,6.132688,5.3017273,1,0.8309607000000003,3.867312,3.6982727000000004
26,1.1,72,15,2018,3,0,1,5,6,4,23,Moderate or heavy rain shower,8,4.331737,5.5509186,1,-1.2191815999999998,1.6682629999999996,-0.5509186000000001
26,2.2,73,14,2018,4,0,0,7,4,5,0,Moderate or heavy rain shower,8,4.337473,3.120862,-3,1.2166110000000003,-0.33747300000000013,3.879138
25,1.1,74,15,2018,4,0,0,1,2,5,1,Moderate or heavy rain shower,8,2.0634043,1.6153328,1,0.4480715000000002,-0.06340430000000019,-0.6153328
25,0.5,76,15,2018,4,0,0,1,0,5,2,Light rain shower,8,2.3990583,1.2085223,-1,1.190536,-2.3990583,-0.20852230000000005
25,0.7,77,16,2018,4,0,0,3,0,5,3,Light rain shower,8,3.6792161,2.4303463,-3,1.2488698,-3.6792161,0.5696536999999999
25,0.4,77,14,2018,4,0,0,1,0,5,4,Light rain shower,8,2.3215663,1.2069945,-1,1.1145718000000002,-2.3215663,-0.20699449999999997
25,1.5,77,13,2018,4,0,0,0,0,5,5,Moderate or heavy rain shower,8,0.91621894,1.0012558,0,-0.08503685999999999,-0.91621894,-1.0012558
25,2.0,77,12,2018,4,0,0,2,2,5,6,Moderate or heavy rain shower,8,1.4864274,1.3409611,0,0.14546630000000005,0.5135726,0.6590389000000001
25,1.0,74,10,2018,4,0,0,0,3,5,7,Moderate or heavy rain shower,8,2.024689,2.2389147,3,-0.21422570000000007,0.975311,-2.2389147
26,2.1,72,9,2018,4,0,0,1,2,5,8,Moderate or heavy rain shower,8,6.0510526,4.6551924,1,1.3958602000000004,-4.0510526,-3.6551924
27,2.8,70,7,2018,4,0,0,5,2,5,9,Moderate or heavy rain shower,8,11.756584,12.888843,-3,-1.1322589999999995,-9.756584,-7.888843
28,1.4,66,8,2018,4,0,0,4,0,5,10,Moderate or heavy rain shower,8,20.418903,22.074587,-4,-1.6556840000000008,-20.418903,-18.074587
29,2.5,62,8,2018,4,0,0,5,6,5,11,Moderate or heavy rain shower,8,25.465124,24.880491,1,0.5846330000000002,-19.465124,-19.880491
31,3.3,58,8,2018,4,0,0,12,17,5,12,Moderate or heavy rain shower,8,27.43909,28.325905,5,-0.8868149999999986,-10.43909,-16.325905
31,1.6,56,9,2018,4,0,0,34,25,5,13,Moderate or heavy rain shower,8,34.097275,34.38777,-9,-0.29049499999999995,-9.097275000000003,-0.3877700000000033
31,0.0,54,9,2018,4,0,0,42,33,5,14,Partly cloudy,8,39.32175,38.516815,-9,0.8049350000000004,-6.3217500000000015,3.483184999999999
31,0.0,52,9,2018,4,0,0,40,41,5,15,Partly cloudy,8,37.98185,37.30592,1,0.675930000000001,3.0181499999999986,2.6940799999999996
31,0.0,53,9,2018,4,0,0,42,52,5,16,Partly cloudy,8,39.705257,38.469837,10,1.2354200000000048,12.294742999999997,3.5301630000000017
31,0.0,54,9,2018,4,0,0,39,41,5,17,Sunny,8,42.277447,32.24545,2,10.031997000000004,-1.2774470000000022,6.754550000000002
31,0.0,54,8,2018,4,0,0,46,27,5,18,Clear,8,48.88233,40.699905,-19,8.182425000000002,-21.882330000000003,5.300094999999999
30,0.0,58,9,2018,4,0,0,43,31,5,19,Clear,8,35.610596,33.49685,-12,2.113745999999999,-4.610596000000001,9.503149999999998
29,0.0,62,11,2018,4,0,0,28,30,5,20,Clear,8,24.69628,23.955608,2,0.740672,5.303719999999998,4.044391999999998
28,0.0,66,12,2018,4,0,0,15,16,5,21,Clear,8,14.648826,13.693426,1,0.9553999999999991,1.3511740000000003,1.3065739999999995
28,0.0,67,11,2018,4,0,0,9,18,5,22,Clear,8,8.901348,8.543858,9,0.3574900000000003,9.098652,0.4561419999999998
28,0.0,68,10,2018,4,0,0,6,4,5,23,Clear,8,7.319861,7.771493,-2,-0.45163200000000003,-3.3198610000000004,-1.7714930000000004
29,0.1,69,10,2018,5,0,0,6,4,6,0,Clear,8,3.4819136,3.502487,-2,-0.020573399999999964,0.5180864000000001,2.497513
28,0.0,70,9,2018,5,0,0,4,2,6,1,Clear,8,2.6082706,3.2617095,-2,-0.6534388999999998,-0.6082706,0.7382905000000002
