year,month,day,count
2015.0,1.0,1.0,26
2015.0,1.0,2.0,57
2015.0,1.0,3.0,19
2015.0,1.0,4.0,47
2015.0,1.0,5.0,78
2015.0,1.0,6.0,47
2015.0,1.0,7.0,40
2015.0,1.0,8.0,35
2015.0,1.0,9.0,21
2015.0,1.0,10.0,27
2015.0,1.0,11.0,41
2015.0,1.0,12.0,36
2015.0,1.0,13.0,41
2015.0,1.0,14.0,42
2015.0,1.0,15.0,59
2015.0,1.0,16.0,61
2015.0,1.0,17.0,36
2015.0,1.0,18.0,2
2015.0,1.0,19.0,39
2015.0,1.0,20.0,57
2015.0,1.0,21.0,63
2015.0,1.0,22.0,67
2015.0,1.0,23.0,64
2015.0,1.0,24.0,30
2015.0,1.0,25.0,55
2015.0,1.0,26.0,24
2015.0,1.0,27.0,31
2015.0,1.0,28.0,32
2015.0,1.0,29.0,29
2015.0,1.0,30.0,41
2015.0,1.0,31.0,24
2015.0,2.0,1.0,30
2015.0,2.0,2.0,6
2015.0,2.0,3.0,22
2015.0,2.0,4.0,28
2015.0,2.0,5.0,40
2015.0,2.0,6.0,32
2015.0,2.0,7.0,18
2015.0,2.0,8.0,38
2015.0,2.0,9.0,19
2015.0,2.0,10.0,46
2015.0,2.0,11.0,54
2015.0,2.0,12.0,24
2015.0,2.0,13.0,31
2015.0,2.0,14.0,23
2015.0,2.0,15.0,9
2015.0,2.0,16.0,16
2015.0,2.0,17.0,17
2015.0,2.0,18.0,27
2015.0,2.0,19.0,30
2015.0,2.0,20.0,26
2015.0,2.0,21.0,15
2015.0,2.0,22.0,34
2015.0,2.0,23.0,42
2015.0,2.0,24.0,36
2015.0,2.0,25.0,57
2015.0,2.0,26.0,21
2015.0,2.0,27.0,44
2015.0,2.0,28.0,20
2015.0,3.0,1.0,15
2015.0,3.0,2.0,26
2015.0,3.0,3.0,27
2015.0,3.0,4.0,54
2015.0,3.0,5.0,72
2015.0,3.0,6.0,38
2015.0,3.0,7.0,26
2015.0,3.0,8.0,86
2015.0,3.0,9.0,111
2015.0,3.0,10.0,107
2015.0,3.0,11.0,77
2015.0,3.0,12.0,82
2015.0,3.0,13.0,98
2015.0,3.0,14.0,13
2015.0,3.0,15.0,48
2015.0,3.0,16.0,67
2015.0,3.0,17.0,50
2015.0,3.0,18.0,52
2015.0,3.0,19.0,97
2015.0,3.0,20.0,90
2015.0,3.0,21.0,57
2015.0,3.0,22.0,63
2015.0,3.0,23.0,61
2015.0,3.0,24.0,72
2015.0,3.0,25.0,89
2015.0,3.0,26.0,74
2015.0,3.0,27.0,100
2015.0,3.0,28.0,12
2015.0,3.0,29.0,89
2015.0,3.0,30.0,69
2015.0,3.0,31.0,81
2015.0,4.0,1.0,161
2015.0,4.0,2.0,77
2015.0,4.0,3.0,121
2015.0,4.0,4.0,98
2015.0,4.0,5.0,106
2015.0,4.0,6.0,191
2015.0,4.0,7.0,69
2015.0,4.0,8.0,76
2015.0,4.0,9.0,71
2015.0,4.0,10.0,112
2015.0,4.0,11.0,344
2015.0,4.0,12.0,176
2015.0,4.0,13.0,176
2015.0,4.0,14.0,131
2015.0,4.0,15.0,189
2015.0,4.0,16.0,153
2015.0,4.0,17.0,185
2015.0,4.0,18.0,482
2015.0,4.0,19.0,169
2015.0,4.0,20.0,110
2015.0,4.0,21.0,229
2015.0,4.0,22.0,114
2015.0,4.0,23.0,117
2015.0,4.0,24.0,111
2015.0,4.0,25.0,222
2015.0,4.0,26.0,330
2015.0,4.0,27.0,166
2015.0,4.0,28.0,216
2015.0,4.0,29.0,207
2015.0,4.0,30.0,224
2015.0,5.0,1.0,261
2015.0,5.0,2.0,196
2015.0,5.0,3.0,481
2015.0,5.0,4.0,273
2015.0,5.0,5.0,309
2015.0,5.0,6.0,275
2015.0,5.0,7.0,227
2015.0,5.0,8.0,243
2015.0,5.0,9.0,365
2015.0,5.0,10.0,360
2015.0,5.0,11.0,243
2015.0,5.0,12.0,283
2015.0,5.0,13.0,291
2015.0,5.0,14.0,283
2015.0,5.0,15.0,397
2015.0,5.0,16.0,236
2015.0,5.0,17.0,288
2015.0,5.0,18.0,527
2015.0,5.0,19.0,218
2015.0,5.0,20.0,315
2015.0,5.0,21.0,237
2015.0,5.0,22.0,157
2015.0,5.0,23.0,316
2015.0,5.0,24.0,351
2015.0,5.0,25.0,404
2015.0,5.0,26.0,489
2015.0,5.0,27.0,340
2015.0,5.0,28.0,255
2015.0,5.0,29.0,222
2015.0,5.0,30.0,332
2015.0,5.0,31.0,451
2015.0,6.0,1.0,311
2015.0,6.0,2.0,148
2015.0,6.0,3.0,79
2015.0,6.0,4.0,313
2015.0,6.0,5.0,243
2015.0,6.0,6.0,246
2015.0,6.0,7.0,383
