hour,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,year,month,day,ausleihen,rueckgaben,holidays,weekday,workday
0.0,24,0.0,83,11,Overcast,2018,8,1,2,2,0,2,1
1.0,24,0.0,84,10,Overcast,2018,8,1,0,0,0,2,1
2.0,24,0.3,86,9,Light rain shower,2018,8,1,1,2,0,2,1
3.0,24,0.4,87,8,Light rain shower,2018,8,1,0,0,0,2,1
4.0,24,0.2,86,9,Light rain shower,2018,8,1,2,0,0,2,1
5.0,25,0.8,85,10,Light rain shower,2018,8,1,1,3,0,2,1
6.0,25,1.1,83,12,Light rain shower,2018,8,1,4,4,0,2,1
7.0,26,0.6,79,14,Light rain shower,2018,8,1,9,12,0,2,1
8.0,27,0.8,74,16,Light rain shower,2018,8,1,23,44,0,2,1
9.0,28,1.1,70,18,Light rain shower,2018,8,1,18,29,0,2,1
10.0,28,0.5,69,18,Light rain shower,2018,8,1,12,13,0,2,1
11.0,28,1.6,69,18,Moderate or heavy rain shower,2018,8,1,18,12,0,2,1
12.0,29,2.2,68,18,Moderate or heavy rain shower,2018,8,1,7,12,0,2,1
13.0,29,1.1,65,19,Moderate or heavy rain shower,2018,8,1,10,19,0,2,1
14.0,30,0.4,61,19,Light rain shower,2018,8,1,19,12,0,2,1
15.0,31,0.6,58,19,Light rain shower,2018,8,1,16,17,0,2,1
16.0,30,0.3,60,19,Light rain shower,2018,8,1,19,31,0,2,1
17.0,30,0.5,62,19,Light rain shower,2018,8,1,95,53,0,2,1
18.0,29,0.6,65,19,Light rain shower,2018,8,1,78,45,0,2,1
19.0,28,0.3,68,20,Light rain shower,2018,8,1,41,43,0,2,1
20.0,28,0.0,71,21,Clear,2018,8,1,29,30,0,2,1
21.0,27,0.0,74,21,Clear,2018,8,1,23,21,0,2,1
22.0,27,0.0,75,19,Clear,2018,8,1,10,14,0,2,1
23.0,27,0.0,76,17,Partly cloudy,2018,8,1,11,7,0,2,1
0.0,26,0.1,76,14,Partly cloudy,2018,8,2,1,3,0,3,1
1.0,26,0.0,78,15,Partly cloudy,2018,8,2,0,0,0,3,1
2.0,26,0.0,80,15,Partly cloudy,2018,8,2,0,1,0,3,1
3.0,25,0.0,81,15,Partly cloudy,2018,8,2,1,1,0,3,1
4.0,25,0.0,80,14,Partly cloudy,2018,8,2,0,0,0,3,1
5.0,26,0.0,78,12,Partly cloudy,2018,8,2,1,3,0,3,1
6.0,26,0.0,77,10,Partly cloudy,2018,8,2,8,14,0,3,1
