year,month,day,hour,ausleihen,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,ausleihe1woche,ausleihe1stunde,ausleihe2stunde,ausleihe2woche,ausleihe3woche,rueckgabe1stunde,ausleihen2,ausleihpredict,ausleihpredict_forest
2015,5,22,6,4,1.0,0,4,1,14,0.0,69,15,1,2015-05-22 06:00:00,4,0,0,8,3,1,4.0,5.560018,4.265
2015,5,22,7,11,1.0,0,4,1,15,0.0,62,17,1,2015-05-22 07:00:00,9,4,0,8,11,6,11.0,10.573111,10.71
2015,5,22,8,16,0.9375,0,4,1,17,0.0,55,19,1,2015-05-22 08:00:00,19,11,4,19,19,16,16.0,20.239788,17.3
2015,5,22,9,15,0.7333333333333333,0,4,1,19,0.0,47,21,1,2015-05-22 09:00:00,17,16,11,9,9,32,15.0,13.065376,15.12
2015,5,22,10,11,0.5454545454545454,0,4,1,20,0.0,45,21,1,2015-05-22 10:00:00,21,15,16,11,8,19,11.0,14.592627,12.9
2015,5,22,11,23,0.4782608695652174,0,4,1,20,0.0,43,21,1,2015-05-22 11:00:00,11,11,15,11,5,9,23.0,11.311653,19.58
2015,5,22,12,13,0.9230769230769232,0,4,1,21,0.0,42,22,1,2015-05-22 12:00:00,6,23,11,12,5,18,13.0,14.347516,13.86
2015,5,22,13,17,0.8823529411764706,0,4,1,20,0.0,44,22,1,2015-05-22 13:00:00,17,13,23,13,15,13,17.0,15.9533615,16.13
2015,5,22,14,49,0.7142857142857143,0,4,1,20,0.0,47,22,1,2015-05-22 14:00:00,24,17,13,21,16,18,49.0,21.106676,37.12
2015,5,22,15,19,0.8421052631578947,0,4,1,20,0.0,49,23,1,2015-05-22 15:00:00,24,49,17,27,15,42,19.0,31.348104,29.0
2015,5,22,16,19,0.7894736842105263,0,4,1,19,0.0,52,20,1,2015-05-22 16:00:00,40,19,49,27,30,12,19.0,31.732712,25.2
