start,year,month,day,hour,rueckgaben_predict,rueckgaben_real,ausleihen_real,ausleihen_predicted,real_differenz,predicted_differenz,differenz_mape
2019-05-22 07:00:00,2019,5,22,7,43.00664,47,30,22.468296,-17,-20.538344,20.81378823529411
2019-05-22 08:00:00,2019,5,22,8,59.70072,76,27,28.325766,-49,-31.374953999999995,35.96948163265307
2019-05-22 10:00:00,2019,5,22,10,18.088634,14,14,11.600139,0,-6.488494999999999,0.0
2019-05-22 12:00:00,2019,5,22,12,15.387557,14,11,16.421701,-3,1.0341439999999995,134.47146666666666
2019-05-22 13:00:00,2019,5,22,13,12.085426,12,13,13.637045,1,1.5516190000000005,55.16190000000005
2019-05-22 14:00:00,2019,5,22,14,11.198821,13,7,11.719582,-6,0.5207610000000003,108.67935
2019-05-22 15:00:00,2019,5,22,15,18.174183,22,25,20.697939,3,2.5237560000000023,15.874799999999922
2019-05-22 16:00:00,2019,5,22,16,29.288883,40,32,22.499723,-8,-6.789159999999999,15.135500000000013
2019-05-22 18:00:00,2019,5,22,18,56.295887,74,103,69.472275,29,13.176387999999996,54.56417931034484
2019-05-22 19:00:00,2019,5,22,19,39.310925,52,64,53.153797,12,13.842872,15.357266666666666
2019-05-23 09:00:00,2019,5,23,9,23.55656,17,14,14.176451,-3,-9.380109000000001,212.67030000000005
2019-05-23 12:00:00,2019,5,23,12,13.808954,13,8,11.418733,-5,-2.3902210000000004,52.19558
2019-05-23 13:00:00,2019,5,23,13,12.824264,16,12,10.578862,-4,-2.2454019999999986,43.864950000000036
2019-05-23 14:00:00,2019,5,23,14,16.017883,21,27,16.5325,6,0.5146169999999977,91.42305000000005
2019-05-23 15:00:00,2019,5,23,15,25.23029,14,21,23.844141,7,-1.3861489999999996,119.80212857142855
2019-05-23 17:00:00,2019,5,23,17,42.87583,31,51,47.727882,20,4.8520520000000005,75.73974
2019-05-23 18:00:00,2019,5,23,18,36.872265,39,67,53.673355,28,16.801090000000002,39.996107142857134
2019-05-24 07:00:00,2019,5,24,7,34.423927,36,17,18.717112,-19,-15.706814999999999,17.332552631578952
2019-05-24 08:00:00,2019,5,24,8,58.354168,55,24,27.548801,-31,-30.805367,0.6278483870967729
2019-05-24 09:00:00,2019,5,24,9,30.073427,17,20,18.229193,3,-11.844234,494.8078
2019-05-24 10:00:00,2019,5,24,10,11.443683,13,11,12.197069,-2,0.7533860000000008,137.66930000000005
2019-05-24 17:00:00,2019,5,24,17,45.653843,61,58,67.556,-3,21.902156999999995,830.0718999999999
2019-05-24 19:00:00,2019,5,24,19,31.128773,30,35,31.253222,5,0.12444900000000203,97.51101999999996
2019-05-24 22:00:00,2019,5,24,22,6.5841994,9,5,4.177646,-4,-2.4065534,39.836165
2019-05-25 08:00:00,2019,5,25,8,8.033391,10,4,7.2512817,-6,-0.7821093000000001,86.964845
2019-05-25 09:00:00,2019,5,25,9,14.629869,13,13,12.320393,0,-2.309476,0.0
2019-05-25 11:00:00,2019,5,25,11,44.904354,48,41,33.696518,-7,-11.207836,60.111942857142864
2019-05-25 12:00:00,2019,5,25,12,34.820263,30,34,31.900827,4,-2.9194359999999975,172.98589999999993
2019-05-25 15:00:00,2019,5,25,15,46.860798,45,42,42.4897,-3,-4.3710980000000035,45.70326666666678
2019-05-25 17:00:00,2019,5,25,17,48.175816,37,36,52.469765,-1,4.293949000000005,529.3949000000005
