year,month,day,hour,ausleihen,subrate,holidays,weekday,workday
2019,8,1,4,1,1.0,0,3,1
2019,8,1,5,3,1.0,0,3,1
2019,8,1,6,7,0.8571428571428571,0,3,1
2019,8,1,7,21,0.9523809523809524,0,3,1
2019,8,1,8,23,0.9130434782608696,0,3,1
2019,8,1,9,25,0.88,0,3,1
2019,8,1,10,21,0.7619047619047619,0,3,1
2019,8,1,11,17,0.5294117647058824,0,3,1
2019,8,1,12,15,0.7333333333333333,0,3,1
2019,8,1,13,18,0.6666666666666666,0,3,1
2019,8,1,14,16,0.5625,0,3,1
2019,8,1,15,19,0.7368421052631579,0,3,1
2019,8,1,16,18,0.7222222222222222,0,3,1
2019,8,1,17,57,0.8070175438596491,0,3,1
2019,8,1,18,97,0.8247422680412371,0,3,1
2019,8,1,19,55,0.8,0,3,1
2019,8,1,20,46,0.6739130434782609,0,3,1
2019,8,1,21,23,0.782608695652174,0,3,1
2019,8,1,22,13,0.6153846153846154,0,3,1
2019,8,1,23,6,0.8333333333333334,0,3,1
2019,8,2,0,1,1.0,0,4,1
2019,8,2,1,1,1.0,0,4,1
2019,8,2,2,1,1.0,0,4,1
2019,8,2,4,1,1.0,0,4,1
2019,8,2,5,1,1.0,0,4,1
2019,8,2,6,5,1.0,0,4,1
2019,8,2,7,22,0.9090909090909092,0,4,1
2019,8,2,8,19,0.9473684210526316,0,4,1
2019,8,2,9,24,1.0,0,4,1
2019,8,2,10,22,0.5909090909090909,0,4,1
2019,8,2,11,6,0.8333333333333334,0,4,1
2019,8,2,12,15,0.6666666666666666,0,4,1
2019,8,2,13,25,0.56,0,4,1
2019,8,2,14,21,0.7619047619047619,0,4,1
2019,8,2,15,18,0.8888888888888888,0,4,1
2019,8,2,16,32,0.8125,0,4,1
2019,8,2,17,65,0.8769230769230769,0,4,1
2019,8,2,18,78,0.7948717948717948,0,4,1
2019,8,2,19,59,0.7627118644067796,0,4,1
2019,8,2,20,30,0.8333333333333334,0,4,1
2019,8,2,21,20,0.85,0,4,1
2019,8,2,22,12,0.75,0,4,1
2019,8,2,23,2,0.5,0,4,1
2019,8,3,0,10,0.4,0,5,0
2019,8,3,1,3,0.3333333333333333,0,5,0
2019,8,3,2,6,0.1666666666666666,0,5,0
2019,8,3,5,1,0.0,0,5,0
2019,8,3,6,1,1.0,0,5,0
2019,8,3,7,8,0.875,0,5,0
2019,8,3,8,9,0.7777777777777778,0,5,0
2019,8,3,9,15,0.6,0,5,0
2019,8,3,10,37,0.5405405405405406,0,5,0
2019,8,3,11,45,0.4888888888888889,0,5,0
2019,8,3,12,28,0.5357142857142857,0,5,0
2019,8,3,13,33,0.4242424242424242,0,5,0
2019,8,3,14,36,0.6944444444444444,0,5,0
