year,month,day,hour,ausleihen,subrate,holidays,weekday,workday
2015,1,1,2,1,1.0,1,3,0
2015,1,1,10,3,1.0,1,3,0
2015,1,1,11,3,1.0,1,3,0
2015,1,1,12,2,1.0,1,3,0
2015,1,1,13,5,0.4,1,3,0
2015,1,1,14,3,1.0,1,3,0
2015,1,1,15,2,1.0,1,3,0
2015,1,1,16,7,0.5714285714285714,1,3,0
2015,1,1,17,2,0.5,1,3,0
2015,1,1,22,1,1.0,1,3,0
2015,1,1,23,1,1.0,1,3,0
2015,1,2,8,4,1.0,0,4,1
2015,1,2,9,5,1.0,0,4,1
2015,1,2,10,6,0.1666666666666666,0,4,1
2015,1,2,12,2,1.0,0,4,1
2015,1,2,13,8,0.75,0,4,1
2015,1,2,14,11,1.0,0,4,1
2015,1,2,15,7,1.0,0,4,1
2015,1,2,16,6,1.0,0,4,1
2015,1,2,17,6,1.0,0,4,1
2015,1,2,18,4,1.0,0,4,1
2015,1,3,8,1,1.0,0,5,0
2015,1,3,10,2,1.0,0,5,0
2015,1,3,11,10,0.8,0,5,0
2015,1,3,12,6,0.8333333333333334,0,5,0
2015,1,3,13,2,1.0,0,5,0
2015,1,3,16,3,1.0,0,5,0
2015,1,3,18,1,1.0,0,5,0
2015,1,3,23,1,1.0,0,5,0
2015,1,4,6,1,0.0,0,6,0
2015,1,4,9,1,1.0,0,6,0
2015,1,4,10,2,1.0,0,6,0
2015,1,4,11,6,0.6666666666666666,0,6,0
2015,1,4,12,8,1.0,0,6,0
2015,1,4,13,2,1.0,0,6,0
2015,1,4,14,5,1.0,0,6,0
2015,1,4,15,2,1.0,0,6,0
2015,1,4,16,8,1.0,0,6,0
2015,1,4,17,4,1.0,0,6,0
2015,1,4,19,1,1.0,0,6,0
2015,1,4,20,1,1.0,0,6,0
2015,1,4,22,1,1.0,0,6,0
2015,1,5,1,1,1.0,0,0,1
2015,1,5,6,5,1.0,0,0,1
2015,1,5,7,4,1.0,0,0,1
2015,1,5,8,12,0.9166666666666666,0,0,1
2015,1,5,9,4,1.0,0,0,1
2015,1,5,10,3,1.0,0,0,1
2015,1,5,11,2,1.0,0,0,1
2015,1,5,12,4,1.0,0,0,1
2015,1,5,13,1,1.0,0,0,1
2015,1,5,14,2,1.0,0,0,1
2015,1,5,15,8,1.0,0,0,1
2015,1,5,16,3,1.0,0,0,1
2015,1,5,17,10,0.9,0,0,1
2015,1,5,18,10,1.0,0,0,1
2015,1,5,19,4,1.0,0,0,1
2015,1,5,20,1,1.0,0,0,1
2015,1,5,21,2,1.0,0,0,1
2015,1,6,4,2,1.0,0,1,1
2015,1,6,7,7,1.0,0,1,1
2015,1,6,8,4,1.0,0,1,1
2015,1,6,9,3,1.0,0,1,1
2015,1,6,10,1,1.0,0,1,1
2015,1,6,11,3,1.0,0,1,1
2015,1,6,12,2,1.0,0,1,1
2015,1,6,14,1,1.0,0,1,1
2015,1,6,16,4,1.0,0,1,1
2015,1,6,17,7,1.0,0,1,1
2015,1,6,18,3,1.0,0,1,1
2015,1,6,19,4,1.0,0,1,1
2015,1,6,20,1,1.0,0,1,1
2015,1,6,21,3,1.0,0,1,1
2015,1,7,7,2,1.0,0,2,1
2015,1,7,8,5,1.0,0,2,1
2015,1,7,9,2,1.0,0,2,1
2015,1,7,10,1,1.0,0,2,1
2015,1,7,11,2,1.0,0,2,1
2015,1,7,12,1,1.0,0,2,1
2015,1,7,13,1,1.0,0,2,1
2015,1,7,14,1,1.0,0,2,1
2015,1,7,15,1,1.0,0,2,1
2015,1,7,16,2,1.0,0,2,1
2015,1,7,17,4,1.0,0,2,1
2015,1,7,18,1,1.0,0,2,1
2015,1,7,21,1,1.0,0,2,1
2015,1,7,23,1,1.0,0,2,1
2015,1,8,7,4,1.0,0,3,1
2015,1,8,8,4,1.0,0,3,1
2015,1,8,9,1,1.0,0,3,1
2015,1,8,11,1,1.0,0,3,1
2015,1,8,13,2,1.0,0,3,1
2015,1,8,14,1,1.0,0,3,1
2015,1,8,15,2,1.0,0,3,1
2015,1,8,16,3,1.0,0,3,1
2015,1,8,17,5,1.0,0,3,1
2015,1,8,18,3,1.0,0,3,1
2015,1,8,19,1,1.0,0,3,1
2015,1,8,20,2,1.0,0,3,1
2015,1,8,21,1,1.0,0,3,1
2015,1,9,7,1,1.0,0,4,1
2015,1,9,8,1,1.0,0,4,1
2015,1,9,11,1,1.0,0,4,1
2015,1,9,12,1,1.0,0,4,1
2015,1,9,14,3,1.0,0,4,1
2015,1,9,16,4,1.0,0,4,1
2015,1,9,17,5,0.8,0,4,1
2015,1,9,18,4,1.0,0,4,1
2015,1,9,19,1,1.0,0,4,1
2015,1,9,20,2,1.0,0,4,1
2015,1,9,21,1,1.0,0,4,1
2015,1,10,4,1,1.0,0,5,0
2015,1,10,7,1,1.0,0,5,0
2015,1,10,9,3,0.6666666666666666,0,5,0
2015,1,10,10,2,1.0,0,5,0
2015,1,10,11,1,0.0,0,5,0
2015,1,10,12,2,1.0,0,5,0
2015,1,10,13,2,1.0,0,5,0
2015,1,10,14,1,1.0,0,5,0
2015,1,10,15,2,1.0,0,5,0
2015,1,10,16,2,1.0,0,5,0
2015,1,10,18,1,1.0,0,5,0
2015,1,10,19,1,1.0,0,5,0
2015,1,11,8,1,1.0,0,6,0
