year,month,day,hour,ausleihen,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,ausleihe1woche,ausleihe1stunde,ausleihe2stunde,ausleihe2woche,ausleihe3woche
2015,5,1,0,1,1.0,0,4,1,9,0.0,77,8,Partly cloudy,2015-05-01 00:00:00,0,0,0,0,0
2015,5,1,6,3,1.0,0,4,1,9,0.0,74,9,Cloudy,2015-05-01 06:00:00,0,0,0,0,0
2015,5,1,7,11,0.9090909090909092,0,4,1,10,0.0,69,11,Cloudy,2015-05-01 07:00:00,0,3,0,0,0
2015,5,1,8,19,1.0,0,4,1,12,0.0,64,13,Cloudy,2015-05-01 08:00:00,0,11,3,0,0
2015,5,1,9,9,1.0,0,4,1,13,0.0,58,14,Cloudy,2015-05-01 09:00:00,0,19,11,0,0
2015,5,1,10,8,0.625,0,4,1,13,0.0,59,14,Cloudy,2015-05-01 10:00:00,0,9,19,0,0
2015,5,1,11,5,0.6,0,4,1,13,0.0,59,14,Overcast,2015-05-01 11:00:00,0,8,9,0,0
2015,5,1,12,5,0.8,0,4,1,14,0.0,60,14,Overcast,2015-05-01 12:00:00,0,5,8,0,0
2015,5,1,13,15,0.9333333333333332,0,4,1,13,0.0,61,13,Overcast,2015-05-01 13:00:00,0,5,5,0,0
2015,5,1,14,16,0.75,0,4,1,13,0.0,63,12,Sunny,2015-05-01 14:00:00,0,15,5,0,0
2015,5,1,15,15,0.9333333333333332,0,4,1,13,0.0,64,10,Sunny,2015-05-01 15:00:00,0,16,15,0,0
2015,5,1,16,30,0.7333333333333333,0,4,1,12,0.0,68,11,Sunny,2015-05-01 16:00:00,0,15,16,0,0
2015,5,1,17,33,0.9090909090909092,0,4,1,11,0.0,73,11,Cloudy,2015-05-01 17:00:00,0,30,15,0,0
2015,5,1,18,23,0.9130434782608696,0,4,1,10,0.0,77,12,Cloudy,2015-05-01 18:00:00,0,33,30,0,0
2015,5,1,19,8,0.875,0,4,1,9,0.0,78,10,Cloudy,2015-05-01 19:00:00,0,23,33,0,0
2015,5,1,20,8,0.5,0,4,1,9,0.0,79,9,Cloudy,2015-05-01 20:00:00,0,8,23,0,0
2015,5,1,21,1,0.0,0,4,1,8,0.0,79,8,Cloudy,2015-05-01 21:00:00,0,8,8,0,0
2015,5,1,22,1,0.0,0,4,1,8,0.0,82,6,Cloudy,2015-05-01 22:00:00,0,1,8,0,0
2015,5,1,23,2,1.0,0,4,1,7,0.0,85,4,Partly cloudy,2015-05-01 23:00:00,0,1,1,0,0
2015,5,2,8,10,0.7,0,5,0,14,0.0,67,3,Sunny,2015-05-02 08:00:00,0,0,0,0,0
2015,5,2,9,11,0.9090909090909092,0,5,0,16,0.0,65,4,Sunny,2015-05-02 09:00:00,0,10,0,0,0
2015,5,2,10,17,0.8235294117647058,0,5,0,16,0.0,61,7,Sunny,2015-05-02 10:00:00,0,11,10,0,0
2015,5,2,11,28,0.5714285714285714,0,5,0,17,0.0,58,9,Sunny,2015-05-02 11:00:00,0,17,11,0,0
2015,5,2,12,31,0.5806451612903226,0,5,0,18,0.0,54,12,Sunny,2015-05-02 12:00:00,0,28,17,0,0
2015,5,2,13,32,0.65625,0,5,0,17,0.0,58,15,Sunny,2015-05-02 13:00:00,0,31,28,0,0
2015,5,2,14,38,0.5,0,5,0,16,0.0,62,18,Sunny,2015-05-02 14:00:00,0,32,31,0,0
2015,5,2,15,42,0.5714285714285714,0,5,0,14,0.0,65,21,Sunny,2015-05-02 15:00:00,0,38,32,0,0
2015,5,2,16,30,0.4333333333333333,0,5,0,13,0.0,69,18,Sunny,2015-05-02 16:00:00,0,42,38,0,0
2015,5,2,17,29,0.4482758620689655,0,5,0,12,0.0,73,15,Sunny,2015-05-02 17:00:00,0,30,42,0,0
2015,5,2,18,20,0.7,0,5,0,11,0.0,77,12,Clear,2015-05-02 18:00:00,0,29,30,0,0
2015,5,2,19,9,0.8888888888888888,0,5,0,10,0.0,77,12,Clear,2015-05-02 19:00:00,0,20,29,0,0
2015,5,2,20,10,0.4,0,5,0,10,0.0,77,12,Partly cloudy,2015-05-02 20:00:00,0,9,20,0,0
2015,5,2,21,1,1.0,0,5,0,10,0.0,78,13,Partly cloudy,2015-05-02 21:00:00,0,10,9,0,0
2015,5,3,0,1,1.0,0,6,0,10,0.0,84,7,Clear,2015-05-03 00:00:00,0,0,0,0,0
2015,5,3,1,5,0.4,0,6,0,9,0.0,84,7,Clear,2015-05-03 01:00:00,0,1,0,0,0
2015,5,3,6,1,1.0,0,6,0,12,0.0,76,2,Sunny,2015-05-03 06:00:00,0,0,0,0,0
2015,5,3,7,1,0.0,0,6,0,14,0.0,69,2,Sunny,2015-05-03 07:00:00,0,1,0,0,0
2015,5,3,8,6,0.8333333333333334,0,6,0,17,0.0,63,2,Sunny,2015-05-03 08:00:00,0,1,1,0,0
2015,5,3,9,10,0.8,0,6,0,19,0.0,57,3,Sunny,2015-05-03 09:00:00,0,6,1,0,0
2015,5,3,10,15,1.0,0,6,0,20,0.0,53,5,Sunny,2015-05-03 10:00:00,0,10,6,0,0
2015,5,3,11,36,0.6666666666666666,0,6,0,21,0.0,49,7,Sunny,2015-05-03 11:00:00,0,15,10,0,0
2015,5,3,12,31,0.5806451612903226,0,6,0,22,0.0,45,9,Sunny,2015-05-03 12:00:00,0,36,15,0,0
2015,5,3,13,33,0.4848484848484848,0,6,0,21,0.0,49,12,Sunny,2015-05-03 13:00:00,0,31,36,0,0
2015,5,3,14,51,0.5294117647058824,0,6,0,20,0.0,53,15,Partly cloudy,2015-05-03 14:00:00,0,33,31,0,0
2015,5,3,15,35,0.5714285714285714,0,6,0,19,0.0,57,18,Partly cloudy,2015-05-03 15:00:00,0,51,33,0,0
2015,5,3,16,48,0.625,0,6,0,18,0.0,63,17,Partly cloudy,2015-05-03 16:00:00,0,35,51,0,0
2015,5,3,17,42,0.6428571428571429,0,6,0,17,0.0,68,16,Partly cloudy,2015-05-03 17:00:00,0,48,35,0,0
2015,5,3,18,16,0.9375,0,6,0,15,0.0,73,15,Partly cloudy,2015-05-03 18:00:00,0,42,48,0,0
2015,5,3,19,42,0.7619047619047619,0,6,0,15,0.0,73,14,Partly cloudy,2015-05-03 19:00:00,0,16,42,0,0
2015,5,3,20,18,0.5555555555555556,0,6,0,14,0.0,74,13,Partly cloudy,2015-05-03 20:00:00,0,42,16,0,0
2015,5,3,21,4,0.25,0,6,0,14,0.0,74,12,Partly cloudy,2015-05-03 21:00:00,0,18,42,0,0
2015,5,3,22,1,1.0,0,6,0,13,0.0,76,11,Partly cloudy,2015-05-03 22:00:00,0,4,18,0,0
2015,5,4,6,11,1.0,0,0,1,15,0.0,71,9,Sunny,2015-05-04 06:00:00,0,0,0,0,0
2015,5,4,7,14,1.0,0,0,1,17,0.0,66,11,Sunny,2015-05-04 07:00:00,0,11,0,0,0
2015,5,4,8,30,0.9,0,0,1,18,0.0,61,13,Sunny,2015-05-04 08:00:00,0,14,11,0,0
2015,5,4,9,11,0.7272727272727273,0,0,1,19,0.0,56,15,Sunny,2015-05-04 09:00:00,0,30,14,0,0
2015,5,4,10,11,0.5454545454545454,0,0,1,21,0.0,51,16,Sunny,2015-05-04 10:00:00,0,11,30,0,0
2015,5,4,11,16,0.3125,0,0,1,22,0.0,46,18,Sunny,2015-05-04 11:00:00,0,11,11,0,0
2015,5,4,12,7,0.5714285714285714,0,0,1,23,0.0,42,20,Sunny,2015-05-04 12:00:00,0,16,11,0,0
2015,5,4,13,13,0.6153846153846154,0,0,1,23,0.0,43,22,Sunny,2015-05-04 13:00:00,0,7,16,0,0
2015,5,4,14,17,0.5882352941176471,0,0,1,23,0.0,44,24,Sunny,2015-05-04 14:00:00,0,13,7,0,0
2015,5,4,15,25,0.64,0,0,1,24,0.0,45,26,Sunny,2015-05-04 15:00:00,0,17,13,0,0
