year,month,day,hour,ausleihen,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,ausleihe1woche,ausleihe1stunde,ausleihe2stunde,ausleihe2woche,ausleihe3woche,abweichung
2015,5,22,6,4,1.0,0,4,1,14,0.0,69,15,Sunny,2015-05-22 06:00:00,4,0,0,8,3,0.0
2015,5,22,7,11,1.0,0,4,1,15,0.0,62,17,Sunny,2015-05-22 07:00:00,9,4,0,8,11,22.22222222222222
2015,5,22,8,16,0.9375,0,4,1,17,0.0,55,19,Sunny,2015-05-22 08:00:00,19,11,4,19,19,15.789473684210526
2015,5,22,10,11,0.5454545454545454,0,4,1,20,0.0,45,21,Sunny,2015-05-22 10:00:00,21,15,16,11,8,0.0
2015,5,22,13,17,0.8823529411764706,0,4,1,20,0.0,44,22,Sunny,2015-05-22 13:00:00,17,13,23,13,15,13.333333333333334
2015,5,22,15,19,0.8421052631578947,0,4,1,20,0.0,49,23,Sunny,2015-05-22 15:00:00,24,49,17,27,15,20.833333333333336
2015,5,22,16,19,0.7894736842105263,0,4,1,19,0.0,52,20,Sunny,2015-05-22 16:00:00,40,19,49,27,30,36.666666666666664
2015,5,22,17,31,0.8709677419354839,0,4,1,18,0.0,55,17,Sunny,2015-05-22 17:00:00,50,19,19,46,33,32.608695652173914
2015,5,22,18,33,0.8484848484848485,0,4,1,17,0.0,58,14,Clear,2015-05-22 18:00:00,38,31,19,41,23,13.157894736842104
2015,5,22,20,11,0.7272727272727273,0,4,1,15,0.0,57,19,Clear,2015-05-22 20:00:00,2,23,33,18,8,37.5
2015,5,22,21,1,1.0,0,4,1,14,0.0,56,22,Clear,2015-05-22 21:00:00,1,11,23,10,1,0.0
2015,5,22,23,2,1.0,0,4,1,12,0.0,53,22,Clear,2015-05-22 23:00:00,3,1,1,3,2,33.33333333333333
2015,5,23,8,7,0.7142857142857143,0,5,0,12,0.0,39,14,Sunny,2015-05-23 08:00:00,5,4,3,11,10,30.0
2015,5,23,10,13,0.7692307692307693,0,5,0,15,0.0,34,13,Sunny,2015-05-23 10:00:00,16,9,7,16,17,18.75
2015,5,23,11,12,0.75,0,5,0,17,0.0,35,12,Sunny,2015-05-23 11:00:00,17,13,9,17,28,29.411764705882355
2015,5,23,12,16,0.5,0,5,0,19,0.0,36,11,Sunny,2015-05-23 12:00:00,18,12,13,25,31,36.0
2015,5,23,13,22,0.4545454545454545,0,5,0,19,0.0,36,11,Sunny,2015-05-23 13:00:00,26,16,12,28,32,21.428571428571427
2015,5,23,15,25,0.64,0,5,0,20,0.0,38,12,Sunny,2015-05-23 15:00:00,32,43,22,24,42,21.875
2015,5,23,16,38,0.3684210526315789,0,5,0,18,0.0,45,14,Sunny,2015-05-23 16:00:00,24,25,43,29,30,31.03448275862069
2015,5,24,8,3,1.0,0,6,0,18,0.0,52,15,Sunny,2015-05-24 08:00:00,2,1,0,4,6,25.0
2015,5,24,9,8,0.625,0,6,0,20,0.0,49,16,Sunny,2015-05-24 09:00:00,15,3,1,7,10,20.0
2015,5,24,10,15,0.3333333333333333,0,6,0,21,0.0,47,15,Sunny,2015-05-24 10:00:00,23,8,3,25,15,34.78260869565217
2015,5,24,11,16,0.625,0,6,0,22,0.0,44,14,Sunny,2015-05-24 11:00:00,27,15,8,23,36,40.74074074074074
2015,5,24,12,34,0.6176470588235294,0,6,0,23,0.0,42,13,Sunny,2015-05-24 12:00:00,35,16,15,26,31,9.67741935483871
2015,5,24,13,40,0.35,0,6,0,23,0.0,42,15,Sunny,2015-05-24 13:00:00,39,34,16,36,33,11.11111111111111
2015,5,24,14,28,0.3571428571428571,0,6,0,23,0.0,43,17,Sunny,2015-05-24 14:00:00,54,40,34,28,51,45.09803921568628
2015,5,24,15,41,0.4634146341463415,0,6,0,23,0.0,44,19,Sunny,2015-05-24 15:00:00,37,28,40,44,35,10.81081081081081
2015,5,24,16,29,0.6551724137931034,0,6,0,21,0.0,52,18,Sunny,2015-05-24 16:00:00,31,41,28,31,48,6.451612903225806
2015,5,24,17,52,0.5,0,6,0,20,0.0,61,18,Sunny,2015-05-24 17:00:00,49,29,41,27,42,23.809523809523807
2015,5,24,18,28,0.6071428571428571,0,6,0,19,0.0,69,17,Clear,2015-05-24 18:00:00,26,52,29,21,16,33.33333333333333
2015,5,24,19,35,0.4285714285714285,0,6,0,18,0.0,72,18,Clear,2015-05-24 19:00:00,35,28,52,37,42,5.405405405405405
2015,5,24,20,14,0.6428571428571429,0,6,0,17,0.0,75,19,Clear,2015-05-24 20:00:00,24,35,28,18,18,22.22222222222222
2015,5,24,22,5,1.0,0,6,0,15,0.0,80,17,Clear,2015-05-24 22:00:00,4,13,14,7,1,25.0
2015,5,25,9,6,0.6666666666666666,1,0,0,23,0.0,60,15,Partly cloudy,2015-05-25 09:00:00,14,4,0,8,11,45.45454545454545
2015,5,25,10,10,0.8,1,0,0,24,0.0,57,16,Partly cloudy,2015-05-25 10:00:00,14,6,4,7,11,9.090909090909092
2015,5,25,17,41,0.4390243902439024,1,0,0,23,0.0,64,24,Partly cloudy,2015-05-25 17:00:00,36,63,50,31,53,13.88888888888889
2015,5,25,18,45,0.6444444444444445,1,0,0,21,0.0,70,21,Partly cloudy,2015-05-25 18:00:00,18,41,63,33,45,36.36363636363637
2015,5,25,19,27,0.5185185185185185,1,0,0,21,0.0,72,23,Partly cloudy,2015-05-25 19:00:00,28,45,41,29,40,6.896551724137931
2015,5,25,21,9,0.7777777777777778,1,0,0,19,0.0,75,26,Partly cloudy,2015-05-25 21:00:00,8,28,27,15,14,35.714285714285715
2015,5,26,6,2,1.0,0,1,1,18,0.0,80,14,Sunny,2015-05-26 06:00:00,6,1,0,3,3,33.33333333333333
2015,5,26,7,13,0.9230769230769232,0,1,1,20,0.0,75,16,Sunny,2015-05-26 07:00:00,4,2,1,15,9,44.44444444444444
2015,5,26,8,17,1.0,0,1,1,22,0.0,71,18,Sunny,2015-05-26 08:00:00,16,13,2,23,23,26.08695652173913
2015,5,26,10,9,0.6666666666666666,0,1,1,24,0.0,63,21,Sunny,2015-05-26 10:00:00,8,17,17,7,14,12.5
2015,5,26,11,6,1.0,0,1,1,25,0.0,60,21,Sunny,2015-05-26 11:00:00,11,9,17,14,6,45.45454545454545
2015,5,26,15,15,0.8666666666666667,0,1,1,24,0.0,65,21,Sunny,2015-05-26 15:00:00,17,25,6,20,14,11.76470588235294
2015,5,26,16,16,0.9375,0,1,1,23,0.0,68,21,Sunny,2015-05-26 16:00:00,15,15,25,15,17,6.666666666666667
2015,5,26,17,48,0.7291666666666666,0,1,1,22,0.0,71,21,Partly cloudy,2015-05-26 17:00:00,36,16,15,38,32,33.33333333333333
2015,5,26,18,40,0.875,0,1,1,22,0.0,73,21,Partly cloudy,2015-05-26 18:00:00,49,48,16,47,28,14.893617021276595
2015,5,26,19,41,0.7073170731707317,0,1,1,21,0.0,75,23,Partly cloudy,2015-05-26 19:00:00,28,40,48,28,31,46.42857142857143
2015,5,26,23,2,1.0,0,1,1,18,0.0,84,16,Cloudy,2015-05-26 23:00:00,3,8,18,2,9,33.33333333333333
2015,5,27,7,12,1.0,0,2,1,21,0.1,83,19,Patchy rain possible,2015-05-27 07:00:00,9,9,0,12,8,33.33333333333333
2015,5,27,8,20,0.95,0,2,1,23,0.0,79,19,Sunny,2015-05-27 08:00:00,16,12,9,25,17,17.647058823529413
2015,5,27,9,13,0.9230769230769232,0,2,1,24,0.0,75,20,Sunny,2015-05-27 09:00:00,16,20,12,16,5,18.75
2015,5,27,10,10,0.9,0,2,1,25,0.0,73,20,Sunny,2015-05-27 10:00:00,7,13,20,12,6,42.857142857142854
2015,5,27,12,11,0.8181818181818182,0,2,1,26,0.1,69,19,Sunny,2015-05-27 12:00:00,4,13,10,10,8,37.5
2015,5,27,13,10,0.9,0,2,1,25,0.1,71,21,Sunny,2015-05-27 13:00:00,10,11,13,10,12,0.0
2015,5,27,14,13,0.8461538461538461,0,2,1,25,0.4,73,24,Patchy rain possible,2015-05-27 14:00:00,21,10,11,10,7,30.0
