year,month,day,hour,ausleihen,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,ausleihe1woche,ausleihe1stunde,ausleihe2stunde,ausleihe2woche,ausleihe3woche,abweichung,abweichungdurchschnitt
2015,5,22,6,4,1.0,0,4,1,14,0.0,69,15,Sunny,2015-05-22 06:00:00,4,0,0,8,3,0.0,20.0
2015,5,22,7,11,1.0,0,4,1,15,0.0,62,17,Sunny,2015-05-22 07:00:00,9,4,0,8,11,22.22222222222222,17.85714285714285
2015,5,22,8,16,0.9375,0,4,1,17,0.0,55,19,Sunny,2015-05-22 08:00:00,19,11,4,19,19,15.789473684210526,15.789473684210526
2015,5,22,10,11,0.5454545454545454,0,4,1,20,0.0,45,21,Sunny,2015-05-22 10:00:00,21,15,16,11,8,0.0,17.500000000000004
2015,5,22,13,17,0.8823529411764706,0,4,1,20,0.0,44,22,Sunny,2015-05-22 13:00:00,17,13,23,13,15,13.333333333333334,13.333333333333334
2015,5,22,15,19,0.8421052631578947,0,4,1,20,0.0,49,23,Sunny,2015-05-22 15:00:00,24,49,17,27,15,20.833333333333336,13.636363636363635
2015,5,22,18,33,0.8484848484848485,0,4,1,17,0.0,58,14,Clear,2015-05-22 18:00:00,38,31,19,41,23,13.157894736842104,2.941176470588235
2015,5,22,21,1,1.0,0,4,1,14,0.0,56,22,Clear,2015-05-22 21:00:00,1,11,23,10,1,0.0,75.0
2015,5,23,10,13,0.7692307692307693,0,5,0,15,0.0,34,13,Sunny,2015-05-23 10:00:00,16,9,7,16,17,18.75,20.40816326530612
2015,5,23,11,12,0.75,0,5,0,17,0.0,35,12,Sunny,2015-05-23 11:00:00,17,13,9,17,28,29.411764705882355,41.935483870967744
2015,5,23,13,22,0.4545454545454545,0,5,0,19,0.0,36,11,Sunny,2015-05-23 13:00:00,26,16,12,28,32,21.428571428571427,23.255813953488374
2015,5,23,15,25,0.64,0,5,0,20,0.0,38,12,Sunny,2015-05-23 15:00:00,32,43,22,24,42,21.875,23.469387755102037
2015,5,24,8,3,1.0,0,6,0,18,0.0,52,15,Sunny,2015-05-24 08:00:00,2,1,0,4,6,25.0,25.0
2015,5,24,9,8,0.625,0,6,0,20,0.0,49,16,Sunny,2015-05-24 09:00:00,15,3,1,7,10,20.0,24.999999999999993
2015,5,24,12,34,0.6176470588235294,0,6,0,23,0.0,42,13,Sunny,2015-05-24 12:00:00,35,16,15,26,31,9.67741935483871,10.8695652173913
2015,5,24,13,40,0.35,0,6,0,23,0.0,42,15,Sunny,2015-05-24 13:00:00,39,34,16,36,33,11.11111111111111,11.11111111111111
2015,5,24,15,41,0.4634146341463415,0,6,0,23,0.0,44,19,Sunny,2015-05-24 15:00:00,37,28,40,44,35,10.81081081081081,6.034482758620696
2015,5,24,16,29,0.6551724137931034,0,6,0,21,0.0,52,18,Sunny,2015-05-24 16:00:00,31,41,28,31,48,6.451612903225806,20.909090909090907
2015,5,24,17,52,0.5,0,6,0,20,0.0,61,18,Sunny,2015-05-24 17:00:00,49,29,41,27,42,23.809523809523807,32.20338983050846
2015,5,24,19,35,0.4285714285714285,0,6,0,18,0.0,72,18,Clear,2015-05-24 19:00:00,35,28,52,37,42,5.405405405405405,7.894736842105263
2015,5,24,20,14,0.6428571428571429,0,6,0,17,0.0,75,19,Clear,2015-05-24 20:00:00,24,35,28,18,18,22.22222222222222,30.0
2015,5,24,22,5,1.0,0,6,0,15,0.0,80,17,Clear,2015-05-24 22:00:00,4,13,14,7,1,25.0,25.0
2015,5,25,10,10,0.8,1,0,0,24,0.0,57,16,Partly cloudy,2015-05-25 10:00:00,14,6,4,7,11,9.090909090909092,6.249999999999995
2015,5,25,17,41,0.4390243902439024,1,0,0,23,0.0,64,24,Partly cloudy,2015-05-25 17:00:00,36,63,50,31,53,13.88888888888889,2.5
