year,month,day,hour,ausleihen,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,ausleihe1woche,ausleihe1stunde,ausleihe2stunde
2015,5,1,0,1,1.0,0,4,1,9,0.0,77,8,0,0,0
2015,5,1,6,3,1.0,0,4,1,9,0.0,74,9,0,0,0
2015,5,1,7,11,0.9090909090909092,0,4,1,10,0.0,69,11,0,3,0
2015,5,1,8,19,1.0,0,4,1,12,0.0,64,13,0,11,3
2015,5,1,9,9,1.0,0,4,1,13,0.0,58,14,0,19,11
2015,5,1,10,8,0.625,0,4,1,13,0.0,59,14,0,9,19
2015,5,1,11,5,0.6,0,4,1,13,0.0,59,14,0,8,9
2015,5,1,12,5,0.8,0,4,1,14,0.0,60,14,0,5,8
2015,5,1,13,15,0.9333333333333332,0,4,1,13,0.0,61,13,0,5,5
2015,5,1,14,16,0.75,0,4,1,13,0.0,63,12,0,15,5
2015,5,1,15,15,0.9333333333333332,0,4,1,13,0.0,64,10,0,16,15
2015,5,1,16,30,0.7333333333333333,0,4,1,12,0.0,68,11,0,15,16
2015,5,1,17,33,0.9090909090909092,0,4,1,11,0.0,73,11,0,30,15
2015,5,1,18,23,0.9130434782608696,0,4,1,10,0.0,77,12,0,33,30
2015,5,1,19,8,0.875,0,4,1,9,0.0,78,10,0,23,33
2015,5,1,20,8,0.5,0,4,1,9,0.0,79,9,0,8,23
2015,5,1,21,1,0.0,0,4,1,8,0.0,79,8,0,8,8
2015,5,1,22,1,0.0,0,4,1,8,0.0,82,6,0,1,8
2015,5,1,23,2,1.0,0,4,1,7,0.0,85,4,0,1,1
2015,5,2,8,10,0.7,0,5,0,14,0.0,67,3,0,0,0
2015,5,2,9,11,0.9090909090909092,0,5,0,16,0.0,65,4,0,10,0
2015,5,2,10,17,0.8235294117647058,0,5,0,16,0.0,61,7,0,11,10
2015,5,2,11,28,0.5714285714285714,0,5,0,17,0.0,58,9,0,17,11
2015,5,2,12,31,0.5806451612903226,0,5,0,18,0.0,54,12,0,28,17
2015,5,2,13,32,0.65625,0,5,0,17,0.0,58,15,0,31,28
2015,5,2,14,38,0.5,0,5,0,16,0.0,62,18,0,32,31
2015,5,2,15,42,0.5714285714285714,0,5,0,14,0.0,65,21,0,38,32
2015,5,2,16,30,0.4333333333333333,0,5,0,13,0.0,69,18,0,42,38
2015,5,2,17,29,0.4482758620689655,0,5,0,12,0.0,73,15,0,30,42
2015,5,2,18,20,0.7,0,5,0,11,0.0,77,12,0,29,30
2015,5,2,19,9,0.8888888888888888,0,5,0,10,0.0,77,12,0,20,29
2015,5,2,20,10,0.4,0,5,0,10,0.0,77,12,0,9,20
2015,5,2,21,1,1.0,0,5,0,10,0.0,78,13,0,10,9
2015,5,3,0,1,1.0,0,6,0,10,0.0,84,7,0,0,0
2015,5,3,1,5,0.4,0,6,0,9,0.0,84,7,0,1,0
2015,5,3,6,1,1.0,0,6,0,12,0.0,76,2,0,0,0
2015,5,3,7,1,0.0,0,6,0,14,0.0,69,2,0,1,0
2015,5,3,8,6,0.8333333333333334,0,6,0,17,0.0,63,2,0,1,1
2015,5,3,9,10,0.8,0,6,0,19,0.0,57,3,0,6,1
2015,5,3,10,15,1.0,0,6,0,20,0.0,53,5,0,10,6
