start,year,month,day,hour,ausleihen_real,ausleihen_predict,rueckgaben_real,rueckgaben_predicted,real_differenz,predicted_differenz,differenz_mape
2019-05-22 06:00:00,2019,5,22,6,8.0,6.1355653,24.0,16.168135,-16.0,-10.0325697,37.296439375
2019-05-22 07:00:00,2019,5,22,7,30.0,22.339436,47.0,45.951447,-17.0,-23.612011000000003,38.89418235294119
2019-05-22 08:00:00,2019,5,22,8,27.0,28.472694,76.0,61.685734,-49.0,-33.21303999999999,32.218285714285734
2019-05-22 09:00:00,2019,5,22,9,23.0,22.192646,36.0,43.814243,-13.0,-21.621596999999998,66.31997692307691
2019-05-22 10:00:00,2019,5,22,10,14.0,15.759951,14.0,19.634464,0.0,-3.874513000000002,0.0
2019-05-22 11:00:00,2019,5,22,11,20.0,15.447589,13.0,13.455788,7.0,1.9918010000000006,71.5457
2019-05-22 12:00:00,2019,5,22,12,11.0,17.647936,14.0,17.966387,-3.0,-0.3184509999999996,89.38496666666667
2019-05-22 13:00:00,2019,5,22,13,13.0,14.794947,12.0,15.197276,1.0,-0.40232899999999994,140.2329
2019-05-22 14:00:00,2019,5,22,14,7.0,13.508639,13.0,13.902721,-6.0,-0.39408199999999916,93.43196666666668
2019-05-22 15:00:00,2019,5,22,15,25.0,22.1827,22.0,19.294973,3.0,2.8877270000000017,3.742433333333276
2019-05-22 16:00:00,2019,5,22,16,32.0,24.073446,40.0,31.197575,-8.0,-7.124129,10.9483875
2019-05-22 17:00:00,2019,5,22,17,81.0,55.399612,81.0,48.910225,0.0,6.489387000000001,0.0
2019-05-22 18:00:00,2019,5,22,18,103.0,73.46111,74.0,63.100574,29.0,10.360536000000003,64.27401379310344
2019-05-22 19:00:00,2019,5,22,19,64.0,61.883,52.0,48.469494,12.0,13.413506000000005,11.77921666666671
2019-05-22 20:00:00,2019,5,22,20,46.0,35.01776,28.0,30.334078,18.0,4.683682000000001,73.97954444444443
2019-05-22 21:00:00,2019,5,22,21,15.0,19.843622,6.0,14.232844,9.0,5.610778,37.65802222222223
2019-05-22 22:00:00,2019,5,22,22,16.0,8.061399,15.0,5.612848,1.0,2.448551,144.85510000000002
2019-05-22 23:00:00,2019,5,22,23,7.0,6.8504977,3.0,7.577563,4.0,-0.7270652999999996,118.17663249999998
2019-05-23 05:00:00,2019,5,23,5,3.0,1.78508,6.0,7.0750055,-3.0,-5.2899255,76.33085
2019-05-23 06:00:00,2019,5,23,6,8.0,8.818012,12.0,15.550164,-4.0,-6.732152000000001,68.30380000000002
2019-05-23 07:00:00,2019,5,23,7,13.0,13.87591,48.0,44.847683,-35.0,-30.971773000000006,11.509219999999983
2019-05-23 08:00:00,2019,5,23,8,25.0,25.511381,61.0,58.954315,-36.0,-33.442934,7.102961111111108
2019-05-23 09:00:00,2019,5,23,9,14.0,16.291883,17.0,27.617609,-3.0,-11.325726000000003,277.52420000000006
2019-05-23 10:00:00,2019,5,23,10,8.0,12.159332,8.0,12.870926,0.0,-0.7115940000000016,0.0
2019-05-23 11:00:00,2019,5,23,11,13.0,12.553998,8.0,14.563875,5.0,-2.0098769999999995,140.19754
2019-05-23 12:00:00,2019,5,23,12,8.0,14.515333,13.0,17.040052,-5.0,-2.5247189999999993,49.505620000000015
2019-05-23 13:00:00,2019,5,23,13,12.0,12.988946,16.0,15.826681,-4.0,-2.8377350000000003,29.05662499999999
2019-05-23 14:00:00,2019,5,23,14,27.0,20.2481,21.0,19.242874,6.0,1.0052260000000004,83.24623333333334
2019-05-23 15:00:00,2019,5,23,15,21.0,26.675735,14.0,27.969387,7.0,-1.2936520000000016,118.48074285714287
2019-05-23 16:00:00,2019,5,23,16,33.0,28.773108,29.0,26.387379,4.0,2.3857290000000013,40.35677499999997
2019-05-23 17:00:00,2019,5,23,17,51.0,54.43127,31.0,47.203083,20.0,7.228186999999998,63.859065
2019-05-23 18:00:00,2019,5,23,18,67.0,58.138752,39.0,41.317806,28.0,16.820946,39.92519285714286
2019-05-23 19:00:00,2019,5,23,19,25.0,44.536793,33.0,31.99076,-8.0,12.546033000000001,256.8254125
2019-05-23 20:00:00,2019,5,23,20,25.0,17.45244,16.0,18.558516,9.0,-1.1060760000000016,112.28973333333334
2019-05-23 21:00:00,2019,5,23,21,13.0,11.552845,7.0,9.485232,6.0,2.0676129999999997,65.53978333333333
2019-05-23 22:00:00,2019,5,23,22,2.0,5.856115,10.0,5.8929873,-8.0,-0.03687229999999975,99.53909625
2019-05-24 06:00:00,2019,5,24,6,8.0,6.6888204,16.0,12.959841,-8.0,-6.271020600000001,21.61224249999999
2019-05-24 07:00:00,2019,5,24,7,17.0,19.573769,36.0,38.220318,-19.0,-18.646549,1.8602684210526303
2019-05-24 08:00:00,2019,5,24,8,24.0,27.95369,55.0,61.981083,-31.0,-34.027393,9.76578387096773
2019-05-24 09:00:00,2019,5,24,9,20.0,20.547926,17.0,34.265484,3.0,-13.717558,557.2519333333333
2019-05-24 10:00:00,2019,5,24,10,11.0,13.866713,13.0,13.260177,-2.0,0.6065360000000002,130.32680000000002
2019-05-24 11:00:00,2019,5,24,11,14.0,14.081017,9.0,16.756609,5.0,-2.6755920000000017,153.51184000000003
2019-05-24 12:00:00,2019,5,24,12,9.0,14.065453,5.0,13.706092,4.0,0.3593609999999998,91.015975
2019-05-24 13:00:00,2019,5,24,13,15.0,11.007963,18.0,10.190163,-3.0,0.8178000000000001,127.25999999999999
2019-05-24 14:00:00,2019,5,24,14,30.0,15.668927,43.0,21.523476,-13.0,-5.854548999999999,54.9650076923077
2019-05-24 15:00:00,2019,5,24,15,46.0,28.541502,49.0,29.792856,-3.0,-1.2513539999999992,58.288200000000025
2019-05-24 16:00:00,2019,5,24,16,67.0,37.566017,51.0,37.759686,16.0,-0.19366899999999987,101.21043125
2019-05-24 17:00:00,2019,5,24,17,58.0,66.88797,61.0,51.92675,-3.0,14.961219999999997,598.7073333333332
2019-05-24 18:00:00,2019,5,24,18,41.0,61.543156,42.0,47.483276,-1.0,14.059880000000007,1505.9880000000007
2019-05-24 19:00:00,2019,5,24,19,35.0,35.14809,30.0,34.93634,5.0,0.2117500000000021,95.76499999999996
2019-05-24 20:00:00,2019,5,24,20,10.0,26.656055,20.0,22.330513,-10.0,4.325541999999999,143.25542
2019-05-24 21:00:00,2019,5,24,21,24.0,11.029549,12.0,8.594691,12.0,2.434858,79.70951666666667
2019-05-24 22:00:00,2019,5,24,22,5.0,8.702824,9.0,8.741851,-4.0,-0.03902700000000081,99.02432499999998
2019-05-24 23:00:00,2019,5,24,23,8.0,6.322599,6.0,5.4057293,2.0,0.9168697000000003,54.156514999999985
2019-05-25 07:00:00,2019,5,25,7,2.0,5.382748,5.0,6.0164638,-3.0,-0.6337158,78.87613999999999
2019-05-25 08:00:00,2019,5,25,8,4.0,9.182984,10.0,9.476768,-6.0,-0.2937840000000005,95.10359999999999
2019-05-25 09:00:00,2019,5,25,9,13.0,13.614082,13.0,18.63582,0.0,-5.021737999999999,0.0
2019-05-25 10:00:00,2019,5,25,10,25.0,19.281843,44.0,27.06742,-19.0,-7.785577,59.02327894736842
2019-05-25 11:00:00,2019,5,25,11,41.0,36.97417,48.0,48.213825,-7.0,-11.239654999999999,60.56649999999999
2019-05-25 12:00:00,2019,5,25,12,34.0,38.22741,30.0,41.618988,4.0,-3.3915780000000026,184.78945000000007
2019-05-25 13:00:00,2019,5,25,13,48.0,40.882084,58.0,49.604836,-10.0,-8.722752,12.772480000000003
2019-05-25 14:00:00,2019,5,25,14,32.0,51.874,32.0,47.97437,0.0,3.899630000000002,0.0
2019-05-25 15:00:00,2019,5,25,15,42.0,45.755417,45.0,48.64343,-3.0,-2.888013000000001,3.7328999999999724
2019-05-25 16:00:00,2019,5,25,16,36.0,66.05442,41.0,62.301548,-5.0,3.7528719999999964,175.05743999999993
2019-05-25 17:00:00,2019,5,25,17,36.0,54.447193,37.0,50.8431,-1.0,3.604092999999999,460.4092999999999
2019-05-25 18:00:00,2019,5,25,18,29.0,45.08647,16.0,38.663902,13.0,6.422567999999998,50.59563076923078
2019-05-25 19:00:00,2019,5,25,19,25.0,24.990961,16.0,20.561666,9.0,4.429295,50.785611111111116
2019-05-25 20:00:00,2019,5,25,20,12.0,16.595322,14.0,13.7230425,-2.0,2.8722794999999994,243.61397499999998
2019-05-25 21:00:00,2019,5,25,21,10.0,9.433752,10.0,8.448324,0.0,0.9854280000000006,0.0
2019-05-25 22:00:00,2019,5,25,22,8.0,7.5564513,5.0,6.6274333,3.0,0.9290180000000001,69.03273333333333
2019-05-26 10:00:00,2019,5,26,10,18.0,11.98835,29.0,10.949334,-11.0,1.0390160000000002,109.44560000000001
2019-05-26 12:00:00,2019,5,26,12,29.0,21.817099,28.0,25.883728,1.0,-4.0666290000000025,506.66290000000026
2019-05-26 14:00:00,2019,5,26,14,40.0,28.222778,40.0,33.55439,0.0,-5.331611999999996,0.0
2019-05-26 16:00:00,2019,5,26,16,47.0,34.51422,46.0,34.61333,1.0,-0.09910999999999603,109.9109999999996
2019-05-26 17:00:00,2019,5,26,17,23.0,37.99559,7.0,35.67126,16.0,2.3243300000000033,85.47293749999997
2019-05-26 18:00:00,2019,5,26,18,3.0,17.973143,7.0,13.998881,-4.0,3.9742619999999995,199.35655
2019-05-26 19:00:00,2019,5,26,19,11.0,9.57915,8.0,9.6065235,3.0,-0.027373499999999495,100.91244999999998
2019-05-27 06:00:00,2019,5,27,6,6.0,7.4381557,14.0,15.09638,-8.0,-7.6582243,4.272196250000004
2019-05-27 07:00:00,2019,5,27,7,15.0,17.034777,41.0,37.533344,-26.0,-20.498567,21.159357692307687
2019-05-27 08:00:00,2019,5,27,8,26.0,21.980383,82.0,60.1447,-56.0,-38.164317,31.849433928571436
2019-05-27 09:00:00,2019,5,27,9,20.0,12.740992,16.0,23.437904,4.0,-10.696912,367.4228
2019-05-27 10:00:00,2019,5,27,10,24.0,12.767087,41.0,18.083267,-17.0,-5.316179999999999,68.72835294117647
2019-05-27 11:00:00,2019,5,27,11,27.0,18.233583,35.0,23.629288,-8.0,-5.3957049999999995,32.55368750000001
2019-05-27 12:00:00,2019,5,27,12,33.0,19.870275,43.0,24.867119,-10.0,-4.996843999999999,50.031560000000006
2019-05-27 13:00:00,2019,5,27,13,45.0,19.674112,42.0,22.742949,3.0,-3.0688369999999985,202.29456666666664
2019-05-27 14:00:00,2019,5,27,14,46.0,24.916727,46.0,27.5996,0.0,-2.682872999999997,0.0
2019-05-27 15:00:00,2019,5,27,15,40.0,27.44123,41.0,28.240454,-1.0,-0.7992239999999988,20.077600000000118
2019-05-27 16:00:00,2019,5,27,16,50.0,27.396088,38.0,29.843596,12.0,-2.4475080000000027,120.39590000000003
2019-05-27 17:00:00,2019,5,27,17,26.0,49.451057,38.0,42.148014,-12.0,7.303042999999995,160.85869166666663
2019-05-27 18:00:00,2019,5,27,18,57.0,63.16281,48.0,44.779766,9.0,18.383043999999998,104.25604444444443
2019-05-27 19:00:00,2019,5,27,19,60.0,40.074448,55.0,37.29726,5.0,2.7771879999999953,44.45624000000009
2019-05-27 20:00:00,2019,5,27,20,27.0,33.098057,16.0,30.03142,11.0,3.0666369999999965,72.12148181818185
2019-05-27 21:00:00,2019,5,27,21,14.0,16.868536,15.0,13.260041,-1.0,3.6084949999999996,460.8495
2019-05-28 06:00:00,2019,5,28,6,9.0,6.9369984,15.0,16.997227,-6.0,-10.060228599999999,67.67047666666664
2019-05-28 07:00:00,2019,5,28,7,15.0,20.924673,53.0,41.284496,-38.0,-20.359823,46.42151842105264
2019-05-28 08:00:00,2019,5,28,8,29.0,25.479342,91.0,65.47427,-62.0,-39.994928,35.492051612903225
2019-05-28 09:00:00,2019,5,28,9,11.0,21.621975,24.0,43.44095,-13.0,-21.818975000000002,67.83826923076924
2019-05-28 10:00:00,2019,5,28,10,5.0,9.970496,16.0,13.175764,-11.0,-3.2052679999999985,70.86120000000001
2019-05-28 11:00:00,2019,5,28,11,10.0,9.145697,4.0,12.142524,6.0,-2.9968269999999997,149.94711666666666
2019-05-28 12:00:00,2019,5,28,12,8.0,9.823845,11.0,10.498376,-3.0,-0.674531,77.51563333333334
2019-05-28 13:00:00,2019,5,28,13,9.0,7.282445,8.0,10.522562,1.0,-3.2401170000000006,424.0117000000001
2019-05-28 14:00:00,2019,5,28,14,19.0,16.466162,21.0,17.40902,-2.0,-0.9428580000000011,52.857099999999946
2019-05-28 15:00:00,2019,5,28,15,18.0,18.860561,12.0,16.71618,6.0,2.144380999999999,64.26031666666668
2019-05-28 16:00:00,2019,5,28,16,13.0,21.22339,25.0,24.907263,-12.0,-3.683873000000002,69.30105833333332
2019-05-28 17:00:00,2019,5,28,17,51.0,57.562347,67.0,50.555317,-16.0,7.00703,143.7939375
2019-05-28 18:00:00,2019,5,28,18,68.0,68.59534,44.0,51.83021,24.0,16.765129999999992,30.1452916666667
2019-05-28 19:00:00,2019,5,28,19,29.0,40.658768,25.0,31.936447,4.0,8.722321,118.05802500000001
2019-05-28 20:00:00,2019,5,28,20,16.0,17.053413,14.0,17.390953,2.0,-0.3375400000000006,116.87700000000004
2019-05-28 21:00:00,2019,5,28,21,6.0,10.175191,4.0,8.551311,2.0,1.6238799999999998,18.80600000000001
2019-05-28 23:00:00,2019,5,28,23,1.0,1.4086902,2.0,4.404971,-1.0,-2.9962808,199.62808
2019-05-29 05:00:00,2019,5,29,5,3.0,2.5074334,8.0,6.5347486,-5.0,-4.0273152,19.453695999999994
2019-05-29 06:00:00,2019,5,29,6,6.0,7.407965,15.0,18.865303,-9.0,-11.457338,27.303755555555554
2019-05-29 07:00:00,2019,5,29,7,18.0,25.021358,58.0,47.48087,-40.0,-22.459512000000004,43.85121999999999
2019-05-29 08:00:00,2019,5,29,8,29.0,27.568632,68.0,69.25863,-39.0,-41.689997999999996,6.897430769230758
2019-05-29 09:00:00,2019,5,29,9,17.0,23.063269,32.0,42.227314,-15.0,-19.164045,27.76030000000001
2019-05-29 10:00:00,2019,5,29,10,8.0,14.949717,15.0,18.621052,-7.0,-3.671334999999999,47.552357142857154
2019-05-29 11:00:00,2019,5,29,11,14.0,17.123875,7.0,15.160026,7.0,1.9638490000000015,71.94501428571427
2019-05-29 12:00:00,2019,5,29,12,14.0,14.197767,12.0,17.598837,2.0,-3.401069999999999,270.05349999999993
2019-05-29 13:00:00,2019,5,29,13,8.0,15.608459,14.0,14.568878,-6.0,1.039581,117.32635
2019-05-29 14:00:00,2019,5,29,14,9.0,12.028395,12.0,14.2304,-3.0,-2.2020049999999998,26.59983333333334
2019-05-29 15:00:00,2019,5,29,15,15.0,25.086662,15.0,21.557428,0.0,3.529233999999999,0.0
2019-05-29 16:00:00,2019,5,29,16,21.0,26.354952,27.0,33.95433,-6.0,-7.599377999999998,26.656299999999966
2019-05-29 17:00:00,2019,5,29,17,71.0,67.12808,53.0,56.9797,18.0,10.148379999999996,43.62011111111113
2019-05-29 18:00:00,2019,5,29,18,93.0,82.00992,62.0,56.48783,31.0,25.52208999999999,17.670677419354867
2019-05-29 19:00:00,2019,5,29,19,64.0,53.626686,43.0,38.397102,21.0,15.229584000000003,27.478171428571418
2019-05-29 20:00:00,2019,5,29,20,35.0,29.462626,28.0,23.085787,7.0,6.376839,8.902299999999995
