year,month,day,hour,ausleihen,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,rueckgaben1stunde,rueckgaben1woche,rueckgaben2woche,rueckgaben3woche
2015,5,1,6,9,0,4,1,9.0,0.0,74.0,9.0,2,2015-05-01 06:00:00,0,0,0,0
2015,5,1,7,15,0,4,1,10.0,0.0,69.0,11.0,2,2015-05-01 07:00:00,9,0,0,0
2015,5,1,8,23,0,4,1,12.0,0.0,64.0,13.0,2,2015-05-01 08:00:00,15,0,0,0
2015,5,1,9,10,0,4,1,13.0,0.0,58.0,14.0,2,2015-05-01 09:00:00,23,0,0,0
2015,5,1,10,8,0,4,1,13.0,0.0,59.0,14.0,2,2015-05-01 10:00:00,10,0,0,0
2015,5,1,11,5,0,4,1,13.0,0.0,59.0,14.0,2,2015-05-01 11:00:00,8,0,0,0
2015,5,1,12,6,0,4,1,14.0,0.0,60.0,14.0,2,2015-05-01 12:00:00,5,0,0,0
2015,5,1,13,10,0,4,1,13.0,0.0,61.0,13.0,2,2015-05-01 13:00:00,6,0,0,0
2015,5,1,14,14,0,4,1,13.0,0.0,63.0,12.0,1,2015-05-01 14:00:00,10,0,0,0
2015,5,1,15,11,0,4,1,13.0,0.0,64.0,10.0,1,2015-05-01 15:00:00,14,0,0,0
2015,5,1,16,28,0,4,1,12.0,0.0,68.0,11.0,1,2015-05-01 16:00:00,11,0,0,0
2015,5,1,17,34,0,4,1,11.0,0.0,73.0,11.0,2,2015-05-01 17:00:00,28,0,0,0
2015,5,1,18,18,0,4,1,10.0,0.0,77.0,12.0,2,2015-05-01 18:00:00,34,0,0,0
2015,5,1,19,8,0,4,1,9.0,0.0,78.0,10.0,2,2015-05-01 19:00:00,18,0,0,0
2015,5,1,20,4,0,4,1,9.0,0.0,79.0,9.0,2,2015-05-01 20:00:00,8,0,0,0
2015,5,1,21,4,0,4,1,8.0,0.0,79.0,8.0,2,2015-05-01 21:00:00,4,0,0,0
2015,5,1,23,2,0,4,1,7.0,0.0,85.0,4.0,1,2015-05-01 23:00:00,0,0,0,0
2015,5,2,6,1,0,5,0,10.0,0.0,72.0,2.0,1,2015-05-02 06:00:00,0,0,0,0
2015,5,2,7,1,0,5,0,12.0,0.0,69.0,3.0,1,2015-05-02 07:00:00,1,0,0,0
2015,5,2,8,8,0,5,0,14.0,0.0,67.0,3.0,1,2015-05-02 08:00:00,1,0,0,0
2015,5,2,9,8,0,5,0,16.0,0.0,65.0,4.0,1,2015-05-02 09:00:00,8,0,0,0
2015,5,2,10,10,0,5,0,16.0,0.0,61.0,7.0,1,2015-05-02 10:00:00,8,0,0,0
2015,5,2,11,30,0,5,0,17.0,0.0,58.0,9.0,1,2015-05-02 11:00:00,10,0,0,0
2015,5,2,12,34,0,5,0,18.0,0.0,54.0,12.0,1,2015-05-02 12:00:00,30,0,0,0
2015,5,2,13,30,0,5,0,17.0,0.0,58.0,15.0,1,2015-05-02 13:00:00,34,0,0,0
2015,5,2,14,38,0,5,0,16.0,0.0,62.0,18.0,1,2015-05-02 14:00:00,30,0,0,0
2015,5,2,15,39,0,5,0,14.0,0.0,65.0,21.0,1,2015-05-02 15:00:00,38,0,0,0
2015,5,2,16,35,0,5,0,13.0,0.0,69.0,18.0,1,2015-05-02 16:00:00,39,0,0,0
2015,5,2,17,49,0,5,0,12.0,0.0,73.0,15.0,1,2015-05-02 17:00:00,35,0,0,0
2015,5,2,18,17,0,5,0,11.0,0.0,77.0,12.0,1,2015-05-02 18:00:00,49,0,0,0
2015,5,2,19,15,0,5,0,10.0,0.0,77.0,12.0,1,2015-05-02 19:00:00,17,0,0,0
2015,5,2,20,7,0,5,0,10.0,0.0,77.0,12.0,1,2015-05-02 20:00:00,15,0,0,0
2015,5,2,21,4,0,5,0,10.0,0.0,78.0,13.0,1,2015-05-02 21:00:00,7,0,0,0
2015,5,3,1,3,0,6,0,9.0,0.0,84.0,7.0,1,2015-05-03 01:00:00,0,0,0,0
2015,5,3,2,1,0,6,0,9.0,0.0,83.0,7.0,1,2015-05-03 02:00:00,3,0,0,0
2015,5,3,7,1,0,6,0,14.0,0.0,69.0,2.0,1,2015-05-03 07:00:00,0,0,0,0
2015,5,3,8,4,0,6,0,17.0,0.0,63.0,2.0,1,2015-05-03 08:00:00,1,0,0,0
2015,5,3,9,15,0,6,0,19.0,0.0,57.0,3.0,1,2015-05-03 09:00:00,4,0,0,0
2015,5,3,10,14,0,6,0,20.0,0.0,53.0,5.0,1,2015-05-03 10:00:00,15,0,0,0
2015,5,3,11,35,0,6,0,21.0,0.0,49.0,7.0,1,2015-05-03 11:00:00,14,0,0,0
2015,5,3,12,52,0,6,0,22.0,0.0,45.0,9.0,1,2015-05-03 12:00:00,35,0,0,0
2015,5,3,13,43,0,6,0,21.0,0.0,49.0,12.0,1,2015-05-03 13:00:00,52,0,0,0
2015,5,3,14,56,0,6,0,20.0,0.0,53.0,15.0,1,2015-05-03 14:00:00,43,0,0,0
2015,5,3,15,49,0,6,0,19.0,0.0,57.0,18.0,1,2015-05-03 15:00:00,56,0,0,0
2015,5,3,16,42,0,6,0,18.0,0.0,63.0,17.0,1,2015-05-03 16:00:00,49,0,0,0
2015,5,3,17,53,0,6,0,17.0,0.0,68.0,16.0,1,2015-05-03 17:00:00,42,0,0,0
2015,5,3,18,18,0,6,0,15.0,0.0,73.0,15.0,1,2015-05-03 18:00:00,53,0,0,0
2015,5,3,19,16,0,6,0,15.0,0.0,73.0,14.0,1,2015-05-03 19:00:00,18,0,0,0
2015,5,3,20,21,0,6,0,14.0,0.0,74.0,13.0,1,2015-05-03 20:00:00,16,0,0,0
2015,5,3,21,3,0,6,0,14.0,0.0,74.0,12.0,1,2015-05-03 21:00:00,21,0,0,0
2015,5,3,22,2,0,6,0,13.0,0.0,76.0,11.0,1,2015-05-03 22:00:00,3,0,0,0
2015,5,4,0,1,0,0,1,12.0,0.0,80.0,7.0,1,2015-05-04 00:00:00,0,0,0,0
2015,5,4,5,3,0,0,1,14.0,0.0,75.0,9.0,1,2015-05-04 05:00:00,0,0,0,0
2015,5,4,6,17,0,0,1,15.0,0.0,71.0,9.0,1,2015-05-04 06:00:00,3,0,0,0
2015,5,4,7,16,0,0,1,17.0,0.0,66.0,11.0,1,2015-05-04 07:00:00,17,0,0,0
2015,5,4,8,29,0,0,1,18.0,0.0,61.0,13.0,1,2015-05-04 08:00:00,16,0,0,0
2015,5,4,9,14,0,0,1,19.0,0.0,56.0,15.0,1,2015-05-04 09:00:00,29,0,0,0
2015,5,4,10,10,0,0,1,21.0,0.0,51.0,16.0,1,2015-05-04 10:00:00,14,0,0,0
2015,5,4,11,14,0,0,1,22.0,0.0,46.0,18.0,1,2015-05-04 11:00:00,10,0,0,0
2015,5,4,12,8,0,0,1,23.0,0.0,42.0,20.0,1,2015-05-04 12:00:00,14,0,0,0
2015,5,4,13,14,0,0,1,23.0,0.0,43.0,22.0,1,2015-05-04 13:00:00,8,0,0,0
2015,5,4,14,15,0,0,1,23.0,0.0,44.0,24.0,1,2015-05-04 14:00:00,14,0,0,0
