year,month,day,hour,ausleihen,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,rueckgaben1stunde,rueckgaben1woche,rueckgaben2woche,rueckgaben3woche,rueckgaben2
2015,5,22,6,6,0,4,1,14.0,0.0,69.0,15.0,1,2015-05-22 06:00:00,1,9,12,9,6.0
2015,5,22,7,16,0,4,1,15.0,0.0,62.0,17.0,1,2015-05-22 07:00:00,6,9,15,15,16.0
2015,5,22,8,32,0,4,1,17.0,0.0,55.0,19.0,1,2015-05-22 08:00:00,16,32,20,23,32.0
2015,5,22,9,19,0,4,1,19.0,0.0,47.0,21.0,1,2015-05-22 09:00:00,32,23,11,10,19.0
2015,5,22,10,9,0,4,1,20.0,0.0,45.0,21.0,1,2015-05-22 10:00:00,19,16,5,8,9.0
2015,5,22,11,18,0,4,1,20.0,0.0,43.0,21.0,1,2015-05-22 11:00:00,9,5,10,5,18.0
2015,5,22,12,13,0,4,1,21.0,0.0,42.0,22.0,1,2015-05-22 12:00:00,18,19,21,6,13.0
2015,5,22,13,18,0,4,1,20.0,0.0,44.0,22.0,1,2015-05-22 13:00:00,13,23,7,10,18.0
2015,5,22,14,42,0,4,1,20.0,0.0,47.0,22.0,1,2015-05-22 14:00:00,18,28,14,14,42.0
2015,5,22,15,12,0,4,1,20.0,0.0,49.0,23.0,1,2015-05-22 15:00:00,42,24,26,11,12.0
2015,5,22,16,24,0,4,1,19.0,0.0,52.0,20.0,1,2015-05-22 16:00:00,12,30,22,28,24.0
2015,5,22,17,44,0,4,1,18.0,0.0,55.0,17.0,1,2015-05-22 17:00:00,24,39,41,34,44.0
2015,5,22,18,29,0,4,1,17.0,0.0,58.0,14.0,1,2015-05-22 18:00:00,44,39,39,18,29.0
2015,5,22,19,27,0,4,1,16.0,0.0,57.0,16.0,1,2015-05-22 19:00:00,29,10,16,8,27.0
2015,5,22,20,11,0,4,1,15.0,0.0,57.0,19.0,1,2015-05-22 20:00:00,27,2,10,4,11.0
2015,5,22,21,6,0,4,1,14.0,0.0,56.0,22.0,1,2015-05-22 21:00:00,11,5,18,4,6.0
2015,5,22,23,4,0,4,1,12.0,0.0,53.0,22.0,1,2015-05-22 23:00:00,3,3,6,2,4.0
2015,5,23,6,2,0,5,0,9.0,0.0,50.0,15.0,1,2015-05-23 06:00:00,0,1,1,1,2.0
2015,5,23,7,4,0,5,0,11.0,0.0,45.0,15.0,1,2015-05-23 07:00:00,2,4,4,1,4.0
2015,5,23,8,7,0,5,0,12.0,0.0,39.0,14.0,1,2015-05-23 08:00:00,4,2,13,8,7.0
2015,5,23,9,3,0,5,0,14.0,0.0,33.0,14.0,1,2015-05-23 09:00:00,7,7,4,8,7.0
2015,5,23,10,14,0,5,0,15.0,0.0,34.0,13.0,1,2015-05-23 10:00:00,3,12,9,10,14.0
2015,5,23,11,30,0,5,0,17.0,0.0,35.0,12.0,1,2015-05-23 11:00:00,14,13,18,30,30.0
2015,5,23,12,14,0,5,0,19.0,0.0,36.0,11.0,1,2015-05-23 12:00:00,30,13,40,34,34.0
2015,5,23,13,24,0,5,0,19.0,0.0,36.0,11.0,1,2015-05-23 13:00:00,14,43,14,30,24.0
2015,5,23,14,47,0,5,0,20.0,0.0,37.0,12.0,1,2015-05-23 14:00:00,24,16,25,38,47.0
2015,5,23,15,27,0,5,0,20.0,0.0,38.0,12.0,1,2015-05-23 15:00:00,47,46,34,39,27.0
2015,5,23,16,37,0,5,0,18.0,0.0,45.0,14.0,1,2015-05-23 16:00:00,27,49,29,35,37.0
2015,5,23,17,41,0,5,0,16.0,0.0,52.0,15.0,1,2015-05-23 17:00:00,37,30,30,49,41.0
2015,5,23,18,29,0,5,0,14.0,0.0,59.0,17.0,1,2015-05-23 18:00:00,41,28,16,17,29.0
2015,5,23,19,41,0,5,0,13.0,0.0,62.0,17.0,1,2015-05-23 19:00:00,29,10,13,15,41.0
2015,5,23,20,18,0,5,0,13.0,0.0,65.0,16.0,1,2015-05-23 20:00:00,41,0,4,7,18.0
2015,5,23,21,5,0,5,0,12.0,0.0,68.0,16.0,1,2015-05-23 21:00:00,18,1,11,4,5.0
2015,5,24,7,2,0,6,0,16.0,0.0,55.0,15.0,1,2015-05-24 07:00:00,0,1,1,1,2.0
2015,5,24,9,13,0,6,0,20.0,0.0,49.0,16.0,1,2015-05-24 09:00:00,6,8,12,15,13.0
2015,5,24,10,20,0,6,0,21.0,0.0,47.0,15.0,1,2015-05-24 10:00:00,13,28,20,14,20.0
2015,5,24,11,20,0,6,0,22.0,0.0,44.0,14.0,1,2015-05-24 11:00:00,20,29,24,35,20.0
2015,5,24,12,40,0,6,0,23.0,0.0,42.0,13.0,1,2015-05-24 12:00:00,20,46,31,52,40.0
2015,5,24,13,36,0,6,0,23.0,0.0,42.0,15.0,1,2015-05-24 13:00:00,40,47,47,43,36.0
2015,5,24,14,30,0,6,0,23.0,0.0,43.0,17.0,1,2015-05-24 14:00:00,36,65,25,56,30.0
2015,5,24,15,38,0,6,0,23.0,0.0,44.0,19.0,1,2015-05-24 15:00:00,30,45,43,49,38.0
2015,5,24,16,34,0,6,0,21.0,0.0,52.0,18.0,1,2015-05-24 16:00:00,38,38,38,42,34.0
2015,5,24,17,45,0,6,0,20.0,0.0,61.0,18.0,1,2015-05-24 17:00:00,34,47,27,53,45.0
2015,5,24,18,45,0,6,0,19.0,0.0,69.0,17.0,1,2015-05-24 18:00:00,45,35,24,18,45.0
2015,5,24,19,36,0,6,0,18.0,0.0,72.0,18.0,1,2015-05-24 19:00:00,45,31,24,16,36.0
2015,5,24,20,19,0,6,0,17.0,0.0,75.0,19.0,1,2015-05-24 20:00:00,36,27,22,21,19.0
2015,5,24,21,8,0,6,0,16.0,0.0,78.0,20.0,1,2015-05-24 21:00:00,19,11,10,3,8.0
2015,5,24,22,6,0,6,0,15.0,0.0,80.0,17.0,1,2015-05-24 22:00:00,8,4,6,2,6.0
2015,5,25,6,3,1,0,0,18.0,0.0,79.0,7.0,1,2015-05-25 06:00:00,0,7,9,17,9.0
2015,5,25,8,7,1,0,0,21.0,0.0,66.0,12.0,1,2015-05-25 08:00:00,0,17,19,29,19.0
2015,5,25,9,6,1,0,0,23.0,0.0,60.0,15.0,1,2015-05-25 09:00:00,7,12,8,14,6.0
2015,5,25,10,12,1,0,0,24.0,0.0,57.0,16.0,1,2015-05-25 10:00:00,6,9,6,10,12.0
2015,5,25,11,31,1,0,0,25.0,0.0,54.0,17.0,1,2015-05-25 11:00:00,12,9,10,14,31.0
2015,5,25,12,53,1,0,0,25.0,0.0,51.0,18.0,1,2015-05-25 12:00:00,31,11,10,8,53.0
2015,5,25,13,54,1,0,0,25.0,0.0,51.0,21.0,1,2015-05-25 13:00:00,53,2,5,14,54.0
2015,5,25,14,42,1,0,0,25.0,0.0,52.0,25.0,1,2015-05-25 14:00:00,54,16,16,15,42.0
2015,5,25,15,48,1,0,0,25.0,0.0,52.0,29.0,1,2015-05-25 15:00:00,42,7,11,19,48.0
2015,5,25,16,67,1,0,0,24.0,0.0,58.0,26.0,1,2015-05-25 16:00:00,48,19,20,23,67.0
2015,5,25,17,37,1,0,0,23.0,0.0,64.0,24.0,1,2015-05-25 17:00:00,67,13,20,35,37.0
2015,5,25,18,31,1,0,0,21.0,0.0,70.0,21.0,1,2015-05-25 18:00:00,37,28,36,47,31.0
2015,5,25,19,43,1,0,0,21.0,0.0,72.0,23.0,1,2015-05-25 19:00:00,31,23,29,34,43.0
2015,5,25,20,24,1,0,0,20.0,0.0,74.0,24.0,1,2015-05-25 20:00:00,43,11,13,23,24.0
2015,5,25,21,14,1,0,0,19.0,0.0,75.0,26.0,1,2015-05-25 21:00:00,24,11,18,14,14.0
2015,5,25,22,8,1,0,0,18.0,0.0,76.0,23.0,1,2015-05-25 22:00:00,14,5,14,5,8.0
2015,5,25,23,3,1,0,0,18.0,0.0,76.0,20.0,1,2015-05-25 23:00:00,8,3,7,4,3.0
2015,5,26,5,1,0,1,1,18.0,0.0,81.0,15.0,1,2015-05-26 05:00:00,0,2,2,3,1.0
2015,5,26,6,7,0,1,1,18.0,0.0,80.0,14.0,1,2015-05-26 06:00:00,1,8,12,10,7.0
2015,5,26,7,12,0,1,1,20.0,0.0,75.0,16.0,1,2015-05-26 07:00:00,7,13,21,14,12.0
2015,5,26,8,27,0,1,1,22.0,0.0,71.0,18.0,1,2015-05-26 08:00:00,12,17,22,23,27.0
2015,5,26,9,16,0,1,1,23.0,0.0,67.0,21.0,1,2015-05-26 09:00:00,27,10,12,9,16.0
2015,5,26,10,9,0,1,1,24.0,0.0,63.0,21.0,1,2015-05-26 10:00:00,16,9,10,14,9.0
2015,5,26,11,6,0,1,1,25.0,0.0,60.0,21.0,1,2015-05-26 11:00:00,9,8,13,4,6.0
2015,5,26,12,19,0,1,1,26.0,0.0,57.0,21.0,1,2015-05-26 12:00:00,6,7,24,11,19.0
2015,5,26,13,8,0,1,1,25.0,0.0,60.0,21.0,1,2015-05-26 13:00:00,19,14,13,9,8.0
2015,5,26,14,18,0,1,1,24.0,0.0,63.0,21.0,1,2015-05-26 14:00:00,8,11,13,6,18.0
2015,5,26,15,22,0,1,1,24.0,0.0,65.0,21.0,1,2015-05-26 15:00:00,18,10,16,21,22.0
