year,month,day,hour,count,subrate
2019,8,1,0,2,1.0
2019,8,1,1,1,1.0
2019,8,1,4,1,1.0
2019,8,1,5,4,1.0
2019,8,1,6,24,1.0
2019,8,1,7,39,0.8974358974358975
2019,8,1,8,86,0.9186046511627907
2019,8,1,9,41,0.7073170731707317
2019,8,1,10,19,0.47368421052631576
2019,8,1,11,19,0.7894736842105263
2019,8,1,12,20,0.8
2019,8,1,13,15,0.3333333333333333
2019,8,1,14,16,0.5625
2019,8,1,15,32,0.625
2019,8,1,16,36,0.7222222222222222
2019,8,1,17,58,0.7931034482758621
2019,8,1,18,74,0.8243243243243243
2019,8,1,19,42,0.6904761904761905
2019,8,1,20,31,0.8064516129032258
2019,8,1,21,13,0.7692307692307693
2019,8,1,22,11,0.2727272727272727
2019,8,1,23,3,1.0
2019,8,2,0,4,1.0
2019,8,2,1,1,1.0
2019,8,2,4,1,1.0
2019,8,2,5,5,1.0
2019,8,2,6,15,0.8
2019,8,2,7,30,0.9333333333333333
2019,8,2,8,58,0.8793103448275862
2019,8,2,9,37,0.918918918918919
2019,8,2,10,18,0.5555555555555556
2019,8,2,11,11,0.7272727272727273
2019,8,2,12,14,0.7857142857142857
2019,8,2,13,18,0.6666666666666666
2019,8,2,14,19,0.6842105263157895
2019,8,2,15,34,0.7941176470588235
2019,8,2,16,45,0.6888888888888889
2019,8,2,17,47,0.7021276595744681
2019,8,2,18,52,0.6923076923076923
2019,8,2,19,36,0.7777777777777778
2019,8,2,20,22,0.8181818181818182
2019,8,2,21,15,0.8
2019,8,2,22,8,0.75
2019,8,2,23,3,1.0
2019,8,3,0,7,0.5714285714285714
2019,8,3,1,8,0.25
2019,8,3,2,1,1.0
2019,8,3,3,1,1.0
2019,8,3,5,1,0.0
2019,8,3,6,2,1.0
2019,8,3,7,9,0.7777777777777778
2019,8,3,8,8,0.75
2019,8,3,9,27,0.4074074074074074
2019,8,3,10,32,0.46875
2019,8,3,11,51,0.5490196078431373
2019,8,3,12,41,0.43902439024390244
2019,8,3,13,39,0.4358974358974359
2019,8,3,14,35,0.6285714285714286
2019,8,3,15,44,0.5454545454545454
2019,8,3,16,36,0.3333333333333333
2019,8,3,17,37,0.43243243243243246
2019,8,3,18,31,0.5806451612903226
2019,8,3,19,27,0.5925925925925926
2019,8,3,20,23,0.5217391304347826
2019,8,3,21,7,0.42857142857142855
2019,8,3,22,14,0.35714285714285715
2019,8,3,23,4,0.5
2019,8,4,1,1,1.0
2019,8,4,3,2,0.0
2019,8,4,7,4,1.0
2019,8,4,8,3,0.0
2019,8,4,9,13,0.38461538461538464
2019,8,4,10,26,0.4230769230769231
2019,8,4,11,18,0.5555555555555556
2019,8,4,12,55,0.36363636363636365
2019,8,4,13,24,0.625
2019,8,4,14,23,0.6086956521739131
2019,8,4,15,67,0.4626865671641791
2019,8,4,16,61,0.36065573770491804
2019,8,4,17,43,0.4883720930232558
2019,8,4,18,45,0.6222222222222222
2019,8,4,19,28,0.6785714285714286
2019,8,4,20,11,0.5454545454545454
2019,8,4,21,17,0.35294117647058826
2019,8,4,22,10,0.8
2019,8,4,23,5,0.8
2019,8,5,1,1,1.0
2019,8,5,5,5,1.0
2019,8,5,6,19,0.8947368421052632
2019,8,5,7,38,0.9736842105263158
2019,8,5,8,102,0.9019607843137255
2019,8,5,9,31,0.8709677419354839
2019,8,5,10,16,0.625
2019,8,5,11,22,0.7272727272727273
2019,8,5,12,12,0.5833333333333334
2019,8,5,13,9,0.4444444444444444
2019,8,5,14,13,0.5384615384615384
2019,8,5,15,21,0.5714285714285714
2019,8,5,16,32,0.6875
2019,8,5,17,56,0.8214285714285714
2019,8,5,18,64,0.890625
2019,8,5,19,44,0.6363636363636364
2019,8,5,20,32,0.71875
2019,8,5,21,24,0.7083333333333334
2019,8,5,22,5,0.8
2019,8,5,23,4,1.0
2019,8,6,0,1,1.0
2019,8,6,1,2,0.0
2019,8,6,5,8,1.0
2019,8,6,6,25,0.92
2019,8,6,7,50,0.92
2019,8,6,8,74,0.9594594594594594
2019,8,6,9,25,0.88
2019,8,6,10,23,0.6521739130434783
2019,8,6,11,15,0.8
2019,8,6,12,8,1.0
2019,8,6,13,1,1.0
2019,8,6,14,13,0.38461538461538464
2019,8,6,15,27,0.6296296296296297
2019,8,6,16,21,0.5714285714285714
2019,8,6,17,55,0.8363636363636363
2019,8,6,18,67,0.7761194029850746
2019,8,6,19,60,0.9
2019,8,6,20,22,0.8636363636363636
2019,8,6,21,14,0.8571428571428571
2019,8,6,22,10,0.8
2019,8,6,23,5,0.6
2019,8,7,0,2,1.0
2019,8,7,1,8,0.125
2019,8,7,2,2,1.0
2019,8,7,4,2,0.0
2019,8,7,5,8,0.875
2019,8,7,6,26,0.8846153846153846
2019,8,7,7,36,1.0
2019,8,7,8,66,0.8939393939393939
2019,8,7,9,36,0.8333333333333334
2019,8,7,10,24,0.6666666666666666
2019,8,7,11,14,0.9285714285714286
2019,8,7,12,8,0.75
2019,8,7,13,9,0.6666666666666666
2019,8,7,14,4,1.0
2019,8,7,15,5,1.0
2019,8,7,16,13,0.6153846153846154
