year,month,day,hour,ausleihen,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,rueckgaben1stunde,rueckgaben1woche,rueckgaben2woche,rueckgaben3woche,rueckgaben2,ausleihpredict,rueckgabenpredict
2015,5,22,6,6,0,4,1,14.0,0.0,69.0,15.0,1,2015-05-22 06:00:00,1,9,12,9,6.0,5.560018,12.1468
2015,5,22,7,16,0,4,1,15.0,0.0,62.0,17.0,1,2015-05-22 07:00:00,6,9,15,15,16.0,10.573111,15.356121
2015,5,22,8,32,0,4,1,17.0,0.0,55.0,19.0,1,2015-05-22 08:00:00,16,32,20,23,32.0,20.239788,27.892696
2015,5,22,9,19,0,4,1,19.0,0.0,47.0,21.0,1,2015-05-22 09:00:00,32,23,11,10,19.0,13.065376,20.066244
2015,5,22,10,9,0,4,1,20.0,0.0,45.0,21.0,1,2015-05-22 10:00:00,19,16,5,8,9.0,14.592627,12.399002
2015,5,22,11,18,0,4,1,20.0,0.0,43.0,21.0,1,2015-05-22 11:00:00,9,5,10,5,18.0,11.311653,10.86572
2015,5,22,12,13,0,4,1,21.0,0.0,42.0,22.0,1,2015-05-22 12:00:00,18,19,21,6,13.0,14.347516,19.782755
2015,5,22,13,18,0,4,1,20.0,0.0,44.0,22.0,1,2015-05-22 13:00:00,13,23,7,10,18.0,15.9533615,16.34936
2015,5,22,14,42,0,4,1,20.0,0.0,47.0,22.0,1,2015-05-22 14:00:00,18,28,14,14,42.0,21.106676,21.16756
2015,5,22,15,12,0,4,1,20.0,0.0,49.0,23.0,1,2015-05-22 15:00:00,42,24,26,11,12.0,31.348104,29.59764
2015,5,22,16,24,0,4,1,19.0,0.0,52.0,20.0,1,2015-05-22 16:00:00,12,30,22,28,24.0,31.732712,26.076618
2015,5,22,17,44,0,4,1,18.0,0.0,55.0,17.0,1,2015-05-22 17:00:00,24,39,41,34,44.0,43.226734,37.221928
2015,5,22,18,29,0,4,1,17.0,0.0,58.0,14.0,1,2015-05-22 18:00:00,44,39,39,18,29.0,36.91194,38.64352
2015,5,22,19,27,0,4,1,16.0,0.0,57.0,16.0,1,2015-05-22 19:00:00,29,10,16,8,27.0,17.93198,17.8506
2015,5,22,20,11,0,4,1,15.0,0.0,57.0,19.0,1,2015-05-22 20:00:00,27,2,10,4,11.0,13.709074,12.172814
2015,5,22,21,6,0,4,1,14.0,0.0,56.0,22.0,1,2015-05-22 21:00:00,11,5,18,4,6.0,6.4778824,9.150916
2015,5,22,23,4,0,4,1,12.0,0.0,53.0,22.0,1,2015-05-22 23:00:00,3,3,6,2,4.0,2.391433,4.239736
2015,5,23,6,2,0,5,0,9.0,0.0,50.0,15.0,1,2015-05-23 06:00:00,0,1,1,1,2.0,0.0,2.2700627
2015,5,23,7,4,0,5,0,11.0,0.0,45.0,15.0,1,2015-05-23 07:00:00,2,4,4,1,4.0,0.0,5.0145698
2015,5,23,8,7,0,5,0,12.0,0.0,39.0,14.0,1,2015-05-23 08:00:00,4,2,13,8,7.0,11.464546,12.0246725
2015,5,23,9,3,0,5,0,14.0,0.0,33.0,14.0,1,2015-05-23 09:00:00,7,7,4,8,7.0,7.342649,9.235431
2015,5,23,10,14,0,5,0,15.0,0.0,34.0,13.0,1,2015-05-23 10:00:00,3,12,9,10,14.0,15.40894,9.186425
2015,5,23,11,30,0,5,0,17.0,0.0,35.0,12.0,1,2015-05-23 11:00:00,14,13,18,30,30.0,22.04722,22.12488
