hour,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,year,month,day,weekday,holidays,workday,rueckgaben,ausleihen
0,-3,0.0,52,15,Clear,2015,1,1,3,1,0,1,0
1,-4,0.0,51,18,Clear,2015,1,1,3,1,0,0,0
2,-4,0.0,50,21,Clear,2015,1,1,3,1,0,1,1
3,-4,0.0,49,24,Clear,2015,1,1,3,1,0,1,0
4,-4,0.0,47,20,Clear,2015,1,1,3,1,0,0,0
5,-4,0.0,45,16,Clear,2015,1,1,3,1,0,0,0
6,-4,0.0,43,12,Sunny,2015,1,1,3,1,0,0,0
7,-3,0.0,42,17,Sunny,2015,1,1,3,1,0,0,0
8,-3,0.0,40,21,Sunny,2015,1,1,3,1,0,0,0
9,-2,0.0,39,26,Sunny,2015,1,1,3,1,0,0,0
10,-1,0.0,37,25,Sunny,2015,1,1,3,1,0,2,3
11,0,0.0,36,24,Sunny,2015,1,1,3,1,0,2,3
12,2,0.0,35,22,Sunny,2015,1,1,3,1,0,2,2
13,2,0.0,37,23,Sunny,2015,1,1,3,1,0,2,5
14,2,0.0,39,24,Sunny,2015,1,1,3,1,0,4,4
15,2,0.0,41,25,Sunny,2015,1,1,3,1,0,1,2
16,1,0.0,44,26,Sunny,2015,1,1,3,1,0,5,7
17,1,0.0,47,26,Sunny,2015,1,1,3,1,0,5,2
18,0,0.0,50,27,Clear,2015,1,1,3,1,0,0,0
19,0,0.0,53,27,Clear,2015,1,1,3,1,0,0,0
20,0,0.0,56,26,Clear,2015,1,1,3,1,0,0,0
21,0,0.0,59,26,Clear,2015,1,1,3,1,0,0,0
22,0,0.0,59,23,Clear,2015,1,1,3,1,0,0,1
23,0,0.0,58,20,Clear,2015,1,1,3,1,0,0,1
0,0,0.0,57,18,Clear,2015,1,2,4,0,1,0,0
1,0,0.0,61,19,Clear,2015,1,2,4,0,1,0,0
2,0,0.0,64,21,Clear,2015,1,2,4,0,1,0,0
3,0,0.0,68,22,Clear,2015,1,2,4,0,1,0,0
4,-1,0.0,69,20,Clear,2015,1,2,4,0,1,0,0
5,-1,0.0,70,18,Clear,2015,1,2,4,0,1,1,0
6,-1,0.0,72,15,Sunny,2015,1,2,4,0,1,0,0
7,0,0.0,68,19,Sunny,2015,1,2,4,0,1,5,0
8,2,0.0,64,22,Sunny,2015,1,2,4,0,1,5,4
9,3,0.0,60,26,Sunny,2015,1,2,4,0,1,6,5
10,3,0.0,57,24,Sunny,2015,1,2,4,0,1,3,6
11,4,0.0,54,23,Sunny,2015,1,2,4,0,1,7,0
12,5,0.0,51,22,Sunny,2015,1,2,4,0,1,2,2
13,4,0.0,53,20,Sunny,2015,1,2,4,0,1,6,8
14,4,0.0,54,19,Sunny,2015,1,2,4,0,1,11,11
15,3,0.0,56,18,Sunny,2015,1,2,4,0,1,11,7
16,2,0.0,59,16,Sunny,2015,1,2,4,0,1,4,6
17,2,0.0,63,14,Sunny,2015,1,2,4,0,1,5,6
18,1,0.0,66,12,Clear,2015,1,2,4,0,1,2,4
19,1,0.0,66,12,Clear,2015,1,2,4,0,1,2,0
20,1,0.0,67,12,Partly cloudy,2015,1,2,4,0,1,3,0
21,1,0.0,68,12,Partly cloudy,2015,1,2,4,0,1,1,0
22,1,0.0,69,12,Partly cloudy,2015,1,2,4,0,1,1,0
23,0,0.0,71,12,Cloudy,2015,1,2,4,0,1,0,0
