start,year,month,dayofweek,hour,bikeid,day1anzahl,weekday
2017-01-01,2017,1,6,0,2,,0
2017-01-01,2017,1,6,1,2,,0
2017-01-01,2017,1,6,4,1,,0
2017-01-01,2017,1,6,5,1,,0
2017-01-01,2017,1,6,11,2,,0
2017-01-01,2017,1,6,12,1,,0
2017-01-01,2017,1,6,13,6,,0
2017-01-01,2017,1,6,14,6,,0
2017-01-01,2017,1,6,16,7,,0
2017-01-01,2017,1,6,17,4,,0
2017-01-01,2017,1,6,18,6,,0
2017-01-01,2017,1,6,19,4,,0
2017-01-01,2017,1,6,20,3,,0
2017-01-01,2017,1,6,21,1,,0
2017-01-01,2017,1,6,22,3,,0
2017-01-01,2017,1,6,23,1,,0
2017-01-02,2017,1,0,6,3,,1
2017-01-02,2017,1,0,7,2,,1
2017-01-02,2017,1,0,10,6,,1
2017-01-02,2017,1,0,11,1,2.0,1
2017-01-02,2017,1,0,14,2,6.0,1
2017-01-02,2017,1,0,15,1,,1
2017-01-02,2017,1,0,16,1,7.0,1
2017-01-02,2017,1,0,17,1,4.0,1
2017-01-02,2017,1,0,18,3,6.0,1
2017-01-02,2017,1,0,19,1,4.0,1
2017-01-02,2017,1,0,21,2,1.0,1
2017-01-02,2017,1,0,22,3,3.0,1
2017-01-02,2017,1,0,23,1,1.0,1
2017-01-03,2017,1,1,4,3,,1
2017-01-03,2017,1,1,5,3,,1
2017-01-03,2017,1,1,6,29,3.0,1
2017-01-03,2017,1,1,7,20,2.0,1
2017-01-03,2017,1,1,8,8,,1
2017-01-03,2017,1,1,9,8,,1
2017-01-03,2017,1,1,11,2,1.0,1
2017-01-03,2017,1,1,12,2,,1
2017-01-03,2017,1,1,13,1,,1
2017-01-03,2017,1,1,14,1,2.0,1
2017-01-03,2017,1,1,15,1,1.0,1
2017-01-03,2017,1,1,16,2,1.0,1
2017-01-03,2017,1,1,17,3,1.0,1
2017-01-03,2017,1,1,18,3,3.0,1
2017-01-03,2017,1,1,19,7,1.0,1
2017-01-03,2017,1,1,20,5,,1
2017-01-03,2017,1,1,21,1,2.0,1
2017-01-03,2017,1,1,22,1,3.0,1
2017-01-04,2017,1,2,3,1,,1
2017-01-04,2017,1,2,4,3,3.0,1
