start,year,month,dayofweek,hour,bikeid
2017-01-01,2017,1,6,0,2
2017-01-01,2017,1,6,1,2
2017-01-01,2017,1,6,4,1
2017-01-01,2017,1,6,5,1
2017-01-01,2017,1,6,11,2
2017-01-01,2017,1,6,12,1
2017-01-01,2017,1,6,13,6
2017-01-01,2017,1,6,14,6
2017-01-01,2017,1,6,16,7
2017-01-01,2017,1,6,17,4
2017-01-01,2017,1,6,18,6
2017-01-01,2017,1,6,19,4
2017-01-01,2017,1,6,20,3
2017-01-01,2017,1,6,21,1
2017-01-01,2017,1,6,22,3
2017-01-01,2017,1,6,23,1
2017-01-02,2017,1,0,6,3
2017-01-02,2017,1,0,7,2
2017-01-02,2017,1,0,10,6
2017-01-02,2017,1,0,11,1
2017-01-02,2017,1,0,14,2
2017-01-02,2017,1,0,15,1
2017-01-02,2017,1,0,16,1
2017-01-02,2017,1,0,17,1
2017-01-02,2017,1,0,18,3
2017-01-02,2017,1,0,19,1
2017-01-02,2017,1,0,21,2
2017-01-02,2017,1,0,22,3
2017-01-02,2017,1,0,23,1
2017-01-03,2017,1,1,4,3
2017-01-03,2017,1,1,5,3
2017-01-03,2017,1,1,6,29
2017-01-03,2017,1,1,7,20
2017-01-03,2017,1,1,8,8
2017-01-03,2017,1,1,9,8
2017-01-03,2017,1,1,11,2
2017-01-03,2017,1,1,12,2
2017-01-03,2017,1,1,13,1
2017-01-03,2017,1,1,14,1
2017-01-03,2017,1,1,15,1
2017-01-03,2017,1,1,16,2
2017-01-03,2017,1,1,17,3
2017-01-03,2017,1,1,18,3
2017-01-03,2017,1,1,19,7
2017-01-03,2017,1,1,20,5
2017-01-03,2017,1,1,21,1
2017-01-03,2017,1,1,22,1
2017-01-04,2017,1,2,3,1
2017-01-04,2017,1,2,4,3
2017-01-04,2017,1,2,5,7
2017-01-04,2017,1,2,6,32
2017-01-04,2017,1,2,7,7
2017-01-04,2017,1,2,8,23
2017-01-04,2017,1,2,9,16
2017-01-04,2017,1,2,10,4
2017-01-04,2017,1,2,11,3
2017-01-04,2017,1,2,12,6
2017-01-04,2017,1,2,13,7
2017-01-04,2017,1,2,14,8
2017-01-04,2017,1,2,15,10
2017-01-04,2017,1,2,16,6
2017-01-04,2017,1,2,17,12
2017-01-04,2017,1,2,18,18
2017-01-04,2017,1,2,19,5
2017-01-04,2017,1,2,21,1
2017-01-04,2017,1,2,23,3
2017-01-05,2017,1,3,0,2
2017-01-05,2017,1,3,4,3
2017-01-05,2017,1,3,5,6
2017-01-05,2017,1,3,6,37
2017-01-05,2017,1,3,7,15
2017-01-05,2017,1,3,8,16
2017-01-05,2017,1,3,9,9
2017-01-05,2017,1,3,10,2
2017-01-05,2017,1,3,11,3
2017-01-05,2017,1,3,12,6
2017-01-05,2017,1,3,13,3
2017-01-05,2017,1,3,14,6
2017-01-05,2017,1,3,15,9
2017-01-05,2017,1,3,16,6
2017-01-05,2017,1,3,17,9
2017-01-05,2017,1,3,18,15
2017-01-05,2017,1,3,19,11
2017-01-05,2017,1,3,20,5
2017-01-05,2017,1,3,21,2
2017-01-05,2017,1,3,22,3
2017-01-05,2017,1,3,23,3
2017-01-06,2017,1,4,4,3
2017-01-06,2017,1,4,5,2
2017-01-06,2017,1,4,6,20
2017-01-06,2017,1,4,7,35
2017-01-06,2017,1,4,8,27
2017-01-06,2017,1,4,9,9
2017-01-06,2017,1,4,10,1
2017-01-06,2017,1,4,11,3
2017-01-06,2017,1,4,12,1
2017-01-06,2017,1,4,13,9
2017-01-06,2017,1,4,14,4
2017-01-06,2017,1,4,15,4
2017-01-06,2017,1,4,16,5
2017-01-06,2017,1,4,17,7
2017-01-06,2017,1,4,18,12
2017-01-06,2017,1,4,19,5
2017-01-06,2017,1,4,20,1
2017-01-06,2017,1,4,21,3
2017-01-06,2017,1,4,22,2
2017-01-07,2017,1,5,0,2
2017-01-07,2017,1,5,2,1
2017-01-07,2017,1,5,5,1
2017-01-07,2017,1,5,6,2
2017-01-07,2017,1,5,7,1
2017-01-07,2017,1,5,8,1
2017-01-07,2017,1,5,9,1
2017-01-07,2017,1,5,10,1
2017-01-07,2017,1,5,13,1
2017-01-07,2017,1,5,14,2
2017-01-07,2017,1,5,15,1
2017-01-07,2017,1,5,20,1
2017-01-08,2017,1,6,4,1
2017-01-08,2017,1,6,10,2
2017-01-08,2017,1,6,11,1
2017-01-08,2017,1,6,13,2
2017-01-08,2017,1,6,14,4
2017-01-08,2017,1,6,17,4
2017-01-08,2017,1,6,18,2
2017-01-08,2017,1,6,20,1
2017-01-08,2017,1,6,22,2
2017-01-08,2017,1,6,23,1
2017-01-09,2017,1,0,5,4
2017-01-09,2017,1,0,6,14
2017-01-09,2017,1,0,7,22
2017-01-09,2017,1,0,8,10
2017-01-09,2017,1,0,9,6
2017-01-09,2017,1,0,10,2
2017-01-09,2017,1,0,11,2
2017-01-09,2017,1,0,12,4
2017-01-09,2017,1,0,13,1
2017-01-09,2017,1,0,14,1
2017-01-09,2017,1,0,15,2
2017-01-09,2017,1,0,16,1
2017-01-09,2017,1,0,17,6
2017-01-09,2017,1,0,18,9
2017-01-09,2017,1,0,19,4
2017-01-09,2017,1,0,20,1
2017-01-09,2017,1,0,22,2
2017-01-10,2017,1,1,0,1
2017-01-10,2017,1,1,4,3
2017-01-10,2017,1,1,5,5
2017-01-10,2017,1,1,6,25
2017-01-10,2017,1,1,7,32
2017-01-10,2017,1,1,8,14
2017-01-10,2017,1,1,9,7
2017-01-10,2017,1,1,10,4
2017-01-10,2017,1,1,11,1
2017-01-10,2017,1,1,12,4
2017-01-10,2017,1,1,13,4
2017-01-10,2017,1,1,14,3
2017-01-10,2017,1,1,15,7
2017-01-10,2017,1,1,16,6
2017-01-10,2017,1,1,17,5
2017-01-10,2017,1,1,18,14
2017-01-10,2017,1,1,19,11
2017-01-10,2017,1,1,20,3
2017-01-10,2017,1,1,21,2
2017-01-10,2017,1,1,22,3
2017-01-11,2017,1,2,0,1
2017-01-11,2017,1,2,4,3
2017-01-11,2017,1,2,5,2
2017-01-11,2017,1,2,6,32
2017-01-11,2017,1,2,7,42
2017-01-11,2017,1,2,8,13
2017-01-11,2017,1,2,9,14
2017-01-11,2017,1,2,10,6
2017-01-11,2017,1,2,11,4
2017-01-11,2017,1,2,12,4
2017-01-11,2017,1,2,13,8
2017-01-11,2017,1,2,14,4
2017-01-11,2017,1,2,15,5
2017-01-11,2017,1,2,16,4
2017-01-11,2017,1,2,17,9
2017-01-11,2017,1,2,18,10
2017-01-11,2017,1,2,19,14
2017-01-11,2017,1,2,20,5
2017-01-12,2017,1,3,4,3
2017-01-12,2017,1,3,5,6
2017-01-12,2017,1,3,6,36
2017-01-12,2017,1,3,7,35
2017-01-12,2017,1,3,8,20
2017-01-12,2017,1,3,9,12
2017-01-12,2017,1,3,10,7
2017-01-12,2017,1,3,11,7
2017-01-12,2017,1,3,12,6
2017-01-12,2017,1,3,13,10
2017-01-12,2017,1,3,14,4
2017-01-12,2017,1,3,15,8
2017-01-12,2017,1,3,16,11
2017-01-12,2017,1,3,17,8
2017-01-12,2017,1,3,18,16
2017-01-12,2017,1,3,19,23
2017-01-12,2017,1,3,20,9
2017-01-12,2017,1,3,21,7
2017-01-12,2017,1,3,22,9
2017-01-12,2017,1,3,23,7
2017-01-13,2017,1,4,0,5
2017-01-13,2017,1,4,1,1
2017-01-13,2017,1,4,2,1
2017-01-13,2017,1,4,3,1
2017-01-13,2017,1,4,4,1
2017-01-13,2017,1,4,5,2
2017-01-13,2017,1,4,6,50
2017-01-13,2017,1,4,7,17
2017-01-13,2017,1,4,8,17
2017-01-13,2017,1,4,9,15
2017-01-13,2017,1,4,10,4
2017-01-13,2017,1,4,11,4
2017-01-13,2017,1,4,12,8
2017-01-13,2017,1,4,13,9
2017-01-13,2017,1,4,14,5
2017-01-13,2017,1,4,15,5
2017-01-13,2017,1,4,16,4
2017-01-13,2017,1,4,17,7
2017-01-13,2017,1,4,18,14
2017-01-13,2017,1,4,19,6
2017-01-13,2017,1,4,20,4
2017-01-13,2017,1,4,21,3
2017-01-13,2017,1,4,22,1
2017-01-13,2017,1,4,23,1
2017-01-14,2017,1,5,0,1
2017-01-14,2017,1,5,4,1
2017-01-14,2017,1,5,6,3
2017-01-14,2017,1,5,7,3
2017-01-14,2017,1,5,8,2
2017-01-14,2017,1,5,10,7
2017-01-14,2017,1,5,11,4
2017-01-14,2017,1,5,12,1
2017-01-14,2017,1,5,13,3
2017-01-14,2017,1,5,14,5
2017-01-14,2017,1,5,15,3
2017-01-14,2017,1,5,16,3
2017-01-14,2017,1,5,17,4
2017-01-14,2017,1,5,18,2
2017-01-14,2017,1,5,19,2
2017-01-14,2017,1,5,20,2
2017-01-14,2017,1,5,23,1
2017-01-15,2017,1,6,1,1
2017-01-15,2017,1,6,8,1
2017-01-15,2017,1,6,9,1
2017-01-15,2017,1,6,10,4
2017-01-15,2017,1,6,11,1
2017-01-15,2017,1,6,12,6
2017-01-15,2017,1,6,13,6
2017-01-15,2017,1,6,14,5
2017-01-15,2017,1,6,15,6
