year,month,day,hour,dayofweek,date,count1
2017,1,1,0,6,2017-01-01,2
2017,1,1,1,6,2017-01-01,2
2017,1,1,2,6,2017-01-01,0
2017,1,1,3,6,2017-01-01,0
2017,1,1,4,6,2017-01-01,1
2017,1,1,5,6,2017-01-01,1
2017,1,1,6,6,2017-01-01,0
2017,1,1,7,6,2017-01-01,0
2017,1,1,8,6,2017-01-01,0
2017,1,1,9,6,2017-01-01,0
2017,1,1,10,6,2017-01-01,0
2017,1,1,11,6,2017-01-01,2
2017,1,1,12,6,2017-01-01,1
2017,1,1,13,6,2017-01-01,6
2017,1,1,14,6,2017-01-01,6
2017,1,1,15,6,2017-01-01,0
2017,1,1,16,6,2017-01-01,7
2017,1,1,17,6,2017-01-01,4
2017,1,1,18,6,2017-01-01,6
2017,1,1,19,6,2017-01-01,4
2017,1,1,20,6,2017-01-01,3
2017,1,1,21,6,2017-01-01,1
2017,1,1,22,6,2017-01-01,3
2017,1,1,23,6,2017-01-01,1
2017,1,2,0,0,2017-01-02,0
2017,1,2,1,0,2017-01-02,0
2017,1,2,2,0,2017-01-02,0
2017,1,2,3,0,2017-01-02,0
2017,1,2,4,0,2017-01-02,0
2017,1,2,5,0,2017-01-02,0
2017,1,2,6,0,2017-01-02,3
2017,1,2,7,0,2017-01-02,2
2017,1,2,8,0,2017-01-02,0
2017,1,2,9,0,2017-01-02,0
2017,1,2,10,0,2017-01-02,6
2017,1,2,11,0,2017-01-02,1
2017,1,2,12,0,2017-01-02,0
2017,1,2,13,0,2017-01-02,0
2017,1,2,14,0,2017-01-02,2
2017,1,2,15,0,2017-01-02,1
2017,1,2,16,0,2017-01-02,1
2017,1,2,17,0,2017-01-02,1
2017,1,2,18,0,2017-01-02,3
2017,1,2,19,0,2017-01-02,1
2017,1,2,20,0,2017-01-02,0
2017,1,2,21,0,2017-01-02,2
2017,1,2,22,0,2017-01-02,3
2017,1,2,23,0,2017-01-02,1
2017,1,3,0,1,2017-01-03,0
2017,1,3,1,1,2017-01-03,0
2017,1,3,2,1,2017-01-03,0
2017,1,3,3,1,2017-01-03,0
2017,1,3,4,1,2017-01-03,3
2017,1,3,5,1,2017-01-03,3
2017,1,3,6,1,2017-01-03,29
2017,1,3,7,1,2017-01-03,20
2017,1,3,8,1,2017-01-03,8
2017,1,3,9,1,2017-01-03,8
2017,1,3,10,1,2017-01-03,0
2017,1,3,11,1,2017-01-03,2
2017,1,3,12,1,2017-01-03,2
2017,1,3,13,1,2017-01-03,1
2017,1,3,14,1,2017-01-03,1
2017,1,3,15,1,2017-01-03,1
2017,1,3,16,1,2017-01-03,2
2017,1,3,17,1,2017-01-03,3
2017,1,3,18,1,2017-01-03,3
2017,1,3,19,1,2017-01-03,7
2017,1,3,20,1,2017-01-03,5
2017,1,3,21,1,2017-01-03,1
2017,1,3,22,1,2017-01-03,1
2017,1,3,23,1,2017-01-03,0
2017,1,4,0,2,2017-01-04,0
2017,1,4,1,2,2017-01-04,0
2017,1,4,2,2,2017-01-04,0
2017,1,4,3,2,2017-01-04,1
2017,1,4,4,2,2017-01-04,3
2017,1,4,5,2,2017-01-04,7
2017,1,4,6,2,2017-01-04,32
2017,1,4,7,2,2017-01-04,7
2017,1,4,8,2,2017-01-04,23
2017,1,4,9,2,2017-01-04,16
2017,1,4,10,2,2017-01-04,4
2017,1,4,11,2,2017-01-04,3
2017,1,4,12,2,2017-01-04,6
2017,1,4,13,2,2017-01-04,7
2017,1,4,14,2,2017-01-04,8
2017,1,4,15,2,2017-01-04,10
2017,1,4,16,2,2017-01-04,6
2017,1,4,17,2,2017-01-04,12
2017,1,4,18,2,2017-01-04,18
2017,1,4,19,2,2017-01-04,5
2017,1,4,20,2,2017-01-04,0
2017,1,4,21,2,2017-01-04,1
2017,1,4,22,2,2017-01-04,0
2017,1,4,23,2,2017-01-04,3
2017,1,5,0,3,2017-01-05,2
2017,1,5,1,3,2017-01-05,0
2017,1,5,2,3,2017-01-05,0
2017,1,5,3,3,2017-01-05,0
2017,1,5,4,3,2017-01-05,3
2017,1,5,5,3,2017-01-05,6
2017,1,5,6,3,2017-01-05,37
2017,1,5,7,3,2017-01-05,15
2017,1,5,8,3,2017-01-05,16
2017,1,5,9,3,2017-01-05,9
2017,1,5,10,3,2017-01-05,2
2017,1,5,11,3,2017-01-05,3
2017,1,5,12,3,2017-01-05,6
2017,1,5,13,3,2017-01-05,3
2017,1,5,14,3,2017-01-05,6
2017,1,5,15,3,2017-01-05,9
2017,1,5,16,3,2017-01-05,6
2017,1,5,17,3,2017-01-05,9
2017,1,5,18,3,2017-01-05,15
2017,1,5,19,3,2017-01-05,11
2017,1,5,20,3,2017-01-05,5
2017,1,5,21,3,2017-01-05,2
2017,1,5,22,3,2017-01-05,3
2017,1,5,23,3,2017-01-05,3
2017,1,6,0,4,2017-01-06,0
2017,1,6,1,4,2017-01-06,0
2017,1,6,2,4,2017-01-06,0
2017,1,6,3,4,2017-01-06,0
2017,1,6,4,4,2017-01-06,3
2017,1,6,5,4,2017-01-06,2
2017,1,6,6,4,2017-01-06,20
2017,1,6,7,4,2017-01-06,35
2017,1,6,8,4,2017-01-06,27
2017,1,6,9,4,2017-01-06,9
2017,1,6,10,4,2017-01-06,1
2017,1,6,11,4,2017-01-06,3
2017,1,6,12,4,2017-01-06,1
2017,1,6,13,4,2017-01-06,9
2017,1,6,14,4,2017-01-06,4
2017,1,6,15,4,2017-01-06,4
2017,1,6,16,4,2017-01-06,5
2017,1,6,17,4,2017-01-06,7
2017,1,6,18,4,2017-01-06,12
2017,1,6,19,4,2017-01-06,5
2017,1,6,20,4,2017-01-06,1
2017,1,6,21,4,2017-01-06,3
2017,1,6,22,4,2017-01-06,2
