year,month,day,hour,dayofweek,date,count1,tempC,precipMM,humidity
2017,1,1,0,6,2017-01-01,2,4.0,0.6,75.0
2017,1,1,1,6,2017-01-01,2,4.0,0.3,76.0
2017,1,1,2,6,2017-01-01,0,4.0,0.0,78.0
2017,1,1,3,6,2017-01-01,0,4.0,0.0,80.0
2017,1,1,4,6,2017-01-01,1,3.0,0.0,81.0
2017,1,1,5,6,2017-01-01,1,3.0,0.0,82.0
2017,1,1,6,6,2017-01-01,0,3.0,0.0,84.0
2017,1,1,7,6,2017-01-01,0,3.0,0.0,81.0
2017,1,1,8,6,2017-01-01,0,4.0,0.0,78.0
2017,1,1,9,6,2017-01-01,0,5.0,0.0,76.0
2017,1,1,10,6,2017-01-01,0,6.0,0.0,72.0
2017,1,1,11,6,2017-01-01,2,6.0,0.0,67.0
2017,1,1,12,6,2017-01-01,1,6.0,0.0,63.0
2017,1,1,13,6,2017-01-01,6,7.0,0.0,66.0
2017,1,1,14,6,2017-01-01,6,8.0,0.0,69.0
2017,1,1,15,6,2017-01-01,0,9.0,0.0,72.0
2017,1,1,16,6,2017-01-01,7,8.0,0.0,74.0
2017,1,1,17,6,2017-01-01,4,7.0,0.0,76.0
2017,1,1,18,6,2017-01-01,6,6.0,0.0,78.0
2017,1,1,19,6,2017-01-01,4,5.0,0.0,76.0
2017,1,1,20,6,2017-01-01,3,4.0,0.0,75.0
2017,1,1,21,6,2017-01-01,1,3.0,0.0,74.0
2017,1,1,22,6,2017-01-01,3,3.0,0.0,74.0
2017,1,1,23,6,2017-01-01,1,3.0,0.0,73.0
2017,1,2,0,0,2017-01-02,0,3.0,0.0,73.0
2017,1,2,1,0,2017-01-02,0,3.0,0.0,75.0
2017,1,2,2,0,2017-01-02,0,3.0,0.0,77.0
2017,1,2,3,0,2017-01-02,0,3.0,0.0,79.0
2017,1,2,4,0,2017-01-02,0,3.0,0.0,79.0
2017,1,2,5,0,2017-01-02,0,3.0,0.0,79.0
2017,1,2,6,0,2017-01-02,3,3.0,0.0,80.0
2017,1,2,7,0,2017-01-02,2,4.0,0.0,79.0
2017,1,2,8,0,2017-01-02,0,4.0,0.3,79.0
2017,1,2,9,0,2017-01-02,0,4.0,0.4,78.0
2017,1,2,10,0,2017-01-02,6,4.0,0.2,78.0
2017,1,2,11,0,2017-01-02,1,4.0,0.0,79.0
2017,1,2,12,0,2017-01-02,0,4.0,0.0,79.0
2017,1,2,13,0,2017-01-02,0,4.0,0.0,81.0
2017,1,2,14,0,2017-01-02,2,4.0,0.3,83.0
2017,1,2,15,0,2017-01-02,1,4.0,0.4,84.0
2017,1,2,16,0,2017-01-02,1,4.0,0.2,85.0
