starttime,hour,tempC,precipMM,humidity
2019-05-01,0,11,0.0,70
2019-05-01,1,11,0.0,71
2019-05-01,2,11,0.0,71
2019-05-01,3,11,0.0,72
2019-05-01,4,10,0.0,74
2019-05-01,5,10,0.1,76
2019-05-01,6,10,0.1,78
2019-05-01,7,11,0.0,74
2019-05-01,8,11,0.0,71
2019-05-01,9,12,0.0,67
2019-05-01,10,12,0.0,66
2019-05-01,11,12,0.0,65
2019-05-01,12,13,0.0,65
2019-05-01,13,13,0.0,64
2019-05-01,14,13,0.0,63
2019-05-01,15,13,0.0,62
2019-05-01,16,12,0.0,67
2019-05-01,17,12,0.0,72
2019-05-01,18,12,0.0,77
2019-05-01,19,12,0.0,77
2019-05-01,20,12,0.0,77
2019-05-01,21,11,0.0,77
2019-05-01,22,11,0.0,78
2019-05-01,23,12,0.3,79
2019-05-02,0,12,0.7,81
2019-05-02,1,12,0.3,80
2019-05-02,2,11,0.6,80
2019-05-02,3,11,0.8,80
2019-05-02,4,12,0.4,79
2019-05-02,5,13,0.6,78
2019-05-02,6,13,0.8,77
2019-05-02,7,15,0.4,72
2019-05-02,8,17,0.0,67
2019-05-02,9,19,0.0,62
2019-05-02,10,19,0.0,61
2019-05-02,11,20,0.0,60
2019-05-02,12,21,0.0,59
2019-05-02,13,21,0.0,59
2019-05-02,14,21,0.0,58
2019-05-02,15,20,0.0,58
2019-05-02,16,18,0.0,62
2019-05-02,17,17,0.1,66
2019-05-02,18,15,0.1,71
2019-05-02,19,14,0.0,70
2019-05-02,20,13,0.1,69
2019-05-02,21,12,0.2,69
2019-05-02,22,12,0.1,71
2019-05-02,23,11,0.2,73
2019-05-03,0,11,0.3,75
2019-05-03,1,11,0.2,77
2019-05-03,2,10,0.0,79
2019-05-03,3,10,0.0,80
2019-05-03,4,10,0.0,81
2019-05-03,5,11,0.0,81
2019-05-03,6,11,0.0,81
2019-05-03,7,11,0.0,80
2019-05-03,8,12,0.0,79
2019-05-03,9,12,0.0,78
2019-05-03,10,13,0.0,76
2019-05-03,11,14,0.1,74
2019-05-03,12,15,0.1,73
2019-05-03,13,15,0.0,73
2019-05-03,14,16,0.4,73
2019-05-03,15,16,0.5,73
2019-05-03,16,16,0.2,76
2019-05-03,17,15,0.7,78
2019-05-03,18,15,0.9,81
2019-05-03,19,14,0.5,81
2019-05-03,20,14,1.1,81
2019-05-03,21,13,1.5,81
2019-05-03,22,13,0.7,82
2019-05-03,23,13,1.5,83
2019-05-04,0,13,3.1,85
2019-05-04,1,13,1.5,85
2019-05-04,2,12,0.2,85
2019-05-04,3,12,0.3,85
2019-05-04,4,13,0.2,84
2019-05-04,5,13,0.2,83
2019-05-04,6,13,0.3,82
2019-05-04,7,14,0.2,79
2019-05-04,8,16,0.1,76
2019-05-04,9,17,0.1,73
2019-05-04,10,18,0.1,70
2019-05-04,11,19,0.1,68
2019-05-04,12,20,0.1,66
2019-05-04,13,20,0.1,66
2019-05-04,14,20,0.0,67
2019-05-04,15,20,0.0,68
2019-05-04,16,19,0.0,72
2019-05-04,17,18,0.0,75
2019-05-04,18,17,0.0,79
2019-05-04,19,17,0.0,81
2019-05-04,20,16,0.0,84
2019-05-04,21,15,0.0,87
2019-05-04,22,15,0.0,88
2019-05-04,23,15,0.5,89
2019-05-05,0,15,0.9,90
2019-05-05,1,14,0.5,89
2019-05-05,2,14,2.3,89
2019-05-05,3,13,3.0,89
2019-05-05,4,13,1.5,89
2019-05-05,5,13,5.0,90
2019-05-05,6,13,6.7,90
2019-05-05,7,13,3.3,89
2019-05-05,8,13,1.7,88
2019-05-05,9,13,2.3,88
2019-05-05,10,13,1.2,87
2019-05-05,11,13,3.2,86
2019-05-05,12,13,4.3,86
2019-05-05,13,13,2.2,85
2019-05-05,14,12,0.7,85
2019-05-05,15,12,0.9,84
2019-05-05,16,12,0.4,85
2019-05-05,17,12,2.7,86
2019-05-05,18,12,3.6,87
2019-05-05,19,12,1.8,86
2019-05-05,20,11,1.9,86
2019-05-05,21,11,2.5,86
2019-05-05,22,11,1.2,86
2019-05-05,23,11,1.9,85
2019-05-06,0,11,3.9,85
2019-05-06,1,11,1.9,85
2019-05-06,2,11,0.0,85
2019-05-06,3,11,0.0,85
2019-05-06,4,11,0.0,82
2019-05-06,5,12,0.0,79
2019-05-06,6,12,0.0,77
2019-05-06,7,14,0.0,72
2019-05-06,8,15,0.0,67
2019-05-06,9,17,0.0,63
2019-05-06,10,17,0.0,61
2019-05-06,11,18,0.0,60
2019-05-06,12,19,0.0,58
2019-05-06,13,19,0.0,59
2019-05-06,14,19,0.0,60
2019-05-06,15,18,0.0,60
2019-05-06,16,17,0.0,62
2019-05-06,17,16,0.0,64
2019-05-06,18,15,0.0,65
2019-05-06,19,15,0.0,68
2019-05-06,20,14,0.0,70
2019-05-06,21,14,0.0,73
2019-05-06,22,14,0.0,75
2019-05-06,23,13,0.0,76
2019-05-07,0,13,0.0,78
2019-05-07,1,13,0.0,78
2019-05-07,2,12,0.0,78
2019-05-07,3,12,0.0,78
2019-05-07,4,12,0.0,77
2019-05-07,5,13,0.0,76
2019-05-07,6,13,0.0,75
2019-05-07,7,14,0.0,72
2019-05-07,8,15,0.0,69
2019-05-07,9,16,0.0,67
2019-05-07,10,17,0.0,63
2019-05-07,11,19,0.0,59
2019-05-07,12,21,0.0,55
2019-05-07,13,21,0.0,55
2019-05-07,14,21,0.0,55
2019-05-07,15,21,0.0,55
2019-05-07,16,21,0.0,59
2019-05-07,17,20,0.1,64
2019-05-07,18,19,0.1,68
2019-05-07,19,18,0.1,72
2019-05-07,20,17,0.5,77
2019-05-07,21,16,0.6,81
2019-05-07,22,15,0.3,81
2019-05-07,23,15,0.5,82
2019-05-08,0,14,1.0,82
2019-05-08,1,14,0.5,80
2019-05-08,2,14,0.1,77
2019-05-08,3,13,0.1,75
2019-05-08,4,13,0.0,73
2019-05-08,5,14,0.1,70
2019-05-08,6,14,0.1,67
2019-05-08,7,15,0.0,64
2019-05-08,8,16,0.0,61
2019-05-08,9,17,0.0,58
2019-05-08,10,18,0.0,55
2019-05-08,11,19,0.0,51
2019-05-08,12,20,0.0,48
2019-05-08,13,20,0.0,48
2019-05-08,14,20,0.0,48
2019-05-08,15,20,0.0,49
2019-05-08,16,19,0.0,52
2019-05-08,17,18,0.0,54
2019-05-08,18,17,0.0,57
2019-05-08,19,17,0.0,60
2019-05-08,20,16,0.0,62
2019-05-08,21,15,0.0,64
2019-05-08,22,15,0.0,65
2019-05-08,23,14,0.0,66
2019-05-09,0,14,0.0,66
2019-05-09,1,13,0.0,69
2019-05-09,2,13,0.0,72
2019-05-09,3,12,0.0,75
2019-05-09,4,12,0.0,71
2019-05-09,5,12,0.0,67
2019-05-09,6,12,0.0,63
2019-05-09,7,13,0.0,60
2019-05-09,8,14,0.0,57
2019-05-09,9,14,0.0,54
2019-05-09,10,15,0.0,55
2019-05-09,11,15,0.0,56
2019-05-09,12,15,0.0,57
2019-05-09,13,14,0.0,57
2019-05-09,14,14,0.0,57
2019-05-09,15,13,0.0,56
2019-05-09,16,13,0.0,60
2019-05-09,17,13,0.0,64
2019-05-09,18,13,0.0,68
2019-05-09,19,13,0.0,69
2019-05-09,20,13,0.0,71
2019-05-09,21,13,0.0,72
2019-05-09,22,13,0.0,74
2019-05-09,23,13,0.0,76
2019-05-10,0,13,0.0,78
2019-05-10,1,13,0.0,80
2019-05-10,2,13,0.0,83
2019-05-10,3,13,0.0,86
2019-05-10,4,14,0.0,87
2019-05-10,5,15,0.1,88
2019-05-10,6,15,0.1,90
2019-05-10,7,16,0.0,87
2019-05-10,8,17,0.0,83
2019-05-10,9,18,0.0,80
2019-05-10,10,18,0.0,78
2019-05-10,11,19,0.1,77
2019-05-10,12,19,0.1,76
2019-05-10,13,20,0.0,72
2019-05-10,14,21,0.0,68
2019-05-10,15,22,0.0,64
2019-05-10,16,21,0.0,68
2019-05-10,17,21,0.3,72
2019-05-10,18,20,0.4,75
2019-05-10,19,20,0.2,78
2019-05-10,20,19,0.1,81
2019-05-10,21,19,0.1,83
2019-05-10,22,18,0.1,82
2019-05-10,23,17,0.3,81
2019-05-11,0,16,0.7,81
2019-05-11,1,16,0.3,77
2019-05-11,2,15,0.0,74
2019-05-11,3,14,0.0,71
2019-05-11,4,14,0.0,69
2019-05-11,5,13,0.0,67
2019-05-11,6,13,0.0,65
2019-05-11,7,14,0.0,61
2019-05-11,8,15,0.0,57
2019-05-11,9,16,0.0,53
2019-05-11,10,18,0.0,50
2019-05-11,11,20,0.0,47
2019-05-11,12,22,0.0,44
2019-05-11,13,22,0.0,42
2019-05-11,14,22,0.0,41
2019-05-11,15,21,0.0,40
2019-05-11,16,20,0.0,42
2019-05-11,17,19,0.0,45
2019-05-11,18,19,0.0,47
2019-05-11,19,18,0.0,49
2019-05-11,20,17,0.1,52
2019-05-11,21,16,0.1,55
2019-05-11,22,15,0.1,59
2019-05-11,23,14,0.4,62
2019-05-12,0,14,0.7,65
2019-05-12,1,13,0.4,68
2019-05-12,2,12,1.0,70
2019-05-12,3,12,1.3,73
2019-05-12,4,11,0.7,76
2019-05-12,5,11,1.5,79
2019-05-12,6,11,2.0,82
2019-05-12,7,10,1.0,81
2019-05-12,8,10,0.7,79
2019-05-12,9,9,1.0,77
2019-05-12,10,9,0.5,79
2019-05-12,11,9,3.4,80
2019-05-12,12,9,4.5,81
2019-05-12,13,9,2.2,81
2019-05-12,14,8,3.0,81
2019-05-12,15,8,4.0,80
2019-05-12,16,8,2.0,80
2019-05-12,17,8,3.3,80
2019-05-12,18,8,4.4,80
2019-05-12,19,7,2.2,79
2019-05-12,20,7,0.2,79
2019-05-12,21,7,0.2,79
2019-05-12,22,7,0.1,78
2019-05-12,23,7,0.2,78
2019-05-13,0,7,0.3,78
2019-05-13,1,7,0.2,78
2019-05-13,2,7,0.0,78
2019-05-13,3,7,0.0,79
2019-05-13,4,7,0.0,78
2019-05-13,5,8,0.0,78
2019-05-13,6,8,0.0,78
2019-05-13,7,8,0.0,78
2019-05-13,8,8,0.6,79
2019-05-13,9,9,0.8,79
2019-05-13,10,9,0.4,79
2019-05-13,11,9,1.3,79
2019-05-13,12,9,1.8,79
2019-05-13,13,9,0.9,80
2019-05-13,14,8,1.9,81
2019-05-13,15,8,2.5,82
2019-05-13,16,8,1.3,82
2019-05-13,17,8,2.7,81
2019-05-13,18,8,3.6,81
2019-05-13,19,8,1.8,80
2019-05-13,20,8,0.0,80
2019-05-13,21,8,0.0,80
2019-05-13,22,8,0.0,80
2019-05-13,23,8,0.1,79
2019-05-14,0,8,0.1,78
2019-05-14,1,8,0.1,78
2019-05-14,2,8,0.0,78
2019-05-14,3,7,0.0,78
2019-05-14,4,8,0.0,76
2019-05-14,5,8,0.0,75
2019-05-14,6,8,0.0,73
2019-05-14,7,9,0.0,73
2019-05-14,8,9,0.0,73
2019-05-14,9,9,0.0,73
2019-05-14,10,10,0.0,72
2019-05-14,11,11,0.1,70
2019-05-14,12,12,0.1,69
2019-05-14,13,12,0.0,71
2019-05-14,14,11,0.2,74
2019-05-14,15,11,0.3,76
2019-05-14,16,11,0.1,77
2019-05-14,17,11,0.7,77
2019-05-14,18,10,0.9,78
2019-05-14,19,10,0.4,77
2019-05-14,20,9,0.2,76
2019-05-14,21,9,0.3,75
2019-05-14,22,9,0.2,76
2019-05-14,23,8,0.3,77
2019-05-15,0,8,0.6,78
2019-05-15,1,8,0.3,77
2019-05-15,2,8,0.0,76
2019-05-15,3,8,0.0,76
2019-05-15,4,8,0.0,72
2019-05-15,5,9,0.0,69
2019-05-15,6,9,0.0,66
2019-05-15,7,11,0.0,61
2019-05-15,8,12,0.0,56
2019-05-15,9,14,0.0,50
2019-05-15,10,15,0.0,50
2019-05-15,11,16,0.0,49
2019-05-15,12,17,0.0,49
2019-05-15,13,18,0.0,49
2019-05-15,14,18,0.0,50
2019-05-15,15,18,0.0,51
2019-05-15,16,18,0.0,53
2019-05-15,17,17,0.0,56
2019-05-15,18,17,0.0,58
2019-05-15,19,16,0.0,60
2019-05-15,20,16,0.0,63
2019-05-15,21,15,0.0,65
2019-05-15,22,15,0.0,66
2019-05-15,23,14,0.0,67
2019-05-16,0,14,0.0,69
2019-05-16,1,14,0.0,71
2019-05-16,2,14,0.1,74
2019-05-16,3,14,0.1,77
2019-05-16,4,14,0.1,74
2019-05-16,5,14,0.0,72
2019-05-16,6,14,0.0,70
2019-05-16,7,15,0.0,62
2019-05-16,8,17,0.0,54
2019-05-16,9,18,0.0,47
2019-05-16,10,19,0.0,44
2019-05-16,11,20,0.0,42
2019-05-16,12,21,0.0,39
2019-05-16,13,21,0.0,40
2019-05-16,14,21,0.0,40
2019-05-16,15,21,0.0,41
2019-05-16,16,21,0.0,43
2019-05-16,17,20,0.0,46
2019-05-16,18,20,0.0,48
2019-05-16,19,19,0.0,51
2019-05-16,20,18,0.0,54
2019-05-16,21,17,0.0,57
2019-05-16,22,17,0.0,58
2019-05-16,23,16,0.0,60
2019-05-17,0,16,0.0,61
2019-05-17,1,16,0.0,63
2019-05-17,2,15,0.0,65
2019-05-17,3,15,0.0,67
2019-05-17,4,16,0.0,65
2019-05-17,5,16,0.0,64
2019-05-17,6,17,0.0,62
2019-05-17,7,18,0.0,59
2019-05-17,8,20,0.0,57
2019-05-17,9,21,0.0,54
2019-05-17,10,21,0.0,54
2019-05-17,11,22,0.0,53
2019-05-17,12,22,0.0,53
2019-05-17,13,22,0.0,55
2019-05-17,14,23,0.3,56
2019-05-17,15,23,0.4,58
2019-05-17,16,22,0.2,63
2019-05-17,17,21,1.8,68
2019-05-17,18,21,2.4,73
2019-05-17,19,20,1.2,74
2019-05-17,20,20,0.0,75
2019-05-17,21,19,0.0,76
2019-05-17,22,18,0.0,72
2019-05-17,23,17,0.0,68
2019-05-18,0,16,0.1,64
2019-05-18,1,15,0.0,64
2019-05-18,2,15,0.0,63
2019-05-18,3,14,0.0,62
2019-05-18,4,14,0.0,62
2019-05-18,5,15,0.0,62
2019-05-18,6,15,0.0,62
2019-05-18,7,17,0.0,57
2019-05-18,8,18,0.0,52
2019-05-18,9,20,0.0,47
2019-05-18,10,21,0.0,43
2019-05-18,11,22,0.0,40
2019-05-18,12,23,0.0,36
2019-05-18,13,23,0.0,36
2019-05-18,14,24,0.0,36
2019-05-18,15,24,0.0,36
2019-05-18,16,23,0.0,39
2019-05-18,17,22,0.0,43
2019-05-18,18,20,0.0,47
2019-05-18,19,19,0.0,50
2019-05-18,20,18,0.0,53
2019-05-18,21,17,0.0,56
2019-05-18,22,17,0.0,57
2019-05-18,23,17,0.0,59
2019-05-19,0,16,0.0,60
2019-05-19,1,16,0.0,63
2019-05-19,2,16,0.0,66
2019-05-19,3,16,0.0,70
2019-05-19,4,16,0.0,71
2019-05-19,5,17,0.0,72
2019-05-19,6,17,0.0,73
2019-05-19,7,19,0.0,70
2019-05-19,8,20,0.0,67
2019-05-19,9,22,0.0,64
2019-05-19,10,23,0.0,62
2019-05-19,11,24,0.0,60
2019-05-19,12,25,0.0,58
2019-05-19,13,24,0.0,60
2019-05-19,14,24,0.1,62
2019-05-19,15,24,0.1,64
2019-05-19,16,24,0.0,68
2019-05-19,17,23,0.0,71
2019-05-19,18,22,0.0,75
2019-05-19,19,22,0.0,78
2019-05-19,20,21,1.1,82
2019-05-19,21,20,1.4,85
2019-05-19,22,20,0.7,85
2019-05-19,23,20,2.4,85
2019-05-20,0,20,4.7,85
2019-05-20,1,20,2.4,84
2019-05-20,2,19,0.3,83
2019-05-20,3,19,0.4,83
2019-05-20,4,20,0.2,78
2019-05-20,5,21,0.3,73
2019-05-20,6,21,0.4,68
2019-05-20,7,23,0.2,63
2019-05-20,8,24,0.0,58
2019-05-20,9,26,0.0,52
2019-05-20,10,26,0.0,49
2019-05-20,11,27,0.0,46
2019-05-20,12,28,0.0,42
2019-05-20,13,28,0.0,44
2019-05-20,14,27,0.1,45
2019-05-20,15,27,0.1,47
2019-05-20,16,27,0.1,48
2019-05-20,17,26,0.1,50
2019-05-20,18,25,0.1,52
2019-05-20,19,24,0.1,55
2019-05-20,20,23,0.0,59
2019-05-20,21,21,0.0,62
2019-05-20,22,20,0.0,62
2019-05-20,23,18,0.0,61
2019-05-21,0,17,0.0,60
2019-05-21,1,16,0.0,60
2019-05-21,2,15,0.0,60
2019-05-21,3,14,0.0,60
2019-05-21,4,14,0.0,58
2019-05-21,5,14,0.0,56
2019-05-21,6,14,0.0,54
2019-05-21,7,14,0.0,51
2019-05-21,8,15,0.0,48
2019-05-21,9,16,0.0,45
2019-05-21,10,17,0.0,42
2019-05-21,11,19,0.0,39
2019-05-21,12,20,0.0,37
2019-05-21,13,20,0.0,35
2019-05-21,14,20,0.0,34
2019-05-21,15,21,0.0,33
2019-05-21,16,20,0.0,36
2019-05-21,17,19,0.0,39
2019-05-21,18,18,0.0,42
2019-05-21,19,17,0.0,43
2019-05-21,20,16,0.0,44
2019-05-21,21,16,0.0,46
2019-05-21,22,16,0.0,47
2019-05-21,23,15,0.0,49
2019-05-22,0,15,0.0,50
2019-05-22,1,15,0.0,50
2019-05-22,2,15,0.0,49
2019-05-22,3,15,0.0,48
2019-05-22,4,15,0.0,47
2019-05-22,5,15,0.0,46
2019-05-22,6,15,0.0,45
2019-05-22,7,17,0.0,43
2019-05-22,8,18,0.0,41
2019-05-22,9,19,0.0,39
2019-05-22,10,21,0.0,38
2019-05-22,11,22,0.0,37
2019-05-22,12,23,0.0,36
2019-05-22,13,23,0.0,35
