year,month,day,hour,count,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2
2015,1,1,0,1,1,3,0,-3,0.0,52,15,Clear
2015,1,1,2,1,1,3,0,-4,0.0,50,21,Clear
2015,1,1,3,1,1,3,0,-4,0.0,49,24,Clear
2015,1,1,10,2,1,3,0,-1,0.0,37,25,Sunny
2015,1,1,11,2,1,3,0,0,0.0,36,24,Sunny
2015,1,1,12,2,1,3,0,2,0.0,35,22,Sunny
2015,1,1,13,2,1,3,0,2,0.0,37,23,Sunny
2015,1,1,14,4,1,3,0,2,0.0,39,24,Sunny
2015,1,1,15,1,1,3,0,2,0.0,41,25,Sunny
2015,1,1,16,5,1,3,0,1,0.0,44,26,Sunny
2015,1,1,17,5,1,3,0,1,0.0,47,26,Sunny
2015,1,2,5,1,0,4,1,-1,0.0,70,18,Clear
2015,1,2,7,5,0,4,1,0,0.0,68,19,Sunny
2015,1,2,8,5,0,4,1,2,0.0,64,22,Sunny
2015,1,2,9,6,0,4,1,3,0.0,60,26,Sunny
2015,1,2,10,3,0,4,1,3,0.0,57,24,Sunny
2015,1,2,11,7,0,4,1,4,0.0,54,23,Sunny
2015,1,2,12,2,0,4,1,5,0.0,51,22,Sunny
2015,1,2,13,6,0,4,1,4,0.0,53,20,Sunny
2015,1,2,14,11,0,4,1,4,0.0,54,19,Sunny
2015,1,2,15,11,0,4,1,3,0.0,56,18,Sunny
2015,1,2,16,4,0,4,1,2,0.0,59,16,Sunny
2015,1,2,17,5,0,4,1,2,0.0,63,14,Sunny
2015,1,2,18,2,0,4,1,1,0.0,66,12,Clear
2015,1,2,19,2,0,4,1,1,0.0,66,12,Clear
2015,1,2,20,3,0,4,1,1,0.0,67,12,Partly cloudy
2015,1,2,21,1,0,4,1,1,0.0,68,12,Partly cloudy
2015,1,2,22,1,0,4,1,1,0.0,69,12,Partly cloudy
2015,1,3,8,1,0,5,0,2,0.0,69,16,Cloudy
2015,1,3,9,3,0,5,0,2,0.0,66,20,Cloudy
2015,1,3,10,2,0,5,0,3,0.0,71,16,Cloudy
2015,1,3,11,9,0,5,0,3,0.4,75,13,Light rain
2015,1,3,12,4,0,5,0,4,0.6,80,9,Light rain
2015,1,3,13,2,0,5,0,4,0.3,84,12,Light rain
2015,1,3,14,1,0,5,0,4,0.8,88,16,Light rain
2015,1,3,15,1,0,5,0,4,1.1,92,19,Light rain
2015,1,4,6,2,0,6,0,7,0.4,97,9,Light rain
2015,1,4,11,3,0,6,0,9,0.3,94,14,Light rain
2015,1,4,12,5,0,6,0,10,0.4,95,11,Light rain
2015,1,4,13,3,0,6,0,11,0.2,94,15,Light rain
2015,1,4,14,7,0,6,0,11,0.0,93,19,Partly cloudy
2015,1,4,15,5,0,6,0,11,0.0,92,23,Partly cloudy
2015,1,4,16,4,0,6,0,11,0.0,94,18,Partly cloudy
2015,1,4,17,3,0,6,0,11,0.4,95,13,Light rain
2015,1,4,18,5,0,6,0,11,0.5,97,8,Light rain
2015,1,4,19,2,0,6,0,11,0.2,92,16,Light rain
2015,1,4,22,1,0,6,0,8,0.7,80,30,Moderate rain at times
2015,1,5,5,1,0,0,1,2,0.0,73,25,Patchy snow possible
2015,1,5,6,5,0,0,1,0,0.0,70,24,Patchy snow possible
2015,1,5,7,9,0,0,1,0,0.0,65,28,Patchy snow possible
2015,1,5,8,19,0,0,1,0,0.0,61,32,Patchy moderate snow
2015,1,5,9,7,0,0,1,0,0.0,57,36,Patchy moderate snow
2015,1,5,10,1,0,0,1,0,0.0,55,34,Patchy moderate snow
2015,1,5,11,4,0,0,1,0,0.0,53,31,Blizzard
2015,1,5,12,2,0,0,1,0,0.0,51,29,Blizzard
2015,1,5,13,4,0,0,1,0,0.0,51,29,Blizzard
2015,1,5,14,2,0,0,1,0,0.0,50,30,Blowing snow
2015,1,5,15,5,0,0,1,0,0.0,49,30,Blowing snow
2015,1,5,16,4,0,0,1,-2,0.0,50,27,Blowing snow
2015,1,5,17,2,0,0,1,-3,0.0,51,24,Patchy snow possible
2015,1,5,18,8,0,0,1,-4,0.0,52,21,Patchy snow possible
2015,1,5,19,3,0,0,1,-5,0.0,50,22,Patchy snow possible
2015,1,5,20,1,0,0,1,-5,0.0,47,23,Partly cloudy
2015,1,5,21,1,0,0,1,-6,0.0,45,24,Partly cloudy
2015,1,5,22,1,0,0,1,-6,0.0,43,22,Partly cloudy
2015,1,6,5,1,0,1,1,-6,0.0,43,8,Cloudy
2015,1,6,6,6,0,1,1,-6,0.0,44,5,Cloudy
2015,1,6,7,5,0,1,1,-6,0.0,53,6,Cloudy
2015,1,6,8,12,0,1,1,-7,0.1,61,7,Heavy snow
2015,1,6,11,1,0,1,1,-6,0.2,70,7,Heavy snow
2015,1,6,14,3,0,1,1,-5,0.1,71,10,Heavy snow
2015,1,6,15,2,0,1,1,-5,0.1,72,12,Heavy snow
2015,1,6,16,1,0,1,1,-5,0.1,73,11,Heavy snow
2015,1,6,17,3,0,1,1,-5,0.1,74,10,Patchy heavy snow
2015,1,6,18,5,0,1,1,-6,0.2,75,10,Patchy heavy snow
2015,1,6,19,6,0,1,1,-6,0.1,80,12,Patchy heavy snow
2015,1,6,20,1,0,1,1,-7,0.0,85,14,Patchy snow possible
2015,1,7,5,1,0,2,1,-8,0.0,83,15,Clear
2015,1,7,6,2,0,2,1,-8,0.0,83,13,Sunny
2015,1,7,7,1,0,2,1,-8,0.0,77,21,Sunny
2015,1,7,8,7,0,2,1,-7,0.0,71,28,Sunny
2015,1,7,9,3,0,2,1,-6,0.0,65,36,Sunny
2015,1,7,13,1,0,2,1,-6,0.0,57,32,Patchy heavy snow
2015,1,7,14,1,0,2,1,-6,0.0,58,35,Blizzard
2015,1,7,17,3,0,2,1,-11,0.0,65,33,Patchy snow possible
2015,1,7,18,4,0,2,1,-12,0.0,68,30,Patchy snow possible
2015,1,7,19,2,0,2,1,-13,0.0,69,29,Patchy snow possible
2015,1,7,23,1,0,2,1,-15,0.0,75,24,Clear
2015,1,8,6,1,0,3,1,-14,0.0,80,13,Sunny
2015,1,8,7,2,0,3,1,-13,0.0,78,18,Sunny
2015,1,8,8,2,0,3,1,-12,0.0,76,22,Partly cloudy
2015,1,8,9,2,0,3,1,-11,0.0,75,27,Partly cloudy
2015,1,8,10,3,0,3,1,-10,0.0,72,24,Partly cloudy
2015,1,8,14,2,0,3,1,-8,0.0,70,20,Sunny
2015,1,8,15,5,0,3,1,-8,0.0,72,21,Sunny
2015,1,8,16,2,0,3,1,-9,0.0,75,19,Sunny
2015,1,8,17,2,0,3,1,-10,0.0,78,17,Sunny
2015,1,8,18,6,0,3,1,-11,0.0,82,15,Clear
2015,1,8,19,4,0,3,1,-11,0.0,80,15,Clear
2015,1,8,20,3,0,3,1,-11,0.0,78,16,Partly cloudy
2015,1,8,22,1,0,3,1,-11,0.0,75,17,Partly cloudy
2015,1,8,23,1,0,3,1,-10,0.0,73,18,Cloudy
2015,1,9,5,1,0,4,1,-6,0.1,78,22,Blizzard
2015,1,9,7,1,0,4,1,-6,0.1,81,22,Blizzard
2015,1,9,8,3,0,4,1,-5,0.2,82,26,Blizzard
2015,1,9,10,1,0,4,1,-3,0.2,77,28,Blizzard
2015,1,9,11,1,0,4,1,-2,0.3,71,26,Patchy heavy snow
